{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 469073.21875, 'tokens': 319}
{'loss': 430.0, 'grad_norm_square': 566996.4210925102, 'tokens': 252}
{'loss': 390.0, 'grad_norm_square': 1010790.8996191025, 'tokens': 311}
{'loss': 424.0, 'grad_norm_square': 467568.0560531616, 'tokens': 308}
{'loss': 604.0, 'grad_norm_square': 562489.0599555969, 'tokens': 335}
{'loss': 692.0, 'grad_norm_square': 443995.46827697754, 'tokens': 434}
{'loss': 460.0, 'grad_norm_square': 418768.86183166504, 'tokens': 378}
{'loss': 452.0, 'grad_norm_square': 330270.9454574585, 'tokens': 299}
{'loss': 516.0, 'grad_norm_square': 1834268.5201034546, 'tokens': 377}
{'loss': 476.0, 'grad_norm_square': 417655.253616333, 'tokens': 294}
{'loss': 410.0, 'grad_norm_square': 408638.6772155762, 'tokens': 315}
{'loss': 432.0, 'grad_norm_square': 406360.6877593994, 'tokens': 328}
{'loss': 490.0, 'grad_norm_square': 307602.2257003784, 'tokens': 394}
{'loss': 432.0, 'grad_norm_square': 1264276.2235183716, 'tokens': 291}
{'loss': 400.0, 'grad_norm_square': 355688.3674468994, 'tokens': 274}
{'loss': 484.0, 'grad_norm_square': 384675.895111084, 'tokens': 342}
{'loss': 406.0, 'grad_norm_square': 329107.57304382324, 'tokens': 441}
{'loss': 506.0, 'grad_norm_square': 278023.89514160156, 'tokens': 360}
{'loss': 440.0, 'grad_norm_square': 265497.2599334717, 'tokens': 306}
{'loss': 378.0, 'grad_norm_square': 296655.45613861084, 'tokens': 343}
{'loss': 334.0, 'grad_norm_square': 270595.9287109375, 'tokens': 230}
{'loss': 544.0, 'grad_norm_square': 581541.7432250977, 'tokens': 438}
{'loss': 424.0, 'grad_norm_square': 281117.71270751953, 'tokens': 330}
{'loss': 608.0, 'grad_norm_square': 471114.86212158203, 'tokens': 488}
{'loss': 412.0, 'grad_norm_square': 336640.2337036133, 'tokens': 343}
{'loss': 490.0, 'grad_norm_square': 272590.49101257324, 'tokens': 360}
{'loss': 342.0, 'grad_norm_square': 239020.4510498047, 'tokens': 227}
{'loss': 532.0, 'grad_norm_square': 333251.44331359863, 'tokens': 400}
{'loss': 388.0, 'grad_norm_square': 335612.0121154785, 'tokens': 389}
{'loss': 454.0, 'grad_norm_square': 242606.80026245117, 'tokens': 347}
{'loss': 392.0, 'grad_norm_square': 196787.25979614258, 'tokens': 281}
{'loss': 314.0, 'grad_norm_square': 177819.75968933105, 'tokens': 299}
{'loss': 430.0, 'grad_norm_square': 241685.14608764648, 'tokens': 305}
{'loss': 490.0, 'grad_norm_square': 333524.4866027832, 'tokens': 304}
{'loss': 294.0, 'grad_norm_square': 157503.49668884277, 'tokens': 289}
{'loss': 556.0, 'grad_norm_square': 345258.0014343262, 'tokens': 381}
{'loss': 422.0, 'grad_norm_square': 240059.85484313965, 'tokens': 395}
{'loss': 344.0, 'grad_norm_square': 187383.6255645752, 'tokens': 267}
{'loss': 462.0, 'grad_norm_square': 199164.3321533203, 'tokens': 299}
{'loss': 496.0, 'grad_norm_square': 347750.7455444336, 'tokens': 407}
{'loss': 444.0, 'grad_norm_square': 243825.45706176758, 'tokens': 347}
{'loss': 296.0, 'grad_norm_square': 154737.037109375, 'tokens': 248}
{'loss': 464.0, 'grad_norm_square': 231891.78204345703, 'tokens': 309}
{'loss': 422.0, 'grad_norm_square': 196350.19886779785, 'tokens': 335}
{'loss': 476.0, 'grad_norm_square': 296743.12463378906, 'tokens': 420}
{'loss': 368.0, 'grad_norm_square': 189458.89892578125, 'tokens': 293}
{'loss': 340.0, 'grad_norm_square': 217352.20733642578, 'tokens': 251}
{'loss': 430.0, 'grad_norm_square': 198700.52508544922, 'tokens': 348}
{'loss': 520.0, 'grad_norm_square': 197226.98010253906, 'tokens': 336}
