{'model_params': 2506172416, 'peft_params': 10515456}
{'loss': 466.0, 'grad_norm_square': 473196.21875, 'tokens': 319}
{'loss': 390.0, 'grad_norm_square': 4043340.53125, 'tokens': 252}
{'loss': 302.0, 'grad_norm_square': 17740471.6484375, 'tokens': 311}
{'loss': 326.0, 'grad_norm_square': 8751113.765625, 'tokens': 308}
{'loss': 528.0, 'grad_norm_square': 42222722.375, 'tokens': 335}
{'loss': 612.0, 'grad_norm_square': 12618048.859375, 'tokens': 434}
{'loss': 380.0, 'grad_norm_square': 261239847.875, 'tokens': 378}
{'loss': 334.0, 'grad_norm_square': 5187953.5, 'tokens': 299}
{'loss': 384.0, 'grad_norm_square': 6479629.0625, 'tokens': 377}
{'loss': 362.0, 'grad_norm_square': 10366205.0, 'tokens': 294}
{'loss': 304.0, 'grad_norm_square': 8251057.8125, 'tokens': 315}
{'loss': 304.0, 'grad_norm_square': 11431688.125, 'tokens': 328}
{'loss': 398.0, 'grad_norm_square': 22283892.25, 'tokens': 394}
{'loss': 328.0, 'grad_norm_square': 21805777.625, 'tokens': 291}
{'loss': 312.0, 'grad_norm_square': 13760813.265625, 'tokens': 274}
{'loss': 392.0, 'grad_norm_square': 28407181.6875, 'tokens': 342}
{'loss': 342.0, 'grad_norm_square': 16011799.40625, 'tokens': 441}
{'loss': 364.0, 'grad_norm_square': 10979859.046875, 'tokens': 360}
{'loss': 364.0, 'grad_norm_square': 12477469.9375, 'tokens': 306}
{'loss': 302.0, 'grad_norm_square': 16896461.5546875, 'tokens': 343}
{'loss': 232.0, 'grad_norm_square': 6619849.2265625, 'tokens': 230}
{'loss': 490.0, 'grad_norm_square': 25930072.03125, 'tokens': 438}
{'loss': 360.0, 'grad_norm_square': 11902932.4375, 'tokens': 330}
{'loss': 532.0, 'grad_norm_square': 26384783.5, 'tokens': 488}
{'loss': 346.0, 'grad_norm_square': 13805728.171875, 'tokens': 343}
{'loss': 444.0, 'grad_norm_square': 15918616.09375, 'tokens': 360}
