{'model_params': 2506172416, 'peft_params': 10321920}
{'loss': 580.0, 'grad_norm_square': 9408.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 14336.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 18688.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 12096.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 6976.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 7488.0, 'tokens': 314}
{'loss': 736.0, 'grad_norm_square': 10944.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 9856.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 13760.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 13888.0, 'tokens': 371}
{'loss': 696.0, 'grad_norm_square': 12544.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 11456.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 6496.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 11392.0, 'tokens': 419}
{'loss': 744.0, 'grad_norm_square': 18048.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 10496.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 8640.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7456.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 11968.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 12160.0, 'tokens': 405}
{'loss': 584.0, 'grad_norm_square': 11072.0, 'tokens': 409}
{'loss': 544.0, 'grad_norm_square': 11456.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 9664.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 10752.0, 'tokens': 408}
{'loss': 600.0, 'grad_norm_square': 18048.0, 'tokens': 427}
{'loss': 832.0, 'grad_norm_square': 18816.0, 'tokens': 445}
{'loss': 756.0, 'grad_norm_square': 35328.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 13760.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 13312.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 5856.0, 'tokens': 295}
{'loss': 660.0, 'grad_norm_square': 9280.0, 'tokens': 420}
{'loss': 804.0, 'grad_norm_square': 23936.0, 'tokens': 476}
{'loss': 608.0, 'grad_norm_square': 10368.0, 'tokens': 430}
{'loss': 656.0, 'grad_norm_square': 16512.0, 'tokens': 441}
{'loss': 544.0, 'grad_norm_square': 12544.0, 'tokens': 402}
{'loss': 512.0, 'grad_norm_square': 8896.0, 'tokens': 328}
{'loss': 580.0, 'grad_norm_square': 9920.0, 'tokens': 453}
{'loss': 380.0, 'grad_norm_square': 4800.0, 'tokens': 375}
{'loss': 600.0, 'grad_norm_square': 9856.0, 'tokens': 434}
{'loss': 488.0, 'grad_norm_square': 9344.0, 'tokens': 383}
{'loss': 540.0, 'grad_norm_square': 7200.0, 'tokens': 411}
{'loss': 688.0, 'grad_norm_square': 32128.0, 'tokens': 469}
{'loss': 568.0, 'grad_norm_square': 18688.0, 'tokens': 392}
