{'model_params': 2506172416, 'peft_params': 1814512}
{'loss': 580.0, 'grad_norm_square': 261120.0, 'tokens': 455}
{'loss': 528.0, 'grad_norm_square': 6488064.0, 'tokens': 312}
{'loss': 776.0, 'grad_norm_square': 765952.0, 'tokens': 432}
{'loss': 888.0, 'grad_norm_square': 2801664.0, 'tokens': 471}
{'loss': 370.0, 'grad_norm_square': 292864.0, 'tokens': 327}
{'loss': 430.0, 'grad_norm_square': 282624.0, 'tokens': 314}
{'loss': 748.0, 'grad_norm_square': 505856.0, 'tokens': 457}
{'loss': 288.0, 'grad_norm_square': 228352.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 1236992.0, 'tokens': 437}
{'loss': 312.0, 'grad_norm_square': 202752.0, 'tokens': 371}
{'loss': 680.0, 'grad_norm_square': 647168.0, 'tokens': 471}
{'loss': 528.0, 'grad_norm_square': 244736.0, 'tokens': 452}
{'loss': 318.0, 'grad_norm_square': 248832.0, 'tokens': 261}
{'loss': 620.0, 'grad_norm_square': 335872.0, 'tokens': 419}
{'loss': 1848.0, 'grad_norm_square': 5406720.0, 'tokens': 450}
{'loss': 556.0, 'grad_norm_square': 389120.0, 'tokens': 446}
{'loss': 924.0, 'grad_norm_square': 688128.0, 'tokens': 452}
{'loss': 286.0, 'grad_norm_square': 194560.0, 'tokens': 262}
{'loss': 1048.0, 'grad_norm_square': 757760.0, 'tokens': 375}
{'loss': 924.0, 'grad_norm_square': 577536.0, 'tokens': 405}
{'loss': 708.0, 'grad_norm_square': 397312.0, 'tokens': 409}
{'loss': 916.0, 'grad_norm_square': 827392.0, 'tokens': 410}
{'loss': 768.0, 'grad_norm_square': 493568.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 309248.0, 'tokens': 408}
{'loss': 516.0, 'grad_norm_square': 659456.0, 'tokens': 427}
{'loss': 1064.0, 'grad_norm_square': 5013504.0, 'tokens': 445}
{'loss': 568.0, 'grad_norm_square': 393216.0, 'tokens': 461}
{'loss': 592.0, 'grad_norm_square': 238592.0, 'tokens': 444}
{'loss': 556.0, 'grad_norm_square': 206848.0, 'tokens': 459}
{'loss': 398.0, 'grad_norm_square': 207872.0, 'tokens': 295}
{'loss': 780.0, 'grad_norm_square': 321536.0, 'tokens': 420}
{'loss': 744.0, 'grad_norm_square': 299008.0, 'tokens': 476}
{'loss': 648.0, 'grad_norm_square': 268288.0, 'tokens': 430}
{'loss': 572.0, 'grad_norm_square': 183296.0, 'tokens': 441}
{'loss': 510.0, 'grad_norm_square': 247808.0, 'tokens': 402}
{'loss': 520.0, 'grad_norm_square': 185344.0, 'tokens': 328}
{'loss': 576.0, 'grad_norm_square': 202752.0, 'tokens': 453}
{'loss': 412.0, 'grad_norm_square': 179200.0, 'tokens': 375}
{'loss': 512.0, 'grad_norm_square': 165888.0, 'tokens': 434}
{'loss': 338.0, 'grad_norm_square': 132096.0, 'tokens': 383}
{'loss': 504.0, 'grad_norm_square': 201728.0, 'tokens': 411}
{'loss': 536.0, 'grad_norm_square': 240640.0, 'tokens': 469}
{'loss': 466.0, 'grad_norm_square': 532480.0, 'tokens': 392}
{'loss': 492.0, 'grad_norm_square': 655360.0, 'tokens': 460}
{'loss': 420.0, 'grad_norm_square': 342016.0, 'tokens': 398}
{'loss': 255.0, 'grad_norm_square': 106496.0, 'tokens': 284}
{'loss': 214.0, 'grad_norm_square': 141312.0, 'tokens': 275}
{'loss': 512.0, 'grad_norm_square': 245760.0, 'tokens': 435}
{'loss': 253.0, 'grad_norm_square': 174080.0, 'tokens': 287}
{'loss': 506.0, 'grad_norm_square': 266240.0, 'tokens': 440}
{'loss': 464.0, 'grad_norm_square': 234496.0, 'tokens': 326}
{'loss': 346.0, 'grad_norm_square': 157696.0, 'tokens': 349}
{'loss': 111.5, 'grad_norm_square': 60416.0, 'tokens': 255}
{'loss': 225.0, 'grad_norm_square': 90624.0, 'tokens': 281}
{'loss': 502.0, 'grad_norm_square': 185344.0, 'tokens': 435}
{'loss': 704.0, 'grad_norm_square': 199680.0, 'tokens': 393}
{'loss': 540.0, 'grad_norm_square': 151552.0, 'tokens': 480}
{'loss': 510.0, 'grad_norm_square': 114688.0, 'tokens': 459}
{'loss': 608.0, 'grad_norm_square': 228352.0, 'tokens': 477}
{'loss': 396.0, 'grad_norm_square': 135168.0, 'tokens': 464}
{'loss': 255.0, 'grad_norm_square': 93696.0, 'tokens': 263}
{'loss': 656.0, 'grad_norm_square': 181248.0, 'tokens': 489}
{'loss': 424.0, 'grad_norm_square': 138240.0, 'tokens': 376}
{'loss': 446.0, 'grad_norm_square': 224256.0, 'tokens': 455}
{'loss': 540.0, 'grad_norm_square': 231424.0, 'tokens': 420}
{'loss': 420.0, 'grad_norm_square': 149504.0, 'tokens': 414}
