{'model_params': 2506172416, 'peft_params': 552832}
{'loss': 466.0, 'grad_norm_square': 10944.0, 'tokens': 319}
{'loss': 404.0, 'grad_norm_square': 9408.0, 'tokens': 252}
{'loss': 344.0, 'grad_norm_square': 11392.0, 'tokens': 311}
{'loss': 360.0, 'grad_norm_square': 9152.0, 'tokens': 308}
{'loss': 524.0, 'grad_norm_square': 11456.0, 'tokens': 335}
{'loss': 640.0, 'grad_norm_square': 10624.0, 'tokens': 434}
{'loss': 404.0, 'grad_norm_square': 10944.0, 'tokens': 378}
{'loss': 366.0, 'grad_norm_square': 7648.0, 'tokens': 299}
{'loss': 410.0, 'grad_norm_square': 11264.0, 'tokens': 377}
{'loss': 392.0, 'grad_norm_square': 11776.0, 'tokens': 294}
{'loss': 308.0, 'grad_norm_square': 10752.0, 'tokens': 315}
{'loss': 310.0, 'grad_norm_square': 9024.0, 'tokens': 328}
{'loss': 396.0, 'grad_norm_square': 11712.0, 'tokens': 394}
{'loss': 288.0, 'grad_norm_square': 12480.0, 'tokens': 291}
{'loss': 282.0, 'grad_norm_square': 10112.0, 'tokens': 274}
{'loss': 378.0, 'grad_norm_square': 13760.0, 'tokens': 342}
{'loss': 292.0, 'grad_norm_square': 10944.0, 'tokens': 441}
{'loss': 370.0, 'grad_norm_square': 11840.0, 'tokens': 360}
{'loss': 330.0, 'grad_norm_square': 10944.0, 'tokens': 306}
{'loss': 274.0, 'grad_norm_square': 10048.0, 'tokens': 343}
{'loss': 215.0, 'grad_norm_square': 10688.0, 'tokens': 230}
{'loss': 420.0, 'grad_norm_square': 17408.0, 'tokens': 438}
{'loss': 310.0, 'grad_norm_square': 9536.0, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 13632.0, 'tokens': 488}
{'loss': 304.0, 'grad_norm_square': 9664.0, 'tokens': 343}
{'loss': 410.0, 'grad_norm_square': 14208.0, 'tokens': 360}
{'loss': 246.0, 'grad_norm_square': 9600.0, 'tokens': 227}
{'loss': 454.0, 'grad_norm_square': 12352.0, 'tokens': 400}
{'loss': 300.0, 'grad_norm_square': 10048.0, 'tokens': 389}
{'loss': 344.0, 'grad_norm_square': 9280.0, 'tokens': 347}
{'loss': 308.0, 'grad_norm_square': 8320.0, 'tokens': 281}
{'loss': 219.0, 'grad_norm_square': 6720.0, 'tokens': 299}
{'loss': 322.0, 'grad_norm_square': 8512.0, 'tokens': 305}
{'loss': 418.0, 'grad_norm_square': 12224.0, 'tokens': 304}
{'loss': 216.0, 'grad_norm_square': 7072.0, 'tokens': 289}
{'loss': 452.0, 'grad_norm_square': 10048.0, 'tokens': 381}
{'loss': 330.0, 'grad_norm_square': 8832.0, 'tokens': 395}
{'loss': 256.0, 'grad_norm_square': 6240.0, 'tokens': 267}
{'loss': 366.0, 'grad_norm_square': 9408.0, 'tokens': 299}
{'loss': 406.0, 'grad_norm_square': 20608.0, 'tokens': 407}
{'loss': 348.0, 'grad_norm_square': 15680.0, 'tokens': 347}
{'loss': 228.0, 'grad_norm_square': 8128.0, 'tokens': 248}
{'loss': 404.0, 'grad_norm_square': 11840.0, 'tokens': 309}
{'loss': 334.0, 'grad_norm_square': 8640.0, 'tokens': 335}
{'loss': 396.0, 'grad_norm_square': 18688.0, 'tokens': 420}
{'loss': 300.0, 'grad_norm_square': 9728.0, 'tokens': 293}
{'loss': 250.0, 'grad_norm_square': 7424.0, 'tokens': 251}
{'loss': 368.0, 'grad_norm_square': 9152.0, 'tokens': 348}
{'loss': 458.0, 'grad_norm_square': 9088.0, 'tokens': 336}
{'loss': 344.0, 'grad_norm_square': 8032.0, 'tokens': 334}
{'loss': 268.0, 'grad_norm_square': 7104.0, 'tokens': 312}
{'loss': 430.0, 'grad_norm_square': 9536.0, 'tokens': 332}
{'loss': 244.0, 'grad_norm_square': 6560.0, 'tokens': 272}
{'loss': 193.0, 'grad_norm_square': 6944.0, 'tokens': 258}
{'loss': 378.0, 'grad_norm_square': 8832.0, 'tokens': 314}
{'loss': 216.0, 'grad_norm_square': 5792.0, 'tokens': 261}
{'loss': 292.0, 'grad_norm_square': 7392.0, 'tokens': 291}
{'loss': 464.0, 'grad_norm_square': 13184.0, 'tokens': 383}
{'loss': 388.0, 'grad_norm_square': 8512.0, 'tokens': 323}
{'loss': 354.0, 'grad_norm_square': 9152.0, 'tokens': 350}
{'loss': 284.0, 'grad_norm_square': 6784.0, 'tokens': 358}
{'loss': 264.0, 'grad_norm_square': 7136.0, 'tokens': 240}
{'loss': 220.0, 'grad_norm_square': 6368.0, 'tokens': 256}
{'loss': 308.0, 'grad_norm_square': 6848.0, 'tokens': 314}
{'loss': 224.0, 'grad_norm_square': 5408.0, 'tokens': 249}
{'loss': 362.0, 'grad_norm_square': 9536.0, 'tokens': 352}
{'loss': 350.0, 'grad_norm_square': 8704.0, 'tokens': 330}
{'loss': 262.0, 'grad_norm_square': 7712.0, 'tokens': 243}
{'loss': 268.0, 'grad_norm_square': 9152.0, 'tokens': 292}
{'loss': 310.0, 'grad_norm_square': 7552.0, 'tokens': 293}
{'loss': 304.0, 'grad_norm_square': 9856.0, 'tokens': 327}
{'loss': 336.0, 'grad_norm_square': 7520.0, 'tokens': 310}
{'loss': 280.0, 'grad_norm_square': 8384.0, 'tokens': 254}
{'loss': 430.0, 'grad_norm_square': 9088.0, 'tokens': 433}
{'loss': 404.0, 'grad_norm_square': 8064.0, 'tokens': 352}
{'loss': 207.0, 'grad_norm_square': 6432.0, 'tokens': 206}
{'loss': 290.0, 'grad_norm_square': 8256.0, 'tokens': 243}
{'loss': 302.0, 'grad_norm_square': 7360.0, 'tokens': 312}
{'loss': 434.0, 'grad_norm_square': 8512.0, 'tokens': 374}
{'loss': 320.0, 'grad_norm_square': 9088.0, 'tokens': 279}
{'loss': 221.0, 'grad_norm_square': 6368.0, 'tokens': 286}
{'loss': 237.0, 'grad_norm_square': 6880.0, 'tokens': 288}
{'loss': 264.0, 'grad_norm_square': 6176.0, 'tokens': 270}
{'loss': 324.0, 'grad_norm_square': 6208.0, 'tokens': 309}
{'loss': 310.0, 'grad_norm_square': 7360.0, 'tokens': 319}
{'loss': 189.0, 'grad_norm_square': 5184.0, 'tokens': 210}
{'loss': 282.0, 'grad_norm_square': 7296.0, 'tokens': 347}
{'loss': 229.0, 'grad_norm_square': 6048.0, 'tokens': 336}
{'loss': 352.0, 'grad_norm_square': 8064.0, 'tokens': 375}
{'loss': 200.0, 'grad_norm_square': 5888.0, 'tokens': 237}
{'loss': 510.0, 'grad_norm_square': 11008.0, 'tokens': 464}
{'loss': 282.0, 'grad_norm_square': 6912.0, 'tokens': 354}
{'loss': 286.0, 'grad_norm_square': 6560.0, 'tokens': 300}
{'loss': 306.0, 'grad_norm_square': 7136.0, 'tokens': 419}
{'loss': 304.0, 'grad_norm_square': 8512.0, 'tokens': 338}
{'loss': 312.0, 'grad_norm_square': 6560.0, 'tokens': 314}
{'loss': 398.0, 'grad_norm_square': 7936.0, 'tokens': 334}
{'loss': 336.0, 'grad_norm_square': 6400.0, 'tokens': 354}
{'loss': 478.0, 'grad_norm_square': 10368.0, 'tokens': 389}
{'loss': 272.0, 'grad_norm_square': 6272.0, 'tokens': 348}
{'loss': 334.0, 'grad_norm_square': 9600.0, 'tokens': 431}
{'loss': 245.0, 'grad_norm_square': 6080.0, 'tokens': 254}
{'loss': 320.0, 'grad_norm_square': 6496.0, 'tokens': 408}
{'loss': 352.0, 'grad_norm_square': 10176.0, 'tokens': 378}
{'loss': 294.0, 'grad_norm_square': 7360.0, 'tokens': 412}
{'loss': 330.0, 'grad_norm_square': 6592.0, 'tokens': 319}
{'loss': 346.0, 'grad_norm_square': 7040.0, 'tokens': 389}
{'loss': 390.0, 'grad_norm_square': 8064.0, 'tokens': 379}
{'loss': 180.0, 'grad_norm_square': 5024.0, 'tokens': 230}
{'loss': 234.0, 'grad_norm_square': 6304.0, 'tokens': 328}
{'loss': 264.0, 'grad_norm_square': 6624.0, 'tokens': 279}
{'loss': 253.0, 'grad_norm_square': 8192.0, 'tokens': 289}
{'loss': 342.0, 'grad_norm_square': 7136.0, 'tokens': 406}
{'loss': 290.0, 'grad_norm_square': 7040.0, 'tokens': 284}
{'loss': 368.0, 'grad_norm_square': 7616.0, 'tokens': 300}
{'loss': 272.0, 'grad_norm_square': 8096.0, 'tokens': 263}
{'loss': 320.0, 'grad_norm_square': 9792.0, 'tokens': 315}
{'loss': 304.0, 'grad_norm_square': 7424.0, 'tokens': 289}
{'loss': 266.0, 'grad_norm_square': 6496.0, 'tokens': 287}
{'loss': 510.0, 'grad_norm_square': 11712.0, 'tokens': 445}
{'loss': 292.0, 'grad_norm_square': 6272.0, 'tokens': 312}
{'loss': 338.0, 'grad_norm_square': 9216.0, 'tokens': 386}
{'loss': 204.0, 'grad_norm_square': 7360.0, 'tokens': 246}
{'loss': 372.0, 'grad_norm_square': 7744.0, 'tokens': 366}
{'loss': 402.0, 'grad_norm_square': 8896.0, 'tokens': 367}
{'loss': 296.0, 'grad_norm_square': 7104.0, 'tokens': 387}
{'loss': 193.0, 'grad_norm_square': 6592.0, 'tokens': 288}
{'loss': 260.0, 'grad_norm_square': 8704.0, 'tokens': 284}
{'loss': 314.0, 'grad_norm_square': 7008.0, 'tokens': 291}
{'loss': 270.0, 'grad_norm_square': 6368.0, 'tokens': 313}
{'loss': 368.0, 'grad_norm_square': 9920.0, 'tokens': 404}
{'loss': 239.0, 'grad_norm_square': 5440.0, 'tokens': 301}
{'loss': 374.0, 'grad_norm_square': 8640.0, 'tokens': 417}
{'loss': 278.0, 'grad_norm_square': 7520.0, 'tokens': 269}
