{'model_params': 2506172416, 'peft_params': 549360}
{'loss': 466.0, 'grad_norm_square': 11520.0, 'tokens': 319}
{'loss': 408.0, 'grad_norm_square': 10176.0, 'tokens': 252}
{'loss': 344.0, 'grad_norm_square': 12352.0, 'tokens': 311}
{'loss': 358.0, 'grad_norm_square': 9600.0, 'tokens': 308}
{'loss': 524.0, 'grad_norm_square': 14400.0, 'tokens': 335}
{'loss': 644.0, 'grad_norm_square': 14272.0, 'tokens': 434}
{'loss': 402.0, 'grad_norm_square': 14528.0, 'tokens': 378}
{'loss': 364.0, 'grad_norm_square': 11520.0, 'tokens': 299}
{'loss': 404.0, 'grad_norm_square': 14912.0, 'tokens': 377}
{'loss': 376.0, 'grad_norm_square': 15360.0, 'tokens': 294}
{'loss': 298.0, 'grad_norm_square': 14528.0, 'tokens': 315}
{'loss': 298.0, 'grad_norm_square': 11904.0, 'tokens': 328}
{'loss': 386.0, 'grad_norm_square': 16192.0, 'tokens': 394}
{'loss': 290.0, 'grad_norm_square': 18560.0, 'tokens': 291}
{'loss': 274.0, 'grad_norm_square': 14080.0, 'tokens': 274}
{'loss': 370.0, 'grad_norm_square': 19840.0, 'tokens': 342}
{'loss': 300.0, 'grad_norm_square': 19200.0, 'tokens': 441}
{'loss': 368.0, 'grad_norm_square': 16128.0, 'tokens': 360}
{'loss': 332.0, 'grad_norm_square': 15104.0, 'tokens': 306}
{'loss': 278.0, 'grad_norm_square': 11328.0, 'tokens': 343}
{'loss': 216.0, 'grad_norm_square': 11712.0, 'tokens': 230}
{'loss': 418.0, 'grad_norm_square': 16128.0, 'tokens': 438}
{'loss': 314.0, 'grad_norm_square': 11072.0, 'tokens': 330}
{'loss': 480.0, 'grad_norm_square': 17152.0, 'tokens': 488}
{'loss': 308.0, 'grad_norm_square': 11520.0, 'tokens': 343}
{'loss': 404.0, 'grad_norm_square': 14144.0, 'tokens': 360}
{'loss': 241.0, 'grad_norm_square': 10048.0, 'tokens': 227}
{'loss': 454.0, 'grad_norm_square': 14144.0, 'tokens': 400}
{'loss': 304.0, 'grad_norm_square': 11072.0, 'tokens': 389}
{'loss': 348.0, 'grad_norm_square': 11712.0, 'tokens': 347}
{'loss': 308.0, 'grad_norm_square': 9536.0, 'tokens': 281}
{'loss': 216.0, 'grad_norm_square': 7744.0, 'tokens': 299}
{'loss': 326.0, 'grad_norm_square': 9536.0, 'tokens': 305}
{'loss': 412.0, 'grad_norm_square': 14464.0, 'tokens': 304}
{'loss': 216.0, 'grad_norm_square': 8384.0, 'tokens': 289}
{'loss': 450.0, 'grad_norm_square': 12928.0, 'tokens': 381}
{'loss': 332.0, 'grad_norm_square': 11136.0, 'tokens': 395}
{'loss': 264.0, 'grad_norm_square': 11136.0, 'tokens': 267}
{'loss': 366.0, 'grad_norm_square': 11584.0, 'tokens': 299}
