{'model_params': 2506172416, 'peft_params': 2890720}
{'loss': 466.0, 'grad_norm_square': 1736966144.0, 'tokens': 319}
{'loss': 356.0, 'grad_norm_square': 718041607.625, 'tokens': 252}
{'loss': 300.0, 'grad_norm_square': 1230987156.875, 'tokens': 311}
{'loss': 324.0, 'grad_norm_square': 782870872.5625, 'tokens': 308}
{'loss': 490.0, 'grad_norm_square': 1846533332.75, 'tokens': 335}
{'loss': 624.0, 'grad_norm_square': 1339074827.625, 'tokens': 434}
{'loss': 372.0, 'grad_norm_square': 790897583.0, 'tokens': 378}
{'loss': 336.0, 'grad_norm_square': 518125133.75, 'tokens': 299}
{'loss': 394.0, 'grad_norm_square': 910026118.5, 'tokens': 377}
{'loss': 360.0, 'grad_norm_square': 1158353520.0, 'tokens': 294}
{'loss': 290.0, 'grad_norm_square': 890416633.0, 'tokens': 315}
{'loss': 296.0, 'grad_norm_square': 577782384.75, 'tokens': 328}
{'loss': 378.0, 'grad_norm_square': 687103356.0, 'tokens': 394}
{'loss': 302.0, 'grad_norm_square': 1495893351.0, 'tokens': 291}
{'loss': 262.0, 'grad_norm_square': 329219698.0, 'tokens': 274}
{'loss': 370.0, 'grad_norm_square': 908217156.0, 'tokens': 342}
{'loss': 316.0, 'grad_norm_square': 1101754950.0, 'tokens': 441}
{'loss': 358.0, 'grad_norm_square': 600022231.0, 'tokens': 360}
{'loss': 328.0, 'grad_norm_square': 468843845.5, 'tokens': 306}
{'loss': 272.0, 'grad_norm_square': 343008037.0, 'tokens': 343}
{'loss': 211.0, 'grad_norm_square': 385592232.0, 'tokens': 230}
{'loss': 426.0, 'grad_norm_square': 1443473987.0, 'tokens': 438}
{'loss': 312.0, 'grad_norm_square': 357041469.25, 'tokens': 330}
{'loss': 488.0, 'grad_norm_square': 774746719.0, 'tokens': 488}
{'loss': 304.0, 'grad_norm_square': 374157967.5, 'tokens': 343}
{'loss': 418.0, 'grad_norm_square': 823002316.5, 'tokens': 360}
{'loss': 253.0, 'grad_norm_square': 354237093.0, 'tokens': 227}
{'loss': 460.0, 'grad_norm_square': 595383912.0, 'tokens': 400}
{'loss': 304.0, 'grad_norm_square': 336228110.5, 'tokens': 389}
{'loss': 352.0, 'grad_norm_square': 379057970.0, 'tokens': 347}
{'loss': 306.0, 'grad_norm_square': 221398906.625, 'tokens': 281}
{'loss': 221.0, 'grad_norm_square': 156383448.25, 'tokens': 299}
{'loss': 320.0, 'grad_norm_square': 265796657.5, 'tokens': 305}
{'loss': 416.0, 'grad_norm_square': 447313699.0, 'tokens': 304}
{'loss': 214.0, 'grad_norm_square': 153433773.125, 'tokens': 289}
{'loss': 452.0, 'grad_norm_square': 373458514.75, 'tokens': 381}
{'loss': 334.0, 'grad_norm_square': 540199515.5, 'tokens': 395}
{'loss': 264.0, 'grad_norm_square': 160445575.25, 'tokens': 267}
{'loss': 370.0, 'grad_norm_square': 336025997.0, 'tokens': 299}
{'loss': 404.0, 'grad_norm_square': 483957970.0, 'tokens': 407}
{'loss': 368.0, 'grad_norm_square': 594920015.0, 'tokens': 347}
{'loss': 217.0, 'grad_norm_square': 191716332.75, 'tokens': 248}
{'loss': 396.0, 'grad_norm_square': 427361183.0, 'tokens': 309}
{'loss': 332.0, 'grad_norm_square': 203602034.5, 'tokens': 335}
{'loss': 384.0, 'grad_norm_square': 1396087110.5, 'tokens': 420}
{'loss': 300.0, 'grad_norm_square': 355282600.0, 'tokens': 293}
{'loss': 246.0, 'grad_norm_square': 165981321.75, 'tokens': 251}
{'loss': 368.0, 'grad_norm_square': 290502639.0, 'tokens': 348}
{'loss': 460.0, 'grad_norm_square': 310770004.0, 'tokens': 336}
{'loss': 336.0, 'grad_norm_square': 231762940.0, 'tokens': 334}
{'loss': 274.0, 'grad_norm_square': 258631831.0, 'tokens': 312}
{'loss': 410.0, 'grad_norm_square': 314292180.25, 'tokens': 332}
{'loss': 245.0, 'grad_norm_square': 163476977.125, 'tokens': 272}
{'loss': 188.0, 'grad_norm_square': 139990071.75, 'tokens': 258}
{'loss': 374.0, 'grad_norm_square': 241318819.0, 'tokens': 314}
{'loss': 214.0, 'grad_norm_square': 114592248.5, 'tokens': 261}
{'loss': 286.0, 'grad_norm_square': 234017721.5, 'tokens': 291}
{'loss': 470.0, 'grad_norm_square': 882202420.0, 'tokens': 383}
{'loss': 392.0, 'grad_norm_square': 285689545.75, 'tokens': 323}
{'loss': 352.0, 'grad_norm_square': 295549629.0, 'tokens': 350}
{'loss': 282.0, 'grad_norm_square': 160025628.625, 'tokens': 358}
{'loss': 262.0, 'grad_norm_square': 183076632.125, 'tokens': 240}
