{'model_params': 2506172416, 'peft_params': 2151534}
{'loss': 580.0, 'grad_norm_square': 49408.0, 'tokens': 455}
{'loss': 392.0, 'grad_norm_square': 54784.0, 'tokens': 312}
{'loss': 656.0, 'grad_norm_square': 58368.0, 'tokens': 432}
{'loss': 664.0, 'grad_norm_square': 47360.0, 'tokens': 471}
{'loss': 316.0, 'grad_norm_square': 27264.0, 'tokens': 327}
{'loss': 328.0, 'grad_norm_square': 23424.0, 'tokens': 314}
{'loss': 592.0, 'grad_norm_square': 35584.0, 'tokens': 457}
{'loss': 248.0, 'grad_norm_square': 25216.0, 'tokens': 255}
{'loss': 436.0, 'grad_norm_square': 30720.0, 'tokens': 437}
{'loss': 274.0, 'grad_norm_square': 21248.0, 'tokens': 371}
{'loss': 540.0, 'grad_norm_square': 32256.0, 'tokens': 471}
{'loss': 448.0, 'grad_norm_square': 28032.0, 'tokens': 452}
{'loss': 266.0, 'grad_norm_square': 23296.0, 'tokens': 261}
{'loss': 520.0, 'grad_norm_square': 30592.0, 'tokens': 419}
{'loss': 560.0, 'grad_norm_square': 30592.0, 'tokens': 450}
{'loss': 396.0, 'grad_norm_square': 32768.0, 'tokens': 446}
{'loss': 600.0, 'grad_norm_square': 30336.0, 'tokens': 452}
{'loss': 225.0, 'grad_norm_square': 21120.0, 'tokens': 262}
{'loss': 422.0, 'grad_norm_square': 29184.0, 'tokens': 375}
{'loss': 494.0, 'grad_norm_square': 32128.0, 'tokens': 405}
{'loss': 444.0, 'grad_norm_square': 24192.0, 'tokens': 409}
{'loss': 388.0, 'grad_norm_square': 24320.0, 'tokens': 410}
{'loss': 486.0, 'grad_norm_square': 45056.0, 'tokens': 429}
{'loss': 420.0, 'grad_norm_square': 27264.0, 'tokens': 408}
{'loss': 410.0, 'grad_norm_square': 35072.0, 'tokens': 427}
{'loss': 548.0, 'grad_norm_square': 36352.0, 'tokens': 445}
{'loss': 430.0, 'grad_norm_square': 45312.0, 'tokens': 461}
{'loss': 450.0, 'grad_norm_square': 38656.0, 'tokens': 444}
{'loss': 450.0, 'grad_norm_square': 33280.0, 'tokens': 459}
{'loss': 316.0, 'grad_norm_square': 28928.0, 'tokens': 295}
{'loss': 520.0, 'grad_norm_square': 34560.0, 'tokens': 420}
{'loss': 500.0, 'grad_norm_square': 37120.0, 'tokens': 476}
{'loss': 446.0, 'grad_norm_square': 35072.0, 'tokens': 430}
{'loss': 460.0, 'grad_norm_square': 30848.0, 'tokens': 441}
{'loss': 380.0, 'grad_norm_square': 30592.0, 'tokens': 402}
{'loss': 416.0, 'grad_norm_square': 27776.0, 'tokens': 328}
{'loss': 424.0, 'grad_norm_square': 35072.0, 'tokens': 453}
{'loss': 314.0, 'grad_norm_square': 30464.0, 'tokens': 375}
{'loss': 434.0, 'grad_norm_square': 30208.0, 'tokens': 434}
{'loss': 296.0, 'grad_norm_square': 24192.0, 'tokens': 383}
{'loss': 434.0, 'grad_norm_square': 27008.0, 'tokens': 411}
{'loss': 466.0, 'grad_norm_square': 27392.0, 'tokens': 469}
{'loss': 380.0, 'grad_norm_square': 26496.0, 'tokens': 392}
{'loss': 368.0, 'grad_norm_square': 23296.0, 'tokens': 460}
{'loss': 342.0, 'grad_norm_square': 25344.0, 'tokens': 398}
