{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 661768192.0, 'tokens': 319}
{'loss': 336.0, 'grad_norm_square': 195418118.0, 'tokens': 252}
{'loss': 284.0, 'grad_norm_square': 319419092.0, 'tokens': 311}
{'loss': 310.0, 'grad_norm_square': 577564576.0, 'tokens': 308}
{'loss': 478.0, 'grad_norm_square': 589069280.0, 'tokens': 335}
{'loss': 616.0, 'grad_norm_square': 398973040.0, 'tokens': 434}
{'loss': 370.0, 'grad_norm_square': 349994296.0, 'tokens': 378}
{'loss': 332.0, 'grad_norm_square': 140984320.0, 'tokens': 299}
{'loss': 390.0, 'grad_norm_square': 230791840.0, 'tokens': 377}
{'loss': 362.0, 'grad_norm_square': 224309328.0, 'tokens': 294}
{'loss': 290.0, 'grad_norm_square': 216740820.0, 'tokens': 315}
{'loss': 302.0, 'grad_norm_square': 161511756.0, 'tokens': 328}
{'loss': 378.0, 'grad_norm_square': 230099812.0, 'tokens': 394}
{'loss': 290.0, 'grad_norm_square': 192699984.0, 'tokens': 291}
{'loss': 272.0, 'grad_norm_square': 140345640.0, 'tokens': 274}
{'loss': 364.0, 'grad_norm_square': 288874992.0, 'tokens': 342}
{'loss': 318.0, 'grad_norm_square': 237126392.0, 'tokens': 441}
{'loss': 360.0, 'grad_norm_square': 220071520.0, 'tokens': 360}
{'loss': 340.0, 'grad_norm_square': 182510832.0, 'tokens': 306}
{'loss': 276.0, 'grad_norm_square': 134215576.0, 'tokens': 343}
{'loss': 206.0, 'grad_norm_square': 144269536.0, 'tokens': 230}
{'loss': 442.0, 'grad_norm_square': 547576832.0, 'tokens': 438}
{'loss': 314.0, 'grad_norm_square': 118685856.0, 'tokens': 330}
{'loss': 478.0, 'grad_norm_square': 273598176.0, 'tokens': 488}
{'loss': 314.0, 'grad_norm_square': 156147648.0, 'tokens': 343}
{'loss': 424.0, 'grad_norm_square': 262972096.0, 'tokens': 360}
{'loss': 262.0, 'grad_norm_square': 176708032.0, 'tokens': 227}
{'loss': 466.0, 'grad_norm_square': 255297024.0, 'tokens': 400}
{'loss': 306.0, 'grad_norm_square': 164607520.0, 'tokens': 389}
{'loss': 356.0, 'grad_norm_square': 169919552.0, 'tokens': 347}
{'loss': 316.0, 'grad_norm_square': 159803344.0, 'tokens': 281}
{'loss': 228.0, 'grad_norm_square': 93968800.0, 'tokens': 299}
{'loss': 322.0, 'grad_norm_square': 190698552.0, 'tokens': 305}
{'loss': 438.0, 'grad_norm_square': 770019776.0, 'tokens': 304}
{'loss': 218.0, 'grad_norm_square': 131413104.0, 'tokens': 289}
