{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 466.0, 'grad_norm_square': 85004.5, 'tokens': 319}
{'loss': 434.0, 'grad_norm_square': 114039.16013120115, 'tokens': 252}
{'loss': 394.0, 'grad_norm_square': 214567.11834070086, 'tokens': 311}
{'loss': 432.0, 'grad_norm_square': 101305.46616724133, 'tokens': 308}
{'loss': 612.0, 'grad_norm_square': 122723.94628441334, 'tokens': 335}
{'loss': 700.0, 'grad_norm_square': 97367.59854054451, 'tokens': 434}
{'loss': 470.0, 'grad_norm_square': 91243.37902897596, 'tokens': 378}
{'loss': 464.0, 'grad_norm_square': 63052.18402171135, 'tokens': 299}
{'loss': 536.0, 'grad_norm_square': 540809.2519179583, 'tokens': 377}
{'loss': 490.0, 'grad_norm_square': 76623.84985232353, 'tokens': 294}
{'loss': 424.0, 'grad_norm_square': 95777.7218515873, 'tokens': 315}
{'loss': 450.0, 'grad_norm_square': 112080.28015851974, 'tokens': 328}
{'loss': 506.0, 'grad_norm_square': 71232.75269198418, 'tokens': 394}
{'loss': 458.0, 'grad_norm_square': 373080.775134325, 'tokens': 291}
{'loss': 424.0, 'grad_norm_square': 100476.55796575546, 'tokens': 274}
{'loss': 504.0, 'grad_norm_square': 93227.97105836868, 'tokens': 342}
{'loss': 432.0, 'grad_norm_square': 79543.04669427872, 'tokens': 441}
{'loss': 528.0, 'grad_norm_square': 68735.81444263458, 'tokens': 360}
{'loss': 460.0, 'grad_norm_square': 76524.763007164, 'tokens': 306}
{'loss': 402.0, 'grad_norm_square': 70948.0849006176, 'tokens': 343}
{'loss': 360.0, 'grad_norm_square': 46712.835476875305, 'tokens': 230}
{'loss': 572.0, 'grad_norm_square': 146550.1424589157, 'tokens': 438}
{'loss': 446.0, 'grad_norm_square': 59700.00554609299, 'tokens': 330}
{'loss': 636.0, 'grad_norm_square': 99124.45615553856, 'tokens': 488}
{'loss': 442.0, 'grad_norm_square': 106424.85464525223, 'tokens': 343}
{'loss': 510.0, 'grad_norm_square': 65100.51087450981, 'tokens': 360}
{'loss': 368.0, 'grad_norm_square': 72902.07365942001, 'tokens': 227}
{'loss': 560.0, 'grad_norm_square': 78243.02407455444, 'tokens': 400}
{'loss': 418.0, 'grad_norm_square': 64918.72787666321, 'tokens': 389}
