{'model_params': 2506172416, 'peft_params': 2180080}
{'loss': 466.0, 'grad_norm_square': 3680.0, 'tokens': 319}
{'loss': 420.0, 'grad_norm_square': 3888.0, 'tokens': 252}
{'loss': 370.0, 'grad_norm_square': 4192.0, 'tokens': 311}
{'loss': 402.0, 'grad_norm_square': 3664.0, 'tokens': 308}
{'loss': 564.0, 'grad_norm_square': 3616.0, 'tokens': 335}
{'loss': 664.0, 'grad_norm_square': 4160.0, 'tokens': 434}
{'loss': 426.0, 'grad_norm_square': 3696.0, 'tokens': 378}
{'loss': 404.0, 'grad_norm_square': 2688.0, 'tokens': 299}
{'loss': 444.0, 'grad_norm_square': 3088.0, 'tokens': 377}
{'loss': 432.0, 'grad_norm_square': 3216.0, 'tokens': 294}
{'loss': 350.0, 'grad_norm_square': 2880.0, 'tokens': 315}
{'loss': 368.0, 'grad_norm_square': 2640.0, 'tokens': 328}
{'loss': 438.0, 'grad_norm_square': 3440.0, 'tokens': 394}
{'loss': 346.0, 'grad_norm_square': 2800.0, 'tokens': 291}
{'loss': 340.0, 'grad_norm_square': 2576.0, 'tokens': 274}
{'loss': 432.0, 'grad_norm_square': 4016.0, 'tokens': 342}
{'loss': 348.0, 'grad_norm_square': 2624.0, 'tokens': 441}
{'loss': 448.0, 'grad_norm_square': 2992.0, 'tokens': 360}
{'loss': 396.0, 'grad_norm_square': 2768.0, 'tokens': 306}
{'loss': 322.0, 'grad_norm_square': 2096.0, 'tokens': 343}
{'loss': 272.0, 'grad_norm_square': 1952.0, 'tokens': 230}
{'loss': 488.0, 'grad_norm_square': 5152.0, 'tokens': 438}
{'loss': 366.0, 'grad_norm_square': 2848.0, 'tokens': 330}
{'loss': 544.0, 'grad_norm_square': 3840.0, 'tokens': 488}
{'loss': 348.0, 'grad_norm_square': 3168.0, 'tokens': 343}
{'loss': 448.0, 'grad_norm_square': 2992.0, 'tokens': 360}
{'loss': 294.0, 'grad_norm_square': 3584.0, 'tokens': 227}
{'loss': 482.0, 'grad_norm_square': 3104.0, 'tokens': 400}
{'loss': 328.0, 'grad_norm_square': 2304.0, 'tokens': 389}
{'loss': 396.0, 'grad_norm_square': 3264.0, 'tokens': 347}
{'loss': 340.0, 'grad_norm_square': 2304.0, 'tokens': 281}
{'loss': 250.0, 'grad_norm_square': 2064.0, 'tokens': 299}
{'loss': 368.0, 'grad_norm_square': 2336.0, 'tokens': 305}
{'loss': 444.0, 'grad_norm_square': 3520.0, 'tokens': 304}
{'loss': 240.0, 'grad_norm_square': 2128.0, 'tokens': 289}
{'loss': 500.0, 'grad_norm_square': 4160.0, 'tokens': 381}
{'loss': 368.0, 'grad_norm_square': 3120.0, 'tokens': 395}
{'loss': 282.0, 'grad_norm_square': 2096.0, 'tokens': 267}
{'loss': 404.0, 'grad_norm_square': 2464.0, 'tokens': 299}
{'loss': 430.0, 'grad_norm_square': 3104.0, 'tokens': 407}
{'loss': 382.0, 'grad_norm_square': 2912.0, 'tokens': 347}
{'loss': 241.0, 'grad_norm_square': 2144.0, 'tokens': 248}
{'loss': 416.0, 'grad_norm_square': 2944.0, 'tokens': 309}
{'loss': 360.0, 'grad_norm_square': 2704.0, 'tokens': 335}
{'loss': 414.0, 'grad_norm_square': 5472.0, 'tokens': 420}
{'loss': 312.0, 'grad_norm_square': 2448.0, 'tokens': 293}
{'loss': 280.0, 'grad_norm_square': 2464.0, 'tokens': 251}
{'loss': 376.0, 'grad_norm_square': 2608.0, 'tokens': 348}
{'loss': 470.0, 'grad_norm_square': 4064.0, 'tokens': 336}
{'loss': 362.0, 'grad_norm_square': 2624.0, 'tokens': 334}
{'loss': 286.0, 'grad_norm_square': 2432.0, 'tokens': 312}
{'loss': 448.0, 'grad_norm_square': 2704.0, 'tokens': 332}
{'loss': 266.0, 'grad_norm_square': 2320.0, 'tokens': 272}
{'loss': 207.0, 'grad_norm_square': 2048.0, 'tokens': 258}
{'loss': 412.0, 'grad_norm_square': 3536.0, 'tokens': 314}
{'loss': 223.0, 'grad_norm_square': 1872.0, 'tokens': 261}
{'loss': 310.0, 'grad_norm_square': 3072.0, 'tokens': 291}
{'loss': 476.0, 'grad_norm_square': 3504.0, 'tokens': 383}
{'loss': 412.0, 'grad_norm_square': 2960.0, 'tokens': 323}
{'loss': 372.0, 'grad_norm_square': 2560.0, 'tokens': 350}
{'loss': 290.0, 'grad_norm_square': 2400.0, 'tokens': 358}
{'loss': 278.0, 'grad_norm_square': 2096.0, 'tokens': 240}
{'loss': 239.0, 'grad_norm_square': 2024.0, 'tokens': 256}
{'loss': 322.0, 'grad_norm_square': 2352.0, 'tokens': 314}
{'loss': 247.0, 'grad_norm_square': 2496.0, 'tokens': 249}
{'loss': 382.0, 'grad_norm_square': 3600.0, 'tokens': 352}
{'loss': 380.0, 'grad_norm_square': 3232.0, 'tokens': 330}
{'loss': 276.0, 'grad_norm_square': 2096.0, 'tokens': 243}
