{'model_params': 2506172416, 'peft_params': 4358648}
{'loss': 466.0, 'grad_norm_square': 3728.0, 'tokens': 319}
{'loss': 416.0, 'grad_norm_square': 3648.0, 'tokens': 252}
{'loss': 362.0, 'grad_norm_square': 3968.0, 'tokens': 311}
{'loss': 388.0, 'grad_norm_square': 2848.0, 'tokens': 308}
{'loss': 552.0, 'grad_norm_square': 3344.0, 'tokens': 335}
{'loss': 652.0, 'grad_norm_square': 2768.0, 'tokens': 434}
{'loss': 418.0, 'grad_norm_square': 2528.0, 'tokens': 378}
{'loss': 398.0, 'grad_norm_square': 2096.0, 'tokens': 299}
{'loss': 436.0, 'grad_norm_square': 2576.0, 'tokens': 377}
{'loss': 424.0, 'grad_norm_square': 2336.0, 'tokens': 294}
{'loss': 338.0, 'grad_norm_square': 2016.0, 'tokens': 315}
{'loss': 360.0, 'grad_norm_square': 2176.0, 'tokens': 328}
{'loss': 428.0, 'grad_norm_square': 2208.0, 'tokens': 394}
{'loss': 334.0, 'grad_norm_square': 2256.0, 'tokens': 291}
{'loss': 336.0, 'grad_norm_square': 1936.0, 'tokens': 274}
{'loss': 426.0, 'grad_norm_square': 2512.0, 'tokens': 342}
{'loss': 338.0, 'grad_norm_square': 2016.0, 'tokens': 441}
{'loss': 436.0, 'grad_norm_square': 2352.0, 'tokens': 360}
{'loss': 380.0, 'grad_norm_square': 2240.0, 'tokens': 306}
{'loss': 308.0, 'grad_norm_square': 1720.0, 'tokens': 343}
{'loss': 264.0, 'grad_norm_square': 1656.0, 'tokens': 230}
{'loss': 474.0, 'grad_norm_square': 2912.0, 'tokens': 438}
{'loss': 358.0, 'grad_norm_square': 1944.0, 'tokens': 330}
{'loss': 536.0, 'grad_norm_square': 3072.0, 'tokens': 488}
{'loss': 340.0, 'grad_norm_square': 2096.0, 'tokens': 343}
{'loss': 434.0, 'grad_norm_square': 2192.0, 'tokens': 360}
{'loss': 280.0, 'grad_norm_square': 1840.0, 'tokens': 227}
{'loss': 474.0, 'grad_norm_square': 2464.0, 'tokens': 400}
{'loss': 322.0, 'grad_norm_square': 2016.0, 'tokens': 389}
{'loss': 386.0, 'grad_norm_square': 2144.0, 'tokens': 347}
{'loss': 332.0, 'grad_norm_square': 1864.0, 'tokens': 281}
{'loss': 244.0, 'grad_norm_square': 1648.0, 'tokens': 299}
{'loss': 356.0, 'grad_norm_square': 2008.0, 'tokens': 305}
{'loss': 430.0, 'grad_norm_square': 2432.0, 'tokens': 304}
{'loss': 235.0, 'grad_norm_square': 1664.0, 'tokens': 289}
{'loss': 490.0, 'grad_norm_square': 2464.0, 'tokens': 381}
{'loss': 360.0, 'grad_norm_square': 2400.0, 'tokens': 395}
{'loss': 276.0, 'grad_norm_square': 1736.0, 'tokens': 267}
{'loss': 394.0, 'grad_norm_square': 2176.0, 'tokens': 299}
{'loss': 426.0, 'grad_norm_square': 2576.0, 'tokens': 407}
{'loss': 378.0, 'grad_norm_square': 2368.0, 'tokens': 347}
{'loss': 237.0, 'grad_norm_square': 1696.0, 'tokens': 248}
{'loss': 400.0, 'grad_norm_square': 2400.0, 'tokens': 309}
{'loss': 354.0, 'grad_norm_square': 2008.0, 'tokens': 335}
