{'model_params': 2506172416, 'peft_params': 549360}
{'loss': 466.0, 'grad_norm_square': 3472.0, 'tokens': 319}
{'loss': 428.0, 'grad_norm_square': 3872.0, 'tokens': 252}
{'loss': 382.0, 'grad_norm_square': 5088.0, 'tokens': 311}
{'loss': 414.0, 'grad_norm_square': 3344.0, 'tokens': 308}
{'loss': 588.0, 'grad_norm_square': 3632.0, 'tokens': 335}
{'loss': 680.0, 'grad_norm_square': 3408.0, 'tokens': 434}
{'loss': 444.0, 'grad_norm_square': 3248.0, 'tokens': 378}
{'loss': 428.0, 'grad_norm_square': 3184.0, 'tokens': 299}
{'loss': 480.0, 'grad_norm_square': 3952.0, 'tokens': 377}
{'loss': 454.0, 'grad_norm_square': 2784.0, 'tokens': 294}
{'loss': 378.0, 'grad_norm_square': 2912.0, 'tokens': 315}
{'loss': 400.0, 'grad_norm_square': 2816.0, 'tokens': 328}
{'loss': 462.0, 'grad_norm_square': 2752.0, 'tokens': 394}
{'loss': 382.0, 'grad_norm_square': 3520.0, 'tokens': 291}
{'loss': 366.0, 'grad_norm_square': 2464.0, 'tokens': 274}
{'loss': 454.0, 'grad_norm_square': 3168.0, 'tokens': 342}
{'loss': 372.0, 'grad_norm_square': 2240.0, 'tokens': 441}
{'loss': 474.0, 'grad_norm_square': 2704.0, 'tokens': 360}
{'loss': 416.0, 'grad_norm_square': 2512.0, 'tokens': 306}
{'loss': 342.0, 'grad_norm_square': 2048.0, 'tokens': 343}
{'loss': 302.0, 'grad_norm_square': 2096.0, 'tokens': 230}
{'loss': 510.0, 'grad_norm_square': 3952.0, 'tokens': 438}
{'loss': 392.0, 'grad_norm_square': 2448.0, 'tokens': 330}
{'loss': 572.0, 'grad_norm_square': 3920.0, 'tokens': 488}
{'loss': 370.0, 'grad_norm_square': 2416.0, 'tokens': 343}
{'loss': 466.0, 'grad_norm_square': 2720.0, 'tokens': 360}
{'loss': 316.0, 'grad_norm_square': 2496.0, 'tokens': 227}
{'loss': 508.0, 'grad_norm_square': 2640.0, 'tokens': 400}
{'loss': 356.0, 'grad_norm_square': 2096.0, 'tokens': 389}
{'loss': 424.0, 'grad_norm_square': 2816.0, 'tokens': 347}
{'loss': 368.0, 'grad_norm_square': 2208.0, 'tokens': 281}
{'loss': 282.0, 'grad_norm_square': 2304.0, 'tokens': 299}
{'loss': 402.0, 'grad_norm_square': 2432.0, 'tokens': 305}
{'loss': 466.0, 'grad_norm_square': 2560.0, 'tokens': 304}
{'loss': 268.0, 'grad_norm_square': 2024.0, 'tokens': 289}
{'loss': 528.0, 'grad_norm_square': 3104.0, 'tokens': 381}
{'loss': 396.0, 'grad_norm_square': 2416.0, 'tokens': 395}
{'loss': 312.0, 'grad_norm_square': 1976.0, 'tokens': 267}
{'loss': 432.0, 'grad_norm_square': 2272.0, 'tokens': 299}
{'loss': 460.0, 'grad_norm_square': 3008.0, 'tokens': 407}
{'loss': 416.0, 'grad_norm_square': 2672.0, 'tokens': 347}
{'loss': 272.0, 'grad_norm_square': 1968.0, 'tokens': 248}
{'loss': 436.0, 'grad_norm_square': 2560.0, 'tokens': 309}
{'loss': 392.0, 'grad_norm_square': 2384.0, 'tokens': 335}
{'loss': 436.0, 'grad_norm_square': 3232.0, 'tokens': 420}
{'loss': 338.0, 'grad_norm_square': 2224.0, 'tokens': 293}
{'loss': 312.0, 'grad_norm_square': 2464.0, 'tokens': 251}
{'loss': 400.0, 'grad_norm_square': 2288.0, 'tokens': 348}
{'loss': 496.0, 'grad_norm_square': 2992.0, 'tokens': 336}
{'loss': 388.0, 'grad_norm_square': 2256.0, 'tokens': 334}
{'loss': 318.0, 'grad_norm_square': 1968.0, 'tokens': 312}
{'loss': 476.0, 'grad_norm_square': 2336.0, 'tokens': 332}
{'loss': 298.0, 'grad_norm_square': 1952.0, 'tokens': 272}
{'loss': 236.0, 'grad_norm_square': 1912.0, 'tokens': 258}
{'loss': 434.0, 'grad_norm_square': 2544.0, 'tokens': 314}
{'loss': 251.0, 'grad_norm_square': 1656.0, 'tokens': 261}
{'loss': 346.0, 'grad_norm_square': 2640.0, 'tokens': 291}
{'loss': 504.0, 'grad_norm_square': 3456.0, 'tokens': 383}
{'loss': 440.0, 'grad_norm_square': 2496.0, 'tokens': 323}
{'loss': 398.0, 'grad_norm_square': 2304.0, 'tokens': 350}
{'loss': 316.0, 'grad_norm_square': 2176.0, 'tokens': 358}
{'loss': 310.0, 'grad_norm_square': 1872.0, 'tokens': 240}
{'loss': 266.0, 'grad_norm_square': 1896.0, 'tokens': 256}
{'loss': 344.0, 'grad_norm_square': 2048.0, 'tokens': 314}
{'loss': 268.0, 'grad_norm_square': 1824.0, 'tokens': 249}
{'loss': 402.0, 'grad_norm_square': 2592.0, 'tokens': 352}
{'loss': 410.0, 'grad_norm_square': 2832.0, 'tokens': 330}
{'loss': 296.0, 'grad_norm_square': 1968.0, 'tokens': 243}
{'loss': 322.0, 'grad_norm_square': 2944.0, 'tokens': 292}
{'loss': 354.0, 'grad_norm_square': 2384.0, 'tokens': 293}
{'loss': 354.0, 'grad_norm_square': 2432.0, 'tokens': 327}
{'loss': 368.0, 'grad_norm_square': 2576.0, 'tokens': 310}
{'loss': 338.0, 'grad_norm_square': 2656.0, 'tokens': 254}
{'loss': 478.0, 'grad_norm_square': 2928.0, 'tokens': 433}
{'loss': 426.0, 'grad_norm_square': 2320.0, 'tokens': 352}
{'loss': 247.0, 'grad_norm_square': 1688.0, 'tokens': 206}
{'loss': 322.0, 'grad_norm_square': 2272.0, 'tokens': 243}
{'loss': 338.0, 'grad_norm_square': 2400.0, 'tokens': 312}
{'loss': 470.0, 'grad_norm_square': 3200.0, 'tokens': 374}
{'loss': 346.0, 'grad_norm_square': 2576.0, 'tokens': 279}
{'loss': 238.0, 'grad_norm_square': 1912.0, 'tokens': 286}
{'loss': 264.0, 'grad_norm_square': 2256.0, 'tokens': 288}
{'loss': 294.0, 'grad_norm_square': 1792.0, 'tokens': 270}
{'loss': 348.0, 'grad_norm_square': 1936.0, 'tokens': 309}
{'loss': 344.0, 'grad_norm_square': 2528.0, 'tokens': 319}
{'loss': 225.0, 'grad_norm_square': 1664.0, 'tokens': 210}
{'loss': 308.0, 'grad_norm_square': 2336.0, 'tokens': 347}
{'loss': 276.0, 'grad_norm_square': 2512.0, 'tokens': 336}
{'loss': 384.0, 'grad_norm_square': 2672.0, 'tokens': 375}
{'loss': 240.0, 'grad_norm_square': 2064.0, 'tokens': 237}
{'loss': 540.0, 'grad_norm_square': 2784.0, 'tokens': 464}
{'loss': 318.0, 'grad_norm_square': 2480.0, 'tokens': 354}
{'loss': 336.0, 'grad_norm_square': 2448.0, 'tokens': 300}
{'loss': 338.0, 'grad_norm_square': 2576.0, 'tokens': 419}
{'loss': 326.0, 'grad_norm_square': 2704.0, 'tokens': 338}
{'loss': 336.0, 'grad_norm_square': 2272.0, 'tokens': 314}
{'loss': 410.0, 'grad_norm_square': 2208.0, 'tokens': 334}
{'loss': 364.0, 'grad_norm_square': 2160.0, 'tokens': 354}
{'loss': 520.0, 'grad_norm_square': 3600.0, 'tokens': 389}
{'loss': 298.0, 'grad_norm_square': 1800.0, 'tokens': 348}
{'loss': 364.0, 'grad_norm_square': 2928.0, 'tokens': 431}
{'loss': 274.0, 'grad_norm_square': 1976.0, 'tokens': 254}
{'loss': 352.0, 'grad_norm_square': 2656.0, 'tokens': 408}
{'loss': 374.0, 'grad_norm_square': 2736.0, 'tokens': 378}
{'loss': 320.0, 'grad_norm_square': 2368.0, 'tokens': 412}
{'loss': 356.0, 'grad_norm_square': 2112.0, 'tokens': 319}
{'loss': 394.0, 'grad_norm_square': 2432.0, 'tokens': 389}
{'loss': 420.0, 'grad_norm_square': 2464.0, 'tokens': 379}
{'loss': 200.0, 'grad_norm_square': 1888.0, 'tokens': 230}
{'loss': 262.0, 'grad_norm_square': 2256.0, 'tokens': 328}
{'loss': 290.0, 'grad_norm_square': 2720.0, 'tokens': 279}
{'loss': 274.0, 'grad_norm_square': 2224.0, 'tokens': 289}
{'loss': 372.0, 'grad_norm_square': 2592.0, 'tokens': 406}
{'loss': 304.0, 'grad_norm_square': 2656.0, 'tokens': 284}
{'loss': 392.0, 'grad_norm_square': 2112.0, 'tokens': 300}
{'loss': 272.0, 'grad_norm_square': 2144.0, 'tokens': 263}
{'loss': 342.0, 'grad_norm_square': 2608.0, 'tokens': 315}
{'loss': 320.0, 'grad_norm_square': 2128.0, 'tokens': 289}
{'loss': 294.0, 'grad_norm_square': 2400.0, 'tokens': 287}
{'loss': 528.0, 'grad_norm_square': 3168.0, 'tokens': 445}
{'loss': 326.0, 'grad_norm_square': 2224.0, 'tokens': 312}
{'loss': 358.0, 'grad_norm_square': 3056.0, 'tokens': 386}
{'loss': 221.0, 'grad_norm_square': 2288.0, 'tokens': 246}
{'loss': 392.0, 'grad_norm_square': 2528.0, 'tokens': 366}
{'loss': 420.0, 'grad_norm_square': 2608.0, 'tokens': 367}
{'loss': 306.0, 'grad_norm_square': 2080.0, 'tokens': 387}
{'loss': 217.0, 'grad_norm_square': 2160.0, 'tokens': 288}
{'loss': 272.0, 'grad_norm_square': 2464.0, 'tokens': 284}
{'loss': 342.0, 'grad_norm_square': 2048.0, 'tokens': 291}
{'loss': 288.0, 'grad_norm_square': 2160.0, 'tokens': 313}
{'loss': 390.0, 'grad_norm_square': 2688.0, 'tokens': 404}
{'loss': 258.0, 'grad_norm_square': 1832.0, 'tokens': 301}
{'loss': 404.0, 'grad_norm_square': 2736.0, 'tokens': 417}
{'loss': 298.0, 'grad_norm_square': 2024.0, 'tokens': 269}
{'loss': 346.0, 'grad_norm_square': 2896.0, 'tokens': 286}
{'loss': 284.0, 'grad_norm_square': 2048.0, 'tokens': 282}
{'loss': 278.0, 'grad_norm_square': 1808.0, 'tokens': 330}
{'loss': 480.0, 'grad_norm_square': 2880.0, 'tokens': 420}
{'loss': 362.0, 'grad_norm_square': 1936.0, 'tokens': 342}
{'loss': 352.0, 'grad_norm_square': 2192.0, 'tokens': 366}
{'loss': 296.0, 'grad_norm_square': 2816.0, 'tokens': 267}
{'loss': 258.0, 'grad_norm_square': 2144.0, 'tokens': 284}
{'loss': 251.0, 'grad_norm_square': 1808.0, 'tokens': 226}
{'loss': 227.0, 'grad_norm_square': 2080.0, 'tokens': 249}
{'loss': 406.0, 'grad_norm_square': 2912.0, 'tokens': 477}
{'loss': 235.0, 'grad_norm_square': 1832.0, 'tokens': 305}
{'loss': 352.0, 'grad_norm_square': 2656.0, 'tokens': 300}
{'loss': 414.0, 'grad_norm_square': 2656.0, 'tokens': 339}
{'loss': 372.0, 'grad_norm_square': 3104.0, 'tokens': 331}
{'loss': 280.0, 'grad_norm_square': 2064.0, 'tokens': 307}
{'loss': 294.0, 'grad_norm_square': 2496.0, 'tokens': 314}
{'loss': 242.0, 'grad_norm_square': 1928.0, 'tokens': 273}
{'loss': 364.0, 'grad_norm_square': 2528.0, 'tokens': 370}
{'loss': 404.0, 'grad_norm_square': 2304.0, 'tokens': 358}
{'loss': 548.0, 'grad_norm_square': 2928.0, 'tokens': 471}
{'loss': 276.0, 'grad_norm_square': 1936.0, 'tokens': 362}
{'loss': 350.0, 'grad_norm_square': 2576.0, 'tokens': 354}
{'loss': 374.0, 'grad_norm_square': 2496.0, 'tokens': 332}
{'loss': 270.0, 'grad_norm_square': 2208.0, 'tokens': 241}
{'loss': 438.0, 'grad_norm_square': 2208.0, 'tokens': 342}
{'loss': 255.0, 'grad_norm_square': 2432.0, 'tokens': 226}
{'loss': 292.0, 'grad_norm_square': 1880.0, 'tokens': 282}
{'loss': 255.0, 'grad_norm_square': 1872.0, 'tokens': 228}
{'loss': 272.0, 'grad_norm_square': 2368.0, 'tokens': 360}
{'loss': 236.0, 'grad_norm_square': 2064.0, 'tokens': 359}
{'loss': 342.0, 'grad_norm_square': 2176.0, 'tokens': 356}
{'loss': 424.0, 'grad_norm_square': 3120.0, 'tokens': 352}
{'loss': 239.0, 'grad_norm_square': 2432.0, 'tokens': 321}
{'loss': 386.0, 'grad_norm_square': 2608.0, 'tokens': 391}
{'loss': 320.0, 'grad_norm_square': 2128.0, 'tokens': 264}
{'loss': 362.0, 'grad_norm_square': 2352.0, 'tokens': 350}
{'loss': 217.0, 'grad_norm_square': 1856.0, 'tokens': 239}
{'loss': 264.0, 'grad_norm_square': 2080.0, 'tokens': 258}
{'loss': 358.0, 'grad_norm_square': 2800.0, 'tokens': 329}
{'loss': 292.0, 'grad_norm_square': 2000.0, 'tokens': 323}
{'loss': 470.0, 'grad_norm_square': 3440.0, 'tokens': 426}
{'loss': 344.0, 'grad_norm_square': 2192.0, 'tokens': 335}
{'loss': 250.0, 'grad_norm_square': 1736.0, 'tokens': 247}
{'loss': 236.0, 'grad_norm_square': 1696.0, 'tokens': 273}
{'loss': 294.0, 'grad_norm_square': 2256.0, 'tokens': 261}
{'loss': 262.0, 'grad_norm_square': 1936.0, 'tokens': 290}
{'loss': 247.0, 'grad_norm_square': 1992.0, 'tokens': 307}
{'loss': 384.0, 'grad_norm_square': 2416.0, 'tokens': 302}
{'loss': 338.0, 'grad_norm_square': 2112.0, 'tokens': 335}
{'loss': 370.0, 'grad_norm_square': 2368.0, 'tokens': 316}
{'loss': 540.0, 'grad_norm_square': 2720.0, 'tokens': 387}
{'loss': 330.0, 'grad_norm_square': 2416.0, 'tokens': 356}
{'loss': 408.0, 'grad_norm_square': 2304.0, 'tokens': 345}
{'loss': 340.0, 'grad_norm_square': 2816.0, 'tokens': 373}
{'loss': 326.0, 'grad_norm_square': 2128.0, 'tokens': 406}
{'loss': 247.0, 'grad_norm_square': 1848.0, 'tokens': 335}
{'loss': 302.0, 'grad_norm_square': 2304.0, 'tokens': 331}
{'loss': 418.0, 'grad_norm_square': 2928.0, 'tokens': 407}
{'loss': 362.0, 'grad_norm_square': 2528.0, 'tokens': 377}
{'loss': 264.0, 'grad_norm_square': 1872.0, 'tokens': 244}
{'loss': 235.0, 'grad_norm_square': 1832.0, 'tokens': 321}
{'loss': 262.0, 'grad_norm_square': 1928.0, 'tokens': 264}
{'loss': 418.0, 'grad_norm_square': 2592.0, 'tokens': 399}
{'loss': 296.0, 'grad_norm_square': 1968.0, 'tokens': 327}
{'loss': 358.0, 'grad_norm_square': 2736.0, 'tokens': 387}
{'loss': 256.0, 'grad_norm_square': 1880.0, 'tokens': 232}
{'loss': 298.0, 'grad_norm_square': 2720.0, 'tokens': 365}
{'loss': 356.0, 'grad_norm_square': 2128.0, 'tokens': 320}
{'loss': 420.0, 'grad_norm_square': 2496.0, 'tokens': 338}
{'loss': 340.0, 'grad_norm_square': 2528.0, 'tokens': 367}
{'loss': 292.0, 'grad_norm_square': 1896.0, 'tokens': 367}
{'loss': 484.0, 'grad_norm_square': 3056.0, 'tokens': 427}
{'loss': 430.0, 'grad_norm_square': 2528.0, 'tokens': 424}
{'loss': 300.0, 'grad_norm_square': 2144.0, 'tokens': 363}
{'loss': 312.0, 'grad_norm_square': 2640.0, 'tokens': 325}
{'loss': 362.0, 'grad_norm_square': 2288.0, 'tokens': 355}
{'loss': 191.0, 'grad_norm_square': 1888.0, 'tokens': 293}
{'loss': 350.0, 'grad_norm_square': 2224.0, 'tokens': 328}
{'loss': 236.0, 'grad_norm_square': 2000.0, 'tokens': 308}
{'loss': 186.0, 'grad_norm_square': 1672.0, 'tokens': 225}
{'loss': 420.0, 'grad_norm_square': 2144.0, 'tokens': 396}
{'loss': 199.0, 'grad_norm_square': 1752.0, 'tokens': 257}
{'loss': 280.0, 'grad_norm_square': 2432.0, 'tokens': 261}
{'loss': 314.0, 'grad_norm_square': 2480.0, 'tokens': 255}
{'loss': 282.0, 'grad_norm_square': 1912.0, 'tokens': 308}
{'loss': 382.0, 'grad_norm_square': 2400.0, 'tokens': 414}
{'loss': 358.0, 'grad_norm_square': 2432.0, 'tokens': 355}
{'loss': 402.0, 'grad_norm_square': 2800.0, 'tokens': 422}
{'loss': 244.0, 'grad_norm_square': 1960.0, 'tokens': 290}
