{'model_params': 2506172416, 'peft_params': 5612544}
{'loss': 466.0, 'grad_norm_square': 8576.0, 'tokens': 319}
{'loss': 416.0, 'grad_norm_square': 7232.0, 'tokens': 252}
{'loss': 364.0, 'grad_norm_square': 6560.0, 'tokens': 311}
{'loss': 392.0, 'grad_norm_square': 6208.0, 'tokens': 308}
{'loss': 556.0, 'grad_norm_square': 6208.0, 'tokens': 335}
{'loss': 656.0, 'grad_norm_square': 4960.0, 'tokens': 434}
{'loss': 420.0, 'grad_norm_square': 5568.0, 'tokens': 378}
{'loss': 402.0, 'grad_norm_square': 5376.0, 'tokens': 299}
{'loss': 440.0, 'grad_norm_square': 6592.0, 'tokens': 377}
{'loss': 424.0, 'grad_norm_square': 3904.0, 'tokens': 294}
{'loss': 342.0, 'grad_norm_square': 3744.0, 'tokens': 315}
{'loss': 362.0, 'grad_norm_square': 3728.0, 'tokens': 328}
{'loss': 432.0, 'grad_norm_square': 3856.0, 'tokens': 394}
{'loss': 346.0, 'grad_norm_square': 4768.0, 'tokens': 291}
{'loss': 340.0, 'grad_norm_square': 3712.0, 'tokens': 274}
{'loss': 428.0, 'grad_norm_square': 5024.0, 'tokens': 342}
{'loss': 342.0, 'grad_norm_square': 3200.0, 'tokens': 441}
{'loss': 444.0, 'grad_norm_square': 3920.0, 'tokens': 360}
{'loss': 388.0, 'grad_norm_square': 3536.0, 'tokens': 306}
{'loss': 316.0, 'grad_norm_square': 2704.0, 'tokens': 343}
{'loss': 270.0, 'grad_norm_square': 3376.0, 'tokens': 230}
{'loss': 480.0, 'grad_norm_square': 10304.0, 'tokens': 438}
{'loss': 362.0, 'grad_norm_square': 4448.0, 'tokens': 330}
{'loss': 540.0, 'grad_norm_square': 7584.0, 'tokens': 488}
{'loss': 346.0, 'grad_norm_square': 3408.0, 'tokens': 343}
{'loss': 440.0, 'grad_norm_square': 4192.0, 'tokens': 360}
{'loss': 286.0, 'grad_norm_square': 5056.0, 'tokens': 227}
{'loss': 482.0, 'grad_norm_square': 4416.0, 'tokens': 400}
{'loss': 330.0, 'grad_norm_square': 3408.0, 'tokens': 389}
{'loss': 392.0, 'grad_norm_square': 4832.0, 'tokens': 347}
{'loss': 338.0, 'grad_norm_square': 2864.0, 'tokens': 281}
{'loss': 250.0, 'grad_norm_square': 4064.0, 'tokens': 299}
{'loss': 368.0, 'grad_norm_square': 3568.0, 'tokens': 305}
{'loss': 440.0, 'grad_norm_square': 4576.0, 'tokens': 304}
{'loss': 241.0, 'grad_norm_square': 3616.0, 'tokens': 289}
{'loss': 492.0, 'grad_norm_square': 4288.0, 'tokens': 381}
{'loss': 366.0, 'grad_norm_square': 5152.0, 'tokens': 395}
{'loss': 282.0, 'grad_norm_square': 3296.0, 'tokens': 267}
{'loss': 400.0, 'grad_norm_square': 3184.0, 'tokens': 299}
{'loss': 432.0, 'grad_norm_square': 5568.0, 'tokens': 407}
{'loss': 382.0, 'grad_norm_square': 4016.0, 'tokens': 347}
{'loss': 241.0, 'grad_norm_square': 2896.0, 'tokens': 248}
{'loss': 412.0, 'grad_norm_square': 3856.0, 'tokens': 309}
{'loss': 362.0, 'grad_norm_square': 4864.0, 'tokens': 335}
{'loss': 398.0, 'grad_norm_square': 4640.0, 'tokens': 420}
{'loss': 314.0, 'grad_norm_square': 3248.0, 'tokens': 293}
{'loss': 276.0, 'grad_norm_square': 3536.0, 'tokens': 251}
{'loss': 378.0, 'grad_norm_square': 3456.0, 'tokens': 348}
{'loss': 468.0, 'grad_norm_square': 5792.0, 'tokens': 336}
{'loss': 358.0, 'grad_norm_square': 4160.0, 'tokens': 334}
{'loss': 282.0, 'grad_norm_square': 3792.0, 'tokens': 312}
{'loss': 446.0, 'grad_norm_square': 4080.0, 'tokens': 332}
{'loss': 264.0, 'grad_norm_square': 2752.0, 'tokens': 272}
{'loss': 206.0, 'grad_norm_square': 2912.0, 'tokens': 258}
{'loss': 400.0, 'grad_norm_square': 3888.0, 'tokens': 314}
{'loss': 223.0, 'grad_norm_square': 2096.0, 'tokens': 261}
{'loss': 308.0, 'grad_norm_square': 5120.0, 'tokens': 291}
{'loss': 476.0, 'grad_norm_square': 5632.0, 'tokens': 383}
{'loss': 410.0, 'grad_norm_square': 3936.0, 'tokens': 323}
{'loss': 372.0, 'grad_norm_square': 3456.0, 'tokens': 350}
{'loss': 296.0, 'grad_norm_square': 3232.0, 'tokens': 358}
{'loss': 276.0, 'grad_norm_square': 2960.0, 'tokens': 240}
{'loss': 236.0, 'grad_norm_square': 2752.0, 'tokens': 256}
{'loss': 320.0, 'grad_norm_square': 2784.0, 'tokens': 314}
{'loss': 240.0, 'grad_norm_square': 2416.0, 'tokens': 249}
{'loss': 376.0, 'grad_norm_square': 3760.0, 'tokens': 352}
{'loss': 372.0, 'grad_norm_square': 4016.0, 'tokens': 330}
{'loss': 270.0, 'grad_norm_square': 3216.0, 'tokens': 243}
{'loss': 292.0, 'grad_norm_square': 4864.0, 'tokens': 292}
{'loss': 332.0, 'grad_norm_square': 3616.0, 'tokens': 293}
{'loss': 314.0, 'grad_norm_square': 3456.0, 'tokens': 327}
{'loss': 340.0, 'grad_norm_square': 3792.0, 'tokens': 310}
{'loss': 300.0, 'grad_norm_square': 3568.0, 'tokens': 254}
{'loss': 446.0, 'grad_norm_square': 4992.0, 'tokens': 433}
{'loss': 406.0, 'grad_norm_square': 3680.0, 'tokens': 352}
{'loss': 219.0, 'grad_norm_square': 2512.0, 'tokens': 206}
{'loss': 300.0, 'grad_norm_square': 3472.0, 'tokens': 243}
{'loss': 308.0, 'grad_norm_square': 3056.0, 'tokens': 312}
{'loss': 444.0, 'grad_norm_square': 6816.0, 'tokens': 374}
{'loss': 322.0, 'grad_norm_square': 3520.0, 'tokens': 279}
{'loss': 216.0, 'grad_norm_square': 2496.0, 'tokens': 286}
{'loss': 241.0, 'grad_norm_square': 3136.0, 'tokens': 288}
{'loss': 274.0, 'grad_norm_square': 3184.0, 'tokens': 270}
{'loss': 330.0, 'grad_norm_square': 2720.0, 'tokens': 309}
{'loss': 316.0, 'grad_norm_square': 3680.0, 'tokens': 319}
{'loss': 198.0, 'grad_norm_square': 2096.0, 'tokens': 210}
{'loss': 284.0, 'grad_norm_square': 3056.0, 'tokens': 347}
{'loss': 242.0, 'grad_norm_square': 3200.0, 'tokens': 336}
{'loss': 366.0, 'grad_norm_square': 4320.0, 'tokens': 375}
{'loss': 211.0, 'grad_norm_square': 2720.0, 'tokens': 237}
{'loss': 516.0, 'grad_norm_square': 4384.0, 'tokens': 464}
{'loss': 288.0, 'grad_norm_square': 3536.0, 'tokens': 354}
{'loss': 298.0, 'grad_norm_square': 4704.0, 'tokens': 300}
{'loss': 314.0, 'grad_norm_square': 3968.0, 'tokens': 419}
{'loss': 310.0, 'grad_norm_square': 7200.0, 'tokens': 338}
{'loss': 318.0, 'grad_norm_square': 6080.0, 'tokens': 314}
{'loss': 392.0, 'grad_norm_square': 4080.0, 'tokens': 334}
{'loss': 344.0, 'grad_norm_square': 3360.0, 'tokens': 354}
{'loss': 498.0, 'grad_norm_square': 4736.0, 'tokens': 389}
{'loss': 278.0, 'grad_norm_square': 2416.0, 'tokens': 348}
{'loss': 334.0, 'grad_norm_square': 4016.0, 'tokens': 431}
{'loss': 254.0, 'grad_norm_square': 3488.0, 'tokens': 254}
{'loss': 324.0, 'grad_norm_square': 3536.0, 'tokens': 408}
{'loss': 352.0, 'grad_norm_square': 3952.0, 'tokens': 378}
{'loss': 296.0, 'grad_norm_square': 3792.0, 'tokens': 412}
{'loss': 340.0, 'grad_norm_square': 3360.0, 'tokens': 319}
{'loss': 366.0, 'grad_norm_square': 4512.0, 'tokens': 389}
{'loss': 402.0, 'grad_norm_square': 3344.0, 'tokens': 379}
{'loss': 185.0, 'grad_norm_square': 2880.0, 'tokens': 230}
{'loss': 240.0, 'grad_norm_square': 4768.0, 'tokens': 328}
{'loss': 284.0, 'grad_norm_square': 4640.0, 'tokens': 279}
{'loss': 258.0, 'grad_norm_square': 3376.0, 'tokens': 289}
{'loss': 352.0, 'grad_norm_square': 6624.0, 'tokens': 406}
{'loss': 290.0, 'grad_norm_square': 5568.0, 'tokens': 284}
{'loss': 374.0, 'grad_norm_square': 3344.0, 'tokens': 300}
{'loss': 260.0, 'grad_norm_square': 4928.0, 'tokens': 263}
{'loss': 322.0, 'grad_norm_square': 3456.0, 'tokens': 315}
{'loss': 304.0, 'grad_norm_square': 4448.0, 'tokens': 289}
{'loss': 272.0, 'grad_norm_square': 4480.0, 'tokens': 287}
{'loss': 504.0, 'grad_norm_square': 4768.0, 'tokens': 445}
{'loss': 306.0, 'grad_norm_square': 3264.0, 'tokens': 312}
{'loss': 344.0, 'grad_norm_square': 6144.0, 'tokens': 386}
{'loss': 206.0, 'grad_norm_square': 3728.0, 'tokens': 246}
{'loss': 372.0, 'grad_norm_square': 3856.0, 'tokens': 366}
{'loss': 416.0, 'grad_norm_square': 4576.0, 'tokens': 367}
{'loss': 294.0, 'grad_norm_square': 3680.0, 'tokens': 387}
{'loss': 196.0, 'grad_norm_square': 3088.0, 'tokens': 288}
{'loss': 254.0, 'grad_norm_square': 4416.0, 'tokens': 284}
{'loss': 322.0, 'grad_norm_square': 2848.0, 'tokens': 291}
{'loss': 276.0, 'grad_norm_square': 3504.0, 'tokens': 313}
{'loss': 372.0, 'grad_norm_square': 3840.0, 'tokens': 404}
{'loss': 243.0, 'grad_norm_square': 2352.0, 'tokens': 301}
{'loss': 380.0, 'grad_norm_square': 4224.0, 'tokens': 417}
{'loss': 286.0, 'grad_norm_square': 2848.0, 'tokens': 269}
{'loss': 332.0, 'grad_norm_square': 4384.0, 'tokens': 286}
{'loss': 268.0, 'grad_norm_square': 3312.0, 'tokens': 282}
{'loss': 258.0, 'grad_norm_square': 2336.0, 'tokens': 330}
{'loss': 462.0, 'grad_norm_square': 4320.0, 'tokens': 420}
{'loss': 344.0, 'grad_norm_square': 2704.0, 'tokens': 342}
{'loss': 340.0, 'grad_norm_square': 3216.0, 'tokens': 366}
{'loss': 278.0, 'grad_norm_square': 5440.0, 'tokens': 267}
{'loss': 242.0, 'grad_norm_square': 2864.0, 'tokens': 284}
{'loss': 233.0, 'grad_norm_square': 3472.0, 'tokens': 226}
{'loss': 208.0, 'grad_norm_square': 2928.0, 'tokens': 249}
{'loss': 396.0, 'grad_norm_square': 5408.0, 'tokens': 477}
{'loss': 227.0, 'grad_norm_square': 2464.0, 'tokens': 305}
