{'model_params': 2506172416, 'peft_params': 2308096}
{'loss': 466.0, 'grad_norm_square': 3200.0, 'tokens': 319}
{'loss': 422.0, 'grad_norm_square': 3312.0, 'tokens': 252}
{'loss': 370.0, 'grad_norm_square': 3952.0, 'tokens': 311}
{'loss': 398.0, 'grad_norm_square': 2672.0, 'tokens': 308}
{'loss': 564.0, 'grad_norm_square': 2976.0, 'tokens': 335}
{'loss': 660.0, 'grad_norm_square': 2576.0, 'tokens': 434}
{'loss': 424.0, 'grad_norm_square': 2496.0, 'tokens': 378}
{'loss': 406.0, 'grad_norm_square': 2064.0, 'tokens': 299}
{'loss': 444.0, 'grad_norm_square': 2496.0, 'tokens': 377}
{'loss': 428.0, 'grad_norm_square': 2192.0, 'tokens': 294}
{'loss': 344.0, 'grad_norm_square': 1968.0, 'tokens': 315}
{'loss': 366.0, 'grad_norm_square': 2048.0, 'tokens': 328}
{'loss': 434.0, 'grad_norm_square': 2192.0, 'tokens': 394}
{'loss': 344.0, 'grad_norm_square': 2240.0, 'tokens': 291}
{'loss': 344.0, 'grad_norm_square': 1824.0, 'tokens': 274}
{'loss': 430.0, 'grad_norm_square': 2368.0, 'tokens': 342}
{'loss': 348.0, 'grad_norm_square': 1784.0, 'tokens': 441}
{'loss': 448.0, 'grad_norm_square': 2176.0, 'tokens': 360}
{'loss': 388.0, 'grad_norm_square': 2016.0, 'tokens': 306}
{'loss': 318.0, 'grad_norm_square': 1576.0, 'tokens': 343}
{'loss': 272.0, 'grad_norm_square': 1616.0, 'tokens': 230}
{'loss': 486.0, 'grad_norm_square': 2960.0, 'tokens': 438}
{'loss': 366.0, 'grad_norm_square': 1888.0, 'tokens': 330}
{'loss': 544.0, 'grad_norm_square': 2928.0, 'tokens': 488}
{'loss': 346.0, 'grad_norm_square': 1912.0, 'tokens': 343}
{'loss': 440.0, 'grad_norm_square': 2096.0, 'tokens': 360}
{'loss': 288.0, 'grad_norm_square': 1712.0, 'tokens': 227}
{'loss': 480.0, 'grad_norm_square': 2192.0, 'tokens': 400}
{'loss': 328.0, 'grad_norm_square': 1768.0, 'tokens': 389}
{'loss': 394.0, 'grad_norm_square': 2016.0, 'tokens': 347}
{'loss': 340.0, 'grad_norm_square': 1704.0, 'tokens': 281}
{'loss': 251.0, 'grad_norm_square': 1616.0, 'tokens': 299}
{'loss': 368.0, 'grad_norm_square': 1816.0, 'tokens': 305}
{'loss': 436.0, 'grad_norm_square': 2064.0, 'tokens': 304}
{'loss': 241.0, 'grad_norm_square': 1536.0, 'tokens': 289}
{'loss': 492.0, 'grad_norm_square': 2096.0, 'tokens': 381}
{'loss': 364.0, 'grad_norm_square': 2024.0, 'tokens': 395}
{'loss': 282.0, 'grad_norm_square': 1616.0, 'tokens': 267}
{'loss': 400.0, 'grad_norm_square': 1880.0, 'tokens': 299}
{'loss': 428.0, 'grad_norm_square': 2288.0, 'tokens': 407}
