{'model_params': 2506172416, 'peft_params': 1255408}
{'loss': 466.0, 'grad_norm_square': 3120.0, 'tokens': 319}
{'loss': 430.0, 'grad_norm_square': 3424.0, 'tokens': 252}
{'loss': 384.0, 'grad_norm_square': 4768.0, 'tokens': 311}
{'loss': 418.0, 'grad_norm_square': 2992.0, 'tokens': 308}
{'loss': 592.0, 'grad_norm_square': 3264.0, 'tokens': 335}
{'loss': 680.0, 'grad_norm_square': 2784.0, 'tokens': 434}
{'loss': 448.0, 'grad_norm_square': 2608.0, 'tokens': 378}
{'loss': 436.0, 'grad_norm_square': 2656.0, 'tokens': 299}
{'loss': 486.0, 'grad_norm_square': 3296.0, 'tokens': 377}
{'loss': 458.0, 'grad_norm_square': 2272.0, 'tokens': 294}
{'loss': 384.0, 'grad_norm_square': 2608.0, 'tokens': 315}
{'loss': 410.0, 'grad_norm_square': 2448.0, 'tokens': 328}
{'loss': 468.0, 'grad_norm_square': 2384.0, 'tokens': 394}
{'loss': 390.0, 'grad_norm_square': 3440.0, 'tokens': 291}
{'loss': 374.0, 'grad_norm_square': 1968.0, 'tokens': 274}
{'loss': 460.0, 'grad_norm_square': 2704.0, 'tokens': 342}
{'loss': 380.0, 'grad_norm_square': 2016.0, 'tokens': 441}
{'loss': 480.0, 'grad_norm_square': 2112.0, 'tokens': 360}
{'loss': 420.0, 'grad_norm_square': 2128.0, 'tokens': 306}
{'loss': 348.0, 'grad_norm_square': 1832.0, 'tokens': 343}
{'loss': 310.0, 'grad_norm_square': 1760.0, 'tokens': 230}
{'loss': 516.0, 'grad_norm_square': 2560.0, 'tokens': 438}
{'loss': 400.0, 'grad_norm_square': 1824.0, 'tokens': 330}
{'loss': 576.0, 'grad_norm_square': 2640.0, 'tokens': 488}
{'loss': 380.0, 'grad_norm_square': 1936.0, 'tokens': 343}
{'loss': 468.0, 'grad_norm_square': 2096.0, 'tokens': 360}
{'loss': 320.0, 'grad_norm_square': 1696.0, 'tokens': 227}
{'loss': 512.0, 'grad_norm_square': 2176.0, 'tokens': 400}
{'loss': 364.0, 'grad_norm_square': 1760.0, 'tokens': 389}
{'loss': 434.0, 'grad_norm_square': 1904.0, 'tokens': 347}
{'loss': 374.0, 'grad_norm_square': 1608.0, 'tokens': 281}
{'loss': 290.0, 'grad_norm_square': 1520.0, 'tokens': 299}
{'loss': 408.0, 'grad_norm_square': 1856.0, 'tokens': 305}
{'loss': 472.0, 'grad_norm_square': 2112.0, 'tokens': 304}
{'loss': 276.0, 'grad_norm_square': 1488.0, 'tokens': 289}
{'loss': 532.0, 'grad_norm_square': 2080.0, 'tokens': 381}
{'loss': 404.0, 'grad_norm_square': 1912.0, 'tokens': 395}
{'loss': 320.0, 'grad_norm_square': 1608.0, 'tokens': 267}
{'loss': 440.0, 'grad_norm_square': 1896.0, 'tokens': 299}
{'loss': 474.0, 'grad_norm_square': 2400.0, 'tokens': 407}
{'loss': 424.0, 'grad_norm_square': 2144.0, 'tokens': 347}
{'loss': 280.0, 'grad_norm_square': 1424.0, 'tokens': 248}
{'loss': 452.0, 'grad_norm_square': 2080.0, 'tokens': 309}
{'loss': 404.0, 'grad_norm_square': 1784.0, 'tokens': 335}
{'loss': 440.0, 'grad_norm_square': 2304.0, 'tokens': 420}
{'loss': 350.0, 'grad_norm_square': 1856.0, 'tokens': 293}
{'loss': 322.0, 'grad_norm_square': 1888.0, 'tokens': 251}
{'loss': 410.0, 'grad_norm_square': 1872.0, 'tokens': 348}
{'loss': 502.0, 'grad_norm_square': 1864.0, 'tokens': 336}
{'loss': 400.0, 'grad_norm_square': 1880.0, 'tokens': 334}
{'loss': 326.0, 'grad_norm_square': 1656.0, 'tokens': 312}
{'loss': 486.0, 'grad_norm_square': 1888.0, 'tokens': 332}
{'loss': 308.0, 'grad_norm_square': 1448.0, 'tokens': 272}
{'loss': 247.0, 'grad_norm_square': 1592.0, 'tokens': 258}
{'loss': 442.0, 'grad_norm_square': 1904.0, 'tokens': 314}
{'loss': 258.0, 'grad_norm_square': 1288.0, 'tokens': 261}
{'loss': 350.0, 'grad_norm_square': 1944.0, 'tokens': 291}
{'loss': 500.0, 'grad_norm_square': 2224.0, 'tokens': 383}
{'loss': 448.0, 'grad_norm_square': 2024.0, 'tokens': 323}
{'loss': 408.0, 'grad_norm_square': 1976.0, 'tokens': 350}
{'loss': 322.0, 'grad_norm_square': 1680.0, 'tokens': 358}
{'loss': 318.0, 'grad_norm_square': 1512.0, 'tokens': 240}
{'loss': 274.0, 'grad_norm_square': 1536.0, 'tokens': 256}
{'loss': 354.0, 'grad_norm_square': 1664.0, 'tokens': 314}
{'loss': 276.0, 'grad_norm_square': 1408.0, 'tokens': 249}
{'loss': 410.0, 'grad_norm_square': 2096.0, 'tokens': 352}
{'loss': 416.0, 'grad_norm_square': 2128.0, 'tokens': 330}
{'loss': 304.0, 'grad_norm_square': 1568.0, 'tokens': 243}
{'loss': 326.0, 'grad_norm_square': 1968.0, 'tokens': 292}
{'loss': 360.0, 'grad_norm_square': 1856.0, 'tokens': 293}
{'loss': 362.0, 'grad_norm_square': 1888.0, 'tokens': 327}
{'loss': 374.0, 'grad_norm_square': 2080.0, 'tokens': 310}
{'loss': 344.0, 'grad_norm_square': 1984.0, 'tokens': 254}
{'loss': 486.0, 'grad_norm_square': 2448.0, 'tokens': 433}
{'loss': 426.0, 'grad_norm_square': 1728.0, 'tokens': 352}
{'loss': 252.0, 'grad_norm_square': 1384.0, 'tokens': 206}
{'loss': 332.0, 'grad_norm_square': 1784.0, 'tokens': 243}
{'loss': 346.0, 'grad_norm_square': 1872.0, 'tokens': 312}
{'loss': 472.0, 'grad_norm_square': 2096.0, 'tokens': 374}
{'loss': 346.0, 'grad_norm_square': 2008.0, 'tokens': 279}
{'loss': 247.0, 'grad_norm_square': 1488.0, 'tokens': 286}
{'loss': 268.0, 'grad_norm_square': 1744.0, 'tokens': 288}
{'loss': 296.0, 'grad_norm_square': 1400.0, 'tokens': 270}
{'loss': 352.0, 'grad_norm_square': 1504.0, 'tokens': 309}
{'loss': 346.0, 'grad_norm_square': 1824.0, 'tokens': 319}
{'loss': 232.0, 'grad_norm_square': 1328.0, 'tokens': 210}
{'loss': 306.0, 'grad_norm_square': 1608.0, 'tokens': 347}
