{'model_params': 2506172416, 'peft_params': 5419008}
{'loss': 466.0, 'grad_norm_square': 2624.0, 'tokens': 319}
{'loss': 426.0, 'grad_norm_square': 2848.0, 'tokens': 252}
{'loss': 376.0, 'grad_norm_square': 3568.0, 'tokens': 311}
{'loss': 404.0, 'grad_norm_square': 2336.0, 'tokens': 308}
{'loss': 572.0, 'grad_norm_square': 2640.0, 'tokens': 335}
{'loss': 664.0, 'grad_norm_square': 2192.0, 'tokens': 434}
{'loss': 428.0, 'grad_norm_square': 2128.0, 'tokens': 378}
{'loss': 410.0, 'grad_norm_square': 1640.0, 'tokens': 299}
{'loss': 450.0, 'grad_norm_square': 2128.0, 'tokens': 377}
{'loss': 434.0, 'grad_norm_square': 1848.0, 'tokens': 294}
{'loss': 352.0, 'grad_norm_square': 1704.0, 'tokens': 315}
{'loss': 374.0, 'grad_norm_square': 1808.0, 'tokens': 328}
{'loss': 438.0, 'grad_norm_square': 1936.0, 'tokens': 394}
{'loss': 356.0, 'grad_norm_square': 2128.0, 'tokens': 291}
{'loss': 350.0, 'grad_norm_square': 1480.0, 'tokens': 274}
{'loss': 438.0, 'grad_norm_square': 2048.0, 'tokens': 342}
{'loss': 354.0, 'grad_norm_square': 1472.0, 'tokens': 441}
{'loss': 456.0, 'grad_norm_square': 1776.0, 'tokens': 360}
{'loss': 396.0, 'grad_norm_square': 1728.0, 'tokens': 306}
{'loss': 322.0, 'grad_norm_square': 1312.0, 'tokens': 343}
{'loss': 280.0, 'grad_norm_square': 1320.0, 'tokens': 230}
{'loss': 490.0, 'grad_norm_square': 2144.0, 'tokens': 438}
{'loss': 374.0, 'grad_norm_square': 1576.0, 'tokens': 330}
{'loss': 552.0, 'grad_norm_square': 2400.0, 'tokens': 488}
{'loss': 354.0, 'grad_norm_square': 1608.0, 'tokens': 343}
{'loss': 448.0, 'grad_norm_square': 1688.0, 'tokens': 360}
{'loss': 294.0, 'grad_norm_square': 1392.0, 'tokens': 227}
{'loss': 490.0, 'grad_norm_square': 1840.0, 'tokens': 400}
{'loss': 338.0, 'grad_norm_square': 1480.0, 'tokens': 389}
{'loss': 406.0, 'grad_norm_square': 1608.0, 'tokens': 347}
{'loss': 346.0, 'grad_norm_square': 1360.0, 'tokens': 281}
{'loss': 260.0, 'grad_norm_square': 1176.0, 'tokens': 299}
{'loss': 378.0, 'grad_norm_square': 1424.0, 'tokens': 305}
{'loss': 446.0, 'grad_norm_square': 1808.0, 'tokens': 304}
{'loss': 250.0, 'grad_norm_square': 1256.0, 'tokens': 289}
{'loss': 502.0, 'grad_norm_square': 1712.0, 'tokens': 381}
{'loss': 376.0, 'grad_norm_square': 1608.0, 'tokens': 395}
{'loss': 292.0, 'grad_norm_square': 1360.0, 'tokens': 267}
{'loss': 410.0, 'grad_norm_square': 1536.0, 'tokens': 299}
{'loss': 440.0, 'grad_norm_square': 1896.0, 'tokens': 407}
{'loss': 392.0, 'grad_norm_square': 1672.0, 'tokens': 347}
{'loss': 249.0, 'grad_norm_square': 1184.0, 'tokens': 248}
{'loss': 418.0, 'grad_norm_square': 1824.0, 'tokens': 309}
{'loss': 370.0, 'grad_norm_square': 1520.0, 'tokens': 335}
{'loss': 402.0, 'grad_norm_square': 1928.0, 'tokens': 420}
{'loss': 320.0, 'grad_norm_square': 1600.0, 'tokens': 293}
{'loss': 284.0, 'grad_norm_square': 1384.0, 'tokens': 251}
{'loss': 382.0, 'grad_norm_square': 1480.0, 'tokens': 348}
{'loss': 472.0, 'grad_norm_square': 1544.0, 'tokens': 336}
{'loss': 366.0, 'grad_norm_square': 1584.0, 'tokens': 334}
{'loss': 290.0, 'grad_norm_square': 1272.0, 'tokens': 312}
{'loss': 452.0, 'grad_norm_square': 1624.0, 'tokens': 332}
{'loss': 266.0, 'grad_norm_square': 1240.0, 'tokens': 272}
{'loss': 214.0, 'grad_norm_square': 1376.0, 'tokens': 258}
{'loss': 404.0, 'grad_norm_square': 1640.0, 'tokens': 314}
{'loss': 225.0, 'grad_norm_square': 1008.0, 'tokens': 261}
{'loss': 314.0, 'grad_norm_square': 1576.0, 'tokens': 291}
{'loss': 474.0, 'grad_norm_square': 2000.0, 'tokens': 383}
{'loss': 412.0, 'grad_norm_square': 1720.0, 'tokens': 323}
{'loss': 376.0, 'grad_norm_square': 1632.0, 'tokens': 350}
{'loss': 298.0, 'grad_norm_square': 1384.0, 'tokens': 358}
{'loss': 282.0, 'grad_norm_square': 1296.0, 'tokens': 240}
{'loss': 242.0, 'grad_norm_square': 1264.0, 'tokens': 256}
{'loss': 324.0, 'grad_norm_square': 1384.0, 'tokens': 314}
{'loss': 244.0, 'grad_norm_square': 1144.0, 'tokens': 249}
{'loss': 380.0, 'grad_norm_square': 1752.0, 'tokens': 352}
{'loss': 384.0, 'grad_norm_square': 1864.0, 'tokens': 330}
{'loss': 274.0, 'grad_norm_square': 1328.0, 'tokens': 243}
{'loss': 296.0, 'grad_norm_square': 1672.0, 'tokens': 292}
{'loss': 332.0, 'grad_norm_square': 1480.0, 'tokens': 293}
{'loss': 320.0, 'grad_norm_square': 1616.0, 'tokens': 327}
{'loss': 346.0, 'grad_norm_square': 1656.0, 'tokens': 310}
{'loss': 304.0, 'grad_norm_square': 1720.0, 'tokens': 254}
{'loss': 452.0, 'grad_norm_square': 2096.0, 'tokens': 433}
{'loss': 404.0, 'grad_norm_square': 1400.0, 'tokens': 352}
{'loss': 223.0, 'grad_norm_square': 1160.0, 'tokens': 206}
{'loss': 304.0, 'grad_norm_square': 1520.0, 'tokens': 243}
{'loss': 310.0, 'grad_norm_square': 1472.0, 'tokens': 312}
{'loss': 444.0, 'grad_norm_square': 1816.0, 'tokens': 374}
{'loss': 322.0, 'grad_norm_square': 1520.0, 'tokens': 279}
{'loss': 218.0, 'grad_norm_square': 1088.0, 'tokens': 286}
{'loss': 247.0, 'grad_norm_square': 1376.0, 'tokens': 288}
{'loss': 274.0, 'grad_norm_square': 1184.0, 'tokens': 270}
{'loss': 334.0, 'grad_norm_square': 1208.0, 'tokens': 309}
{'loss': 320.0, 'grad_norm_square': 1488.0, 'tokens': 319}
{'loss': 203.0, 'grad_norm_square': 1020.0, 'tokens': 210}
{'loss': 286.0, 'grad_norm_square': 1360.0, 'tokens': 347}
{'loss': 244.0, 'grad_norm_square': 1232.0, 'tokens': 336}
{'loss': 370.0, 'grad_norm_square': 1968.0, 'tokens': 375}
{'loss': 215.0, 'grad_norm_square': 1288.0, 'tokens': 237}
{'loss': 516.0, 'grad_norm_square': 1808.0, 'tokens': 464}
{'loss': 298.0, 'grad_norm_square': 1496.0, 'tokens': 354}
{'loss': 308.0, 'grad_norm_square': 1632.0, 'tokens': 300}
{'loss': 316.0, 'grad_norm_square': 1456.0, 'tokens': 419}
{'loss': 310.0, 'grad_norm_square': 1688.0, 'tokens': 338}
{'loss': 318.0, 'grad_norm_square': 1320.0, 'tokens': 314}
{'loss': 392.0, 'grad_norm_square': 1408.0, 'tokens': 334}
{'loss': 342.0, 'grad_norm_square': 1240.0, 'tokens': 354}
{'loss': 496.0, 'grad_norm_square': 2032.0, 'tokens': 389}
