{'model_params': 2506172416, 'peft_params': 1262464}
{'loss': 580.0, 'grad_norm_square': 47360.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 75264.0, 'tokens': 312}
{'loss': 748.0, 'grad_norm_square': 95232.0, 'tokens': 432}
{'loss': 756.0, 'grad_norm_square': 58624.0, 'tokens': 471}
{'loss': 358.0, 'grad_norm_square': 35584.0, 'tokens': 327}
{'loss': 376.0, 'grad_norm_square': 33536.0, 'tokens': 314}
{'loss': 716.0, 'grad_norm_square': 51712.0, 'tokens': 457}
{'loss': 306.0, 'grad_norm_square': 44544.0, 'tokens': 255}
{'loss': 532.0, 'grad_norm_square': 54528.0, 'tokens': 437}
{'loss': 370.0, 'grad_norm_square': 49920.0, 'tokens': 371}
{'loss': 656.0, 'grad_norm_square': 50176.0, 'tokens': 471}
{'loss': 568.0, 'grad_norm_square': 48640.0, 'tokens': 452}
{'loss': 302.0, 'grad_norm_square': 31104.0, 'tokens': 261}
{'loss': 648.0, 'grad_norm_square': 43008.0, 'tokens': 419}
{'loss': 684.0, 'grad_norm_square': 52480.0, 'tokens': 450}
{'loss': 502.0, 'grad_norm_square': 42752.0, 'tokens': 446}
{'loss': 700.0, 'grad_norm_square': 41472.0, 'tokens': 452}
{'loss': 268.0, 'grad_norm_square': 26752.0, 'tokens': 262}
{'loss': 506.0, 'grad_norm_square': 34560.0, 'tokens': 375}
{'loss': 580.0, 'grad_norm_square': 39680.0, 'tokens': 405}
{'loss': 528.0, 'grad_norm_square': 35072.0, 'tokens': 409}
{'loss': 492.0, 'grad_norm_square': 36864.0, 'tokens': 410}
{'loss': 556.0, 'grad_norm_square': 37888.0, 'tokens': 429}
{'loss': 528.0, 'grad_norm_square': 37632.0, 'tokens': 408}
{'loss': 520.0, 'grad_norm_square': 43008.0, 'tokens': 427}
{'loss': 720.0, 'grad_norm_square': 48384.0, 'tokens': 445}
{'loss': 596.0, 'grad_norm_square': 66048.0, 'tokens': 461}
{'loss': 592.0, 'grad_norm_square': 48640.0, 'tokens': 444}
{'loss': 576.0, 'grad_norm_square': 38144.0, 'tokens': 459}
{'loss': 370.0, 'grad_norm_square': 27520.0, 'tokens': 295}
{'loss': 608.0, 'grad_norm_square': 36352.0, 'tokens': 420}
{'loss': 664.0, 'grad_norm_square': 48896.0, 'tokens': 476}
{'loss': 540.0, 'grad_norm_square': 32512.0, 'tokens': 430}
{'loss': 568.0, 'grad_norm_square': 38400.0, 'tokens': 441}
{'loss': 472.0, 'grad_norm_square': 32640.0, 'tokens': 402}
{'loss': 464.0, 'grad_norm_square': 24192.0, 'tokens': 328}
{'loss': 504.0, 'grad_norm_square': 32000.0, 'tokens': 453}
{'loss': 356.0, 'grad_norm_square': 27008.0, 'tokens': 375}
{'loss': 520.0, 'grad_norm_square': 30720.0, 'tokens': 434}
{'loss': 396.0, 'grad_norm_square': 28544.0, 'tokens': 383}
{'loss': 480.0, 'grad_norm_square': 29312.0, 'tokens': 411}
{'loss': 556.0, 'grad_norm_square': 32256.0, 'tokens': 469}
{'loss': 468.0, 'grad_norm_square': 32384.0, 'tokens': 392}
{'loss': 482.0, 'grad_norm_square': 29568.0, 'tokens': 460}
{'loss': 424.0, 'grad_norm_square': 26112.0, 'tokens': 398}
{'loss': 282.0, 'grad_norm_square': 20992.0, 'tokens': 284}
{'loss': 206.0, 'grad_norm_square': 24448.0, 'tokens': 275}
{'loss': 584.0, 'grad_norm_square': 36096.0, 'tokens': 435}
{'loss': 248.0, 'grad_norm_square': 22784.0, 'tokens': 287}
{'loss': 524.0, 'grad_norm_square': 33280.0, 'tokens': 440}
{'loss': 412.0, 'grad_norm_square': 29568.0, 'tokens': 326}
{'loss': 336.0, 'grad_norm_square': 23424.0, 'tokens': 349}
{'loss': 156.0, 'grad_norm_square': 16512.0, 'tokens': 255}
{'loss': 253.0, 'grad_norm_square': 20608.0, 'tokens': 281}
{'loss': 516.0, 'grad_norm_square': 31360.0, 'tokens': 435}
{'loss': 712.0, 'grad_norm_square': 32768.0, 'tokens': 393}
{'loss': 620.0, 'grad_norm_square': 39168.0, 'tokens': 480}
{'loss': 604.0, 'grad_norm_square': 32128.0, 'tokens': 459}
{'loss': 600.0, 'grad_norm_square': 37632.0, 'tokens': 477}
{'loss': 458.0, 'grad_norm_square': 41216.0, 'tokens': 464}
{'loss': 260.0, 'grad_norm_square': 20352.0, 'tokens': 263}
