{'model_params': 2506172416, 'peft_params': 274288}
{'loss': 580.0, 'grad_norm_square': 65280.0, 'tokens': 455}
{'loss': 418.0, 'grad_norm_square': 111616.0, 'tokens': 312}
{'loss': 748.0, 'grad_norm_square': 134144.0, 'tokens': 432}
{'loss': 756.0, 'grad_norm_square': 85504.0, 'tokens': 471}
{'loss': 358.0, 'grad_norm_square': 50688.0, 'tokens': 327}
{'loss': 378.0, 'grad_norm_square': 48384.0, 'tokens': 314}
{'loss': 716.0, 'grad_norm_square': 75776.0, 'tokens': 457}
{'loss': 308.0, 'grad_norm_square': 64512.0, 'tokens': 255}
{'loss': 532.0, 'grad_norm_square': 83456.0, 'tokens': 437}
{'loss': 370.0, 'grad_norm_square': 74240.0, 'tokens': 371}
{'loss': 656.0, 'grad_norm_square': 73728.0, 'tokens': 471}
{'loss': 572.0, 'grad_norm_square': 69632.0, 'tokens': 452}
{'loss': 302.0, 'grad_norm_square': 47872.0, 'tokens': 261}
{'loss': 648.0, 'grad_norm_square': 62464.0, 'tokens': 419}
{'loss': 688.0, 'grad_norm_square': 78848.0, 'tokens': 450}
{'loss': 504.0, 'grad_norm_square': 64256.0, 'tokens': 446}
{'loss': 704.0, 'grad_norm_square': 58368.0, 'tokens': 452}
{'loss': 270.0, 'grad_norm_square': 38400.0, 'tokens': 262}
{'loss': 508.0, 'grad_norm_square': 48384.0, 'tokens': 375}
{'loss': 588.0, 'grad_norm_square': 58624.0, 'tokens': 405}
{'loss': 532.0, 'grad_norm_square': 50688.0, 'tokens': 409}
{'loss': 496.0, 'grad_norm_square': 54784.0, 'tokens': 410}
{'loss': 560.0, 'grad_norm_square': 56320.0, 'tokens': 429}
{'loss': 532.0, 'grad_norm_square': 55296.0, 'tokens': 408}
{'loss': 524.0, 'grad_norm_square': 63744.0, 'tokens': 427}
{'loss': 728.0, 'grad_norm_square': 70656.0, 'tokens': 445}
{'loss': 612.0, 'grad_norm_square': 98816.0, 'tokens': 461}
{'loss': 592.0, 'grad_norm_square': 70656.0, 'tokens': 444}
{'loss': 580.0, 'grad_norm_square': 58368.0, 'tokens': 459}
{'loss': 374.0, 'grad_norm_square': 39936.0, 'tokens': 295}
{'loss': 612.0, 'grad_norm_square': 51456.0, 'tokens': 420}
{'loss': 680.0, 'grad_norm_square': 76288.0, 'tokens': 476}
{'loss': 544.0, 'grad_norm_square': 48384.0, 'tokens': 430}
{'loss': 568.0, 'grad_norm_square': 55296.0, 'tokens': 441}
{'loss': 474.0, 'grad_norm_square': 51456.0, 'tokens': 402}
{'loss': 468.0, 'grad_norm_square': 35072.0, 'tokens': 328}
{'loss': 506.0, 'grad_norm_square': 46848.0, 'tokens': 453}
{'loss': 358.0, 'grad_norm_square': 36608.0, 'tokens': 375}
{'loss': 528.0, 'grad_norm_square': 46336.0, 'tokens': 434}
{'loss': 402.0, 'grad_norm_square': 44544.0, 'tokens': 383}
{'loss': 486.0, 'grad_norm_square': 41728.0, 'tokens': 411}
{'loss': 560.0, 'grad_norm_square': 50432.0, 'tokens': 469}
{'loss': 476.0, 'grad_norm_square': 46592.0, 'tokens': 392}
{'loss': 492.0, 'grad_norm_square': 52224.0, 'tokens': 460}
{'loss': 428.0, 'grad_norm_square': 38400.0, 'tokens': 398}
{'loss': 282.0, 'grad_norm_square': 32000.0, 'tokens': 284}
{'loss': 207.0, 'grad_norm_square': 33280.0, 'tokens': 275}
{'loss': 596.0, 'grad_norm_square': 57600.0, 'tokens': 435}
{'loss': 251.0, 'grad_norm_square': 34560.0, 'tokens': 287}
{'loss': 532.0, 'grad_norm_square': 48384.0, 'tokens': 440}
{'loss': 416.0, 'grad_norm_square': 40704.0, 'tokens': 326}
{'loss': 338.0, 'grad_norm_square': 34816.0, 'tokens': 349}
{'loss': 158.0, 'grad_norm_square': 23296.0, 'tokens': 255}
{'loss': 256.0, 'grad_norm_square': 30464.0, 'tokens': 281}
{'loss': 524.0, 'grad_norm_square': 49408.0, 'tokens': 435}
{'loss': 716.0, 'grad_norm_square': 47360.0, 'tokens': 393}
{'loss': 628.0, 'grad_norm_square': 65280.0, 'tokens': 480}
{'loss': 612.0, 'grad_norm_square': 48384.0, 'tokens': 459}
{'loss': 604.0, 'grad_norm_square': 48640.0, 'tokens': 477}
{'loss': 462.0, 'grad_norm_square': 58368.0, 'tokens': 464}
{'loss': 258.0, 'grad_norm_square': 28544.0, 'tokens': 263}
{'loss': 648.0, 'grad_norm_square': 48896.0, 'tokens': 489}
{'loss': 482.0, 'grad_norm_square': 43264.0, 'tokens': 376}
{'loss': 520.0, 'grad_norm_square': 46592.0, 'tokens': 455}
{'loss': 584.0, 'grad_norm_square': 41472.0, 'tokens': 420}
{'loss': 464.0, 'grad_norm_square': 40960.0, 'tokens': 414}
{'loss': 268.0, 'grad_norm_square': 29440.0, 'tokens': 260}
{'loss': 430.0, 'grad_norm_square': 33792.0, 'tokens': 379}
{'loss': 249.0, 'grad_norm_square': 29952.0, 'tokens': 257}
{'loss': 434.0, 'grad_norm_square': 35072.0, 'tokens': 413}
{'loss': 450.0, 'grad_norm_square': 39680.0, 'tokens': 386}
{'loss': 304.0, 'grad_norm_square': 26752.0, 'tokens': 258}
{'loss': 314.0, 'grad_norm_square': 31360.0, 'tokens': 281}
{'loss': 464.0, 'grad_norm_square': 39424.0, 'tokens': 472}
{'loss': 338.0, 'grad_norm_square': 33024.0, 'tokens': 334}
{'loss': 644.0, 'grad_norm_square': 54784.0, 'tokens': 437}
{'loss': 644.0, 'grad_norm_square': 45568.0, 'tokens': 499}
{'loss': 492.0, 'grad_norm_square': 43264.0, 'tokens': 448}
{'loss': 246.0, 'grad_norm_square': 26752.0, 'tokens': 248}
{'loss': 332.0, 'grad_norm_square': 37120.0, 'tokens': 310}
{'loss': 366.0, 'grad_norm_square': 31232.0, 'tokens': 271}
{'loss': 434.0, 'grad_norm_square': 39936.0, 'tokens': 416}
{'loss': 596.0, 'grad_norm_square': 49152.0, 'tokens': 445}
{'loss': 246.0, 'grad_norm_square': 26624.0, 'tokens': 261}
{'loss': 320.0, 'grad_norm_square': 31616.0, 'tokens': 316}
{'loss': 286.0, 'grad_norm_square': 29568.0, 'tokens': 299}
{'loss': 320.0, 'grad_norm_square': 42752.0, 'tokens': 378}
{'loss': 243.0, 'grad_norm_square': 28416.0, 'tokens': 261}
{'loss': 504.0, 'grad_norm_square': 37376.0, 'tokens': 403}
{'loss': 652.0, 'grad_norm_square': 43520.0, 'tokens': 467}
{'loss': 250.0, 'grad_norm_square': 27008.0, 'tokens': 292}
{'loss': 512.0, 'grad_norm_square': 43520.0, 'tokens': 439}
{'loss': 608.0, 'grad_norm_square': 51200.0, 'tokens': 438}
{'loss': 364.0, 'grad_norm_square': 36608.0, 'tokens': 363}
{'loss': 564.0, 'grad_norm_square': 43520.0, 'tokens': 482}
{'loss': 358.0, 'grad_norm_square': 36864.0, 'tokens': 341}
{'loss': 520.0, 'grad_norm_square': 49664.0, 'tokens': 469}
{'loss': 314.0, 'grad_norm_square': 29568.0, 'tokens': 252}
{'loss': 354.0, 'grad_norm_square': 32512.0, 'tokens': 386}
{'loss': 480.0, 'grad_norm_square': 36352.0, 'tokens': 438}
{'loss': 450.0, 'grad_norm_square': 43264.0, 'tokens': 440}
{'loss': 408.0, 'grad_norm_square': 42240.0, 'tokens': 281}
{'loss': 476.0, 'grad_norm_square': 40704.0, 'tokens': 436}
{'loss': 376.0, 'grad_norm_square': 39936.0, 'tokens': 361}
{'loss': 584.0, 'grad_norm_square': 49408.0, 'tokens': 394}
{'loss': 243.0, 'grad_norm_square': 30464.0, 'tokens': 278}
{'loss': 366.0, 'grad_norm_square': 32512.0, 'tokens': 364}
{'loss': 516.0, 'grad_norm_square': 43520.0, 'tokens': 425}
{'loss': 500.0, 'grad_norm_square': 43520.0, 'tokens': 411}
{'loss': 294.0, 'grad_norm_square': 29696.0, 'tokens': 281}
{'loss': 540.0, 'grad_norm_square': 42496.0, 'tokens': 434}
{'loss': 498.0, 'grad_norm_square': 38144.0, 'tokens': 404}
{'loss': 656.0, 'grad_norm_square': 44800.0, 'tokens': 457}
{'loss': 520.0, 'grad_norm_square': 52224.0, 'tokens': 472}
{'loss': 462.0, 'grad_norm_square': 45568.0, 'tokens': 400}
