{'model_params': 2506172416, 'peft_params': 10321920}
{'loss': 580.0, 'grad_norm_square': 9408.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 14336.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 18560.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 12096.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 7040.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 7456.0, 'tokens': 314}
{'loss': 736.0, 'grad_norm_square': 10880.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 9728.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 13824.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 13888.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 12608.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 11584.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 6304.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 11328.0, 'tokens': 419}
{'loss': 744.0, 'grad_norm_square': 17792.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 10688.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 8640.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7520.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 11840.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 12224.0, 'tokens': 405}
{'loss': 584.0, 'grad_norm_square': 11136.0, 'tokens': 409}
{'loss': 544.0, 'grad_norm_square': 11392.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 9792.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 10816.0, 'tokens': 408}
{'loss': 600.0, 'grad_norm_square': 18304.0, 'tokens': 427}
{'loss': 836.0, 'grad_norm_square': 19072.0, 'tokens': 445}
{'loss': 756.0, 'grad_norm_square': 34816.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 13952.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 13376.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 5888.0, 'tokens': 295}
{'loss': 664.0, 'grad_norm_square': 9216.0, 'tokens': 420}
{'loss': 804.0, 'grad_norm_square': 23808.0, 'tokens': 476}
{'loss': 608.0, 'grad_norm_square': 10176.0, 'tokens': 430}
{'loss': 656.0, 'grad_norm_square': 16128.0, 'tokens': 441}
{'loss': 548.0, 'grad_norm_square': 12672.0, 'tokens': 402}
{'loss': 516.0, 'grad_norm_square': 9024.0, 'tokens': 328}
{'loss': 576.0, 'grad_norm_square': 9920.0, 'tokens': 453}
{'loss': 380.0, 'grad_norm_square': 4832.0, 'tokens': 375}
{'loss': 600.0, 'grad_norm_square': 9728.0, 'tokens': 434}
{'loss': 488.0, 'grad_norm_square': 9408.0, 'tokens': 383}
{'loss': 540.0, 'grad_norm_square': 7264.0, 'tokens': 411}
{'loss': 692.0, 'grad_norm_square': 32640.0, 'tokens': 469}
{'loss': 564.0, 'grad_norm_square': 18432.0, 'tokens': 392}
