{'model_params': 2506172416, 'peft_params': 5612544}
{'loss': 580.0, 'grad_norm_square': 10944.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 17792.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 22272.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 15360.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 9472.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 9088.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 14336.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 12096.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 17536.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 16768.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 16000.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 14848.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 7520.0, 'tokens': 261}
{'loss': 684.0, 'grad_norm_square': 15040.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 21888.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 16640.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 12800.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7136.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 24960.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 18304.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 14656.0, 'tokens': 409}
{'loss': 540.0, 'grad_norm_square': 13888.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 12352.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 13120.0, 'tokens': 408}
{'loss': 596.0, 'grad_norm_square': 27520.0, 'tokens': 427}
{'loss': 828.0, 'grad_norm_square': 22912.0, 'tokens': 445}
{'loss': 752.0, 'grad_norm_square': 42496.0, 'tokens': 461}
{'loss': 668.0, 'grad_norm_square': 16896.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 17408.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 6784.0, 'tokens': 295}
{'loss': 660.0, 'grad_norm_square': 11136.0, 'tokens': 420}
{'loss': 796.0, 'grad_norm_square': 25344.0, 'tokens': 476}
{'loss': 604.0, 'grad_norm_square': 16128.0, 'tokens': 430}
{'loss': 652.0, 'grad_norm_square': 18048.0, 'tokens': 441}
{'loss': 540.0, 'grad_norm_square': 18944.0, 'tokens': 402}
{'loss': 512.0, 'grad_norm_square': 12480.0, 'tokens': 328}
{'loss': 572.0, 'grad_norm_square': 12864.0, 'tokens': 453}
{'loss': 378.0, 'grad_norm_square': 6048.0, 'tokens': 375}
{'loss': 596.0, 'grad_norm_square': 12096.0, 'tokens': 434}
{'loss': 484.0, 'grad_norm_square': 10816.0, 'tokens': 383}
{'loss': 536.0, 'grad_norm_square': 10688.0, 'tokens': 411}
{'loss': 676.0, 'grad_norm_square': 31104.0, 'tokens': 469}
{'loss': 560.0, 'grad_norm_square': 19328.0, 'tokens': 392}
{'loss': 600.0, 'grad_norm_square': 13824.0, 'tokens': 460}
{'loss': 496.0, 'grad_norm_square': 12224.0, 'tokens': 398}
{'loss': 324.0, 'grad_norm_square': 11136.0, 'tokens': 284}
{'loss': 284.0, 'grad_norm_square': 20736.0, 'tokens': 275}
{'loss': 748.0, 'grad_norm_square': 19712.0, 'tokens': 435}
{'loss': 280.0, 'grad_norm_square': 6336.0, 'tokens': 287}
{'loss': 624.0, 'grad_norm_square': 14272.0, 'tokens': 440}
{'loss': 462.0, 'grad_norm_square': 11648.0, 'tokens': 326}
{'loss': 378.0, 'grad_norm_square': 8768.0, 'tokens': 349}
{'loss': 205.0, 'grad_norm_square': 5568.0, 'tokens': 255}
{'loss': 298.0, 'grad_norm_square': 7616.0, 'tokens': 281}
{'loss': 628.0, 'grad_norm_square': 17408.0, 'tokens': 435}
{'loss': 776.0, 'grad_norm_square': 11584.0, 'tokens': 393}
{'loss': 796.0, 'grad_norm_square': 17664.0, 'tokens': 480}
{'loss': 720.0, 'grad_norm_square': 15488.0, 'tokens': 459}
{'loss': 700.0, 'grad_norm_square': 23808.0, 'tokens': 477}
{'loss': 584.0, 'grad_norm_square': 24576.0, 'tokens': 464}
{'loss': 288.0, 'grad_norm_square': 6944.0, 'tokens': 263}
{'loss': 764.0, 'grad_norm_square': 65280.0, 'tokens': 489}
{'loss': 536.0, 'grad_norm_square': 8320.0, 'tokens': 376}
{'loss': 652.0, 'grad_norm_square': 17920.0, 'tokens': 455}
{'loss': 708.0, 'grad_norm_square': 16512.0, 'tokens': 420}
{'loss': 556.0, 'grad_norm_square': 11584.0, 'tokens': 414}
{'loss': 326.0, 'grad_norm_square': 13056.0, 'tokens': 260}
{'loss': 524.0, 'grad_norm_square': 13376.0, 'tokens': 379}
{'loss': 290.0, 'grad_norm_square': 9280.0, 'tokens': 257}
{'loss': 512.0, 'grad_norm_square': 9600.0, 'tokens': 413}
{'loss': 528.0, 'grad_norm_square': 11136.0, 'tokens': 386}
