{'model_params': 2506172416, 'peft_params': 982492}
{'loss': 580.0, 'grad_norm_square': 25984.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 40448.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 53504.0, 'tokens': 432}
{'loss': 760.0, 'grad_norm_square': 35840.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 20864.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 21248.0, 'tokens': 314}
{'loss': 728.0, 'grad_norm_square': 33792.0, 'tokens': 457}
{'loss': 316.0, 'grad_norm_square': 30464.0, 'tokens': 255}
{'loss': 548.0, 'grad_norm_square': 35328.0, 'tokens': 437}
{'loss': 388.0, 'grad_norm_square': 34816.0, 'tokens': 371}
{'loss': 684.0, 'grad_norm_square': 34048.0, 'tokens': 471}
{'loss': 592.0, 'grad_norm_square': 30976.0, 'tokens': 452}
{'loss': 310.0, 'grad_norm_square': 18688.0, 'tokens': 261}
{'loss': 672.0, 'grad_norm_square': 29696.0, 'tokens': 419}
{'loss': 724.0, 'grad_norm_square': 45568.0, 'tokens': 450}
{'loss': 528.0, 'grad_norm_square': 29824.0, 'tokens': 446}
{'loss': 724.0, 'grad_norm_square': 25344.0, 'tokens': 452}
{'loss': 282.0, 'grad_norm_square': 20352.0, 'tokens': 262}
{'loss': 528.0, 'grad_norm_square': 29696.0, 'tokens': 375}
{'loss': 616.0, 'grad_norm_square': 32128.0, 'tokens': 405}
{'loss': 564.0, 'grad_norm_square': 25472.0, 'tokens': 409}
{'loss': 524.0, 'grad_norm_square': 26368.0, 'tokens': 410}
{'loss': 588.0, 'grad_norm_square': 25728.0, 'tokens': 429}
{'loss': 568.0, 'grad_norm_square': 25984.0, 'tokens': 408}
{'loss': 564.0, 'grad_norm_square': 37888.0, 'tokens': 427}
{'loss': 788.0, 'grad_norm_square': 43264.0, 'tokens': 445}
{'loss': 692.0, 'grad_norm_square': 65536.0, 'tokens': 461}
{'loss': 640.0, 'grad_norm_square': 33024.0, 'tokens': 444}
{'loss': 628.0, 'grad_norm_square': 28928.0, 'tokens': 459}
{'loss': 390.0, 'grad_norm_square': 17664.0, 'tokens': 295}
{'loss': 640.0, 'grad_norm_square': 23936.0, 'tokens': 420}
{'loss': 744.0, 'grad_norm_square': 47360.0, 'tokens': 476}
{'loss': 580.0, 'grad_norm_square': 23424.0, 'tokens': 430}
{'loss': 620.0, 'grad_norm_square': 33536.0, 'tokens': 441}
{'loss': 512.0, 'grad_norm_square': 24448.0, 'tokens': 402}
{'loss': 492.0, 'grad_norm_square': 18304.0, 'tokens': 328}
{'loss': 544.0, 'grad_norm_square': 21888.0, 'tokens': 453}
{'loss': 370.0, 'grad_norm_square': 15872.0, 'tokens': 375}
{'loss': 564.0, 'grad_norm_square': 21120.0, 'tokens': 434}
{'loss': 450.0, 'grad_norm_square': 21632.0, 'tokens': 383}
{'loss': 516.0, 'grad_norm_square': 20608.0, 'tokens': 411}
{'loss': 616.0, 'grad_norm_square': 39424.0, 'tokens': 469}
{'loss': 520.0, 'grad_norm_square': 30464.0, 'tokens': 392}
{'loss': 556.0, 'grad_norm_square': 24704.0, 'tokens': 460}
{'loss': 466.0, 'grad_norm_square': 23552.0, 'tokens': 398}
{'loss': 304.0, 'grad_norm_square': 20480.0, 'tokens': 284}
{'loss': 251.0, 'grad_norm_square': 42240.0, 'tokens': 275}
{'loss': 684.0, 'grad_norm_square': 32384.0, 'tokens': 435}
{'loss': 268.0, 'grad_norm_square': 13056.0, 'tokens': 287}
{'loss': 584.0, 'grad_norm_square': 25472.0, 'tokens': 440}
{'loss': 438.0, 'grad_norm_square': 20992.0, 'tokens': 326}
{'loss': 360.0, 'grad_norm_square': 16896.0, 'tokens': 349}
{'loss': 183.0, 'grad_norm_square': 12800.0, 'tokens': 255}
{'loss': 280.0, 'grad_norm_square': 14848.0, 'tokens': 281}
{'loss': 580.0, 'grad_norm_square': 24576.0, 'tokens': 435}
{'loss': 748.0, 'grad_norm_square': 21376.0, 'tokens': 393}
{'loss': 720.0, 'grad_norm_square': 30080.0, 'tokens': 480}
{'loss': 664.0, 'grad_norm_square': 26240.0, 'tokens': 459}
{'loss': 652.0, 'grad_norm_square': 30976.0, 'tokens': 477}
{'loss': 528.0, 'grad_norm_square': 36096.0, 'tokens': 464}
{'loss': 274.0, 'grad_norm_square': 13248.0, 'tokens': 263}
{'loss': 700.0, 'grad_norm_square': 52992.0, 'tokens': 489}
{'loss': 510.0, 'grad_norm_square': 18176.0, 'tokens': 376}
{'loss': 588.0, 'grad_norm_square': 30080.0, 'tokens': 455}
{'loss': 644.0, 'grad_norm_square': 26240.0, 'tokens': 420}
{'loss': 508.0, 'grad_norm_square': 21760.0, 'tokens': 414}
{'loss': 296.0, 'grad_norm_square': 15616.0, 'tokens': 260}
{'loss': 474.0, 'grad_norm_square': 23296.0, 'tokens': 379}
{'loss': 268.0, 'grad_norm_square': 15232.0, 'tokens': 257}
{'loss': 470.0, 'grad_norm_square': 18432.0, 'tokens': 413}
{'loss': 486.0, 'grad_norm_square': 19328.0, 'tokens': 386}
{'loss': 320.0, 'grad_norm_square': 12416.0, 'tokens': 258}
{'loss': 344.0, 'grad_norm_square': 18944.0, 'tokens': 281}
{'loss': 506.0, 'grad_norm_square': 20864.0, 'tokens': 472}
{'loss': 354.0, 'grad_norm_square': 17024.0, 'tokens': 334}
{'loss': 712.0, 'grad_norm_square': 26112.0, 'tokens': 437}
{'loss': 728.0, 'grad_norm_square': 27520.0, 'tokens': 499}
{'loss': 556.0, 'grad_norm_square': 23040.0, 'tokens': 448}
{'loss': 270.0, 'grad_norm_square': 13440.0, 'tokens': 248}
{'loss': 356.0, 'grad_norm_square': 16000.0, 'tokens': 310}
{'loss': 384.0, 'grad_norm_square': 13568.0, 'tokens': 271}
{'loss': 510.0, 'grad_norm_square': 26240.0, 'tokens': 416}
{'loss': 660.0, 'grad_norm_square': 26752.0, 'tokens': 445}
{'loss': 264.0, 'grad_norm_square': 12864.0, 'tokens': 261}
{'loss': 340.0, 'grad_norm_square': 16000.0, 'tokens': 316}
{'loss': 308.0, 'grad_norm_square': 15040.0, 'tokens': 299}
{'loss': 336.0, 'grad_norm_square': 18560.0, 'tokens': 378}
{'loss': 264.0, 'grad_norm_square': 15616.0, 'tokens': 261}
{'loss': 544.0, 'grad_norm_square': 20352.0, 'tokens': 403}
{'loss': 704.0, 'grad_norm_square': 21760.0, 'tokens': 467}
{'loss': 268.0, 'grad_norm_square': 13952.0, 'tokens': 292}
{'loss': 552.0, 'grad_norm_square': 23424.0, 'tokens': 439}
