{'model_params': 2506172416, 'peft_params': 1262464}
{'loss': 580.0, 'grad_norm_square': 43520.0, 'tokens': 455}
{'loss': 398.0, 'grad_norm_square': 52992.0, 'tokens': 312}
{'loss': 668.0, 'grad_norm_square': 53504.0, 'tokens': 432}
{'loss': 676.0, 'grad_norm_square': 42752.0, 'tokens': 471}
{'loss': 320.0, 'grad_norm_square': 25728.0, 'tokens': 327}
{'loss': 330.0, 'grad_norm_square': 21632.0, 'tokens': 314}
{'loss': 600.0, 'grad_norm_square': 32768.0, 'tokens': 457}
{'loss': 248.0, 'grad_norm_square': 22016.0, 'tokens': 255}
{'loss': 438.0, 'grad_norm_square': 27904.0, 'tokens': 437}
{'loss': 276.0, 'grad_norm_square': 19968.0, 'tokens': 371}
{'loss': 548.0, 'grad_norm_square': 30720.0, 'tokens': 471}
{'loss': 452.0, 'grad_norm_square': 24832.0, 'tokens': 452}
{'loss': 272.0, 'grad_norm_square': 21376.0, 'tokens': 261}
{'loss': 524.0, 'grad_norm_square': 28928.0, 'tokens': 419}
{'loss': 560.0, 'grad_norm_square': 27776.0, 'tokens': 450}
{'loss': 400.0, 'grad_norm_square': 30976.0, 'tokens': 446}
{'loss': 608.0, 'grad_norm_square': 27520.0, 'tokens': 452}
{'loss': 228.0, 'grad_norm_square': 18944.0, 'tokens': 262}
{'loss': 424.0, 'grad_norm_square': 27520.0, 'tokens': 375}
{'loss': 502.0, 'grad_norm_square': 34048.0, 'tokens': 405}
{'loss': 442.0, 'grad_norm_square': 21888.0, 'tokens': 409}
{'loss': 392.0, 'grad_norm_square': 22656.0, 'tokens': 410}
{'loss': 490.0, 'grad_norm_square': 36864.0, 'tokens': 429}
{'loss': 428.0, 'grad_norm_square': 23936.0, 'tokens': 408}
{'loss': 408.0, 'grad_norm_square': 30464.0, 'tokens': 427}
{'loss': 552.0, 'grad_norm_square': 32256.0, 'tokens': 445}
{'loss': 430.0, 'grad_norm_square': 41216.0, 'tokens': 461}
{'loss': 452.0, 'grad_norm_square': 33792.0, 'tokens': 444}
{'loss': 446.0, 'grad_norm_square': 29184.0, 'tokens': 459}
{'loss': 318.0, 'grad_norm_square': 28032.0, 'tokens': 295}
{'loss': 520.0, 'grad_norm_square': 32768.0, 'tokens': 420}
{'loss': 506.0, 'grad_norm_square': 33280.0, 'tokens': 476}
{'loss': 446.0, 'grad_norm_square': 33024.0, 'tokens': 430}
{'loss': 462.0, 'grad_norm_square': 28544.0, 'tokens': 441}
{'loss': 386.0, 'grad_norm_square': 26752.0, 'tokens': 402}
{'loss': 416.0, 'grad_norm_square': 25216.0, 'tokens': 328}
{'loss': 428.0, 'grad_norm_square': 30464.0, 'tokens': 453}
{'loss': 306.0, 'grad_norm_square': 23552.0, 'tokens': 375}
{'loss': 442.0, 'grad_norm_square': 28288.0, 'tokens': 434}
{'loss': 298.0, 'grad_norm_square': 22016.0, 'tokens': 383}
{'loss': 432.0, 'grad_norm_square': 23168.0, 'tokens': 411}
{'loss': 466.0, 'grad_norm_square': 25216.0, 'tokens': 469}
