{'model_params': 2506172416, 'peft_params': 1090544}
{'loss': 580.0, 'grad_norm_square': 40192.0, 'tokens': 455}
{'loss': 392.0, 'grad_norm_square': 44032.0, 'tokens': 312}
{'loss': 648.0, 'grad_norm_square': 44544.0, 'tokens': 432}
{'loss': 660.0, 'grad_norm_square': 33792.0, 'tokens': 471}
{'loss': 318.0, 'grad_norm_square': 22912.0, 'tokens': 327}
{'loss': 326.0, 'grad_norm_square': 18816.0, 'tokens': 314}
{'loss': 588.0, 'grad_norm_square': 23424.0, 'tokens': 457}
{'loss': 245.0, 'grad_norm_square': 19584.0, 'tokens': 255}
{'loss': 434.0, 'grad_norm_square': 23296.0, 'tokens': 437}
{'loss': 270.0, 'grad_norm_square': 15616.0, 'tokens': 371}
{'loss': 536.0, 'grad_norm_square': 24064.0, 'tokens': 471}
{'loss': 448.0, 'grad_norm_square': 23808.0, 'tokens': 452}
{'loss': 268.0, 'grad_norm_square': 17280.0, 'tokens': 261}
{'loss': 516.0, 'grad_norm_square': 20224.0, 'tokens': 419}
{'loss': 556.0, 'grad_norm_square': 23040.0, 'tokens': 450}
{'loss': 394.0, 'grad_norm_square': 24192.0, 'tokens': 446}
{'loss': 600.0, 'grad_norm_square': 23040.0, 'tokens': 452}
{'loss': 226.0, 'grad_norm_square': 16640.0, 'tokens': 262}
{'loss': 418.0, 'grad_norm_square': 21632.0, 'tokens': 375}
{'loss': 490.0, 'grad_norm_square': 24832.0, 'tokens': 405}
{'loss': 444.0, 'grad_norm_square': 18432.0, 'tokens': 409}
{'loss': 386.0, 'grad_norm_square': 19456.0, 'tokens': 410}
{'loss': 480.0, 'grad_norm_square': 31488.0, 'tokens': 429}
{'loss': 418.0, 'grad_norm_square': 19840.0, 'tokens': 408}
{'loss': 406.0, 'grad_norm_square': 24576.0, 'tokens': 427}
{'loss': 548.0, 'grad_norm_square': 27392.0, 'tokens': 445}
{'loss': 420.0, 'grad_norm_square': 23936.0, 'tokens': 461}
{'loss': 450.0, 'grad_norm_square': 23040.0, 'tokens': 444}
{'loss': 450.0, 'grad_norm_square': 22400.0, 'tokens': 459}
{'loss': 310.0, 'grad_norm_square': 22656.0, 'tokens': 295}
{'loss': 524.0, 'grad_norm_square': 27136.0, 'tokens': 420}
{'loss': 492.0, 'grad_norm_square': 26624.0, 'tokens': 476}
{'loss': 444.0, 'grad_norm_square': 27648.0, 'tokens': 430}
{'loss': 462.0, 'grad_norm_square': 26624.0, 'tokens': 441}
{'loss': 378.0, 'grad_norm_square': 22912.0, 'tokens': 402}
{'loss': 408.0, 'grad_norm_square': 19328.0, 'tokens': 328}
{'loss': 420.0, 'grad_norm_square': 19968.0, 'tokens': 453}
{'loss': 312.0, 'grad_norm_square': 21504.0, 'tokens': 375}
{'loss': 438.0, 'grad_norm_square': 23296.0, 'tokens': 434}
{'loss': 296.0, 'grad_norm_square': 18048.0, 'tokens': 383}
{'loss': 428.0, 'grad_norm_square': 21248.0, 'tokens': 411}
{'loss': 464.0, 'grad_norm_square': 22144.0, 'tokens': 469}
{'loss': 374.0, 'grad_norm_square': 18944.0, 'tokens': 392}
{'loss': 364.0, 'grad_norm_square': 17408.0, 'tokens': 460}
{'loss': 344.0, 'grad_norm_square': 18688.0, 'tokens': 398}
