{'model_params': 2506172416, 'peft_params': 10321920}
{'loss': 580.0, 'grad_norm_square': 9408.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 14528.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 18816.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 12032.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 7008.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 7552.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 10880.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 9536.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 13632.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 13824.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 12416.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 11392.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 6720.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 11072.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 17408.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 10496.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 8576.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7328.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 11520.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 11776.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 10688.0, 'tokens': 409}
{'loss': 540.0, 'grad_norm_square': 11072.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 9408.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 10304.0, 'tokens': 408}
{'loss': 592.0, 'grad_norm_square': 17024.0, 'tokens': 427}
{'loss': 824.0, 'grad_norm_square': 17664.0, 'tokens': 445}
{'loss': 744.0, 'grad_norm_square': 32000.0, 'tokens': 461}
{'loss': 668.0, 'grad_norm_square': 12864.0, 'tokens': 444}
{'loss': 660.0, 'grad_norm_square': 12608.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 5696.0, 'tokens': 295}
{'loss': 656.0, 'grad_norm_square': 8640.0, 'tokens': 420}
{'loss': 792.0, 'grad_norm_square': 21888.0, 'tokens': 476}
{'loss': 604.0, 'grad_norm_square': 9728.0, 'tokens': 430}
{'loss': 644.0, 'grad_norm_square': 14912.0, 'tokens': 441}
{'loss': 536.0, 'grad_norm_square': 11136.0, 'tokens': 402}
{'loss': 508.0, 'grad_norm_square': 8128.0, 'tokens': 328}
{'loss': 572.0, 'grad_norm_square': 9024.0, 'tokens': 453}
{'loss': 378.0, 'grad_norm_square': 4736.0, 'tokens': 375}
{'loss': 588.0, 'grad_norm_square': 9088.0, 'tokens': 434}
{'loss': 480.0, 'grad_norm_square': 8704.0, 'tokens': 383}
{'loss': 532.0, 'grad_norm_square': 6816.0, 'tokens': 411}
{'loss': 668.0, 'grad_norm_square': 27008.0, 'tokens': 469}
{'loss': 552.0, 'grad_norm_square': 16384.0, 'tokens': 392}
{'loss': 592.0, 'grad_norm_square': 9856.0, 'tokens': 460}
{'loss': 490.0, 'grad_norm_square': 9152.0, 'tokens': 398}
{'loss': 320.0, 'grad_norm_square': 8448.0, 'tokens': 284}
{'loss': 278.0, 'grad_norm_square': 17280.0, 'tokens': 275}
{'loss': 740.0, 'grad_norm_square': 13632.0, 'tokens': 435}
{'loss': 278.0, 'grad_norm_square': 4480.0, 'tokens': 287}
{'loss': 620.0, 'grad_norm_square': 9984.0, 'tokens': 440}
{'loss': 458.0, 'grad_norm_square': 7424.0, 'tokens': 326}
