{'model_params': 2506172416, 'peft_params': 545776}
{'loss': 580.0, 'grad_norm_square': 14272.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 23040.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 30464.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 19072.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 11584.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 11392.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 17536.0, 'tokens': 457}
{'loss': 318.0, 'grad_norm_square': 16192.0, 'tokens': 255}
{'loss': 552.0, 'grad_norm_square': 19072.0, 'tokens': 437}
{'loss': 392.0, 'grad_norm_square': 19712.0, 'tokens': 371}
{'loss': 688.0, 'grad_norm_square': 19840.0, 'tokens': 471}
{'loss': 596.0, 'grad_norm_square': 17664.0, 'tokens': 452}
{'loss': 312.0, 'grad_norm_square': 10240.0, 'tokens': 261}
{'loss': 680.0, 'grad_norm_square': 17280.0, 'tokens': 419}
{'loss': 728.0, 'grad_norm_square': 25344.0, 'tokens': 450}
{'loss': 532.0, 'grad_norm_square': 16896.0, 'tokens': 446}
{'loss': 728.0, 'grad_norm_square': 13952.0, 'tokens': 452}
{'loss': 284.0, 'grad_norm_square': 11264.0, 'tokens': 262}
{'loss': 536.0, 'grad_norm_square': 16256.0, 'tokens': 375}
{'loss': 624.0, 'grad_norm_square': 18816.0, 'tokens': 405}
{'loss': 568.0, 'grad_norm_square': 14592.0, 'tokens': 409}
{'loss': 528.0, 'grad_norm_square': 15232.0, 'tokens': 410}
{'loss': 596.0, 'grad_norm_square': 14400.0, 'tokens': 429}
{'loss': 572.0, 'grad_norm_square': 14336.0, 'tokens': 408}
{'loss': 576.0, 'grad_norm_square': 22784.0, 'tokens': 427}
{'loss': 800.0, 'grad_norm_square': 23936.0, 'tokens': 445}
{'loss': 704.0, 'grad_norm_square': 39424.0, 'tokens': 461}
{'loss': 648.0, 'grad_norm_square': 18048.0, 'tokens': 444}
{'loss': 640.0, 'grad_norm_square': 16000.0, 'tokens': 459}
{'loss': 394.0, 'grad_norm_square': 9152.0, 'tokens': 295}
{'loss': 644.0, 'grad_norm_square': 13376.0, 'tokens': 420}
{'loss': 760.0, 'grad_norm_square': 26112.0, 'tokens': 476}
{'loss': 584.0, 'grad_norm_square': 13184.0, 'tokens': 430}
{'loss': 624.0, 'grad_norm_square': 19072.0, 'tokens': 441}
{'loss': 520.0, 'grad_norm_square': 13120.0, 'tokens': 402}
{'loss': 496.0, 'grad_norm_square': 10880.0, 'tokens': 328}
{'loss': 552.0, 'grad_norm_square': 12352.0, 'tokens': 453}
{'loss': 370.0, 'grad_norm_square': 8096.0, 'tokens': 375}
{'loss': 572.0, 'grad_norm_square': 12224.0, 'tokens': 434}
{'loss': 458.0, 'grad_norm_square': 12416.0, 'tokens': 383}
{'loss': 520.0, 'grad_norm_square': 11456.0, 'tokens': 411}
{'loss': 624.0, 'grad_norm_square': 22656.0, 'tokens': 469}
{'loss': 528.0, 'grad_norm_square': 17280.0, 'tokens': 392}
{'loss': 564.0, 'grad_norm_square': 13440.0, 'tokens': 460}
{'loss': 472.0, 'grad_norm_square': 12864.0, 'tokens': 398}
{'loss': 306.0, 'grad_norm_square': 11136.0, 'tokens': 284}
{'loss': 254.0, 'grad_norm_square': 22016.0, 'tokens': 275}
{'loss': 696.0, 'grad_norm_square': 17792.0, 'tokens': 435}
{'loss': 270.0, 'grad_norm_square': 7264.0, 'tokens': 287}
{'loss': 592.0, 'grad_norm_square': 14528.0, 'tokens': 440}
{'loss': 442.0, 'grad_norm_square': 11392.0, 'tokens': 326}
{'loss': 364.0, 'grad_norm_square': 8896.0, 'tokens': 349}
{'loss': 187.0, 'grad_norm_square': 7072.0, 'tokens': 255}
{'loss': 282.0, 'grad_norm_square': 8256.0, 'tokens': 281}
{'loss': 584.0, 'grad_norm_square': 13696.0, 'tokens': 435}
{'loss': 752.0, 'grad_norm_square': 11968.0, 'tokens': 393}
{'loss': 732.0, 'grad_norm_square': 17664.0, 'tokens': 480}
{'loss': 676.0, 'grad_norm_square': 14656.0, 'tokens': 459}
{'loss': 656.0, 'grad_norm_square': 18304.0, 'tokens': 477}
{'loss': 536.0, 'grad_norm_square': 19456.0, 'tokens': 464}
{'loss': 278.0, 'grad_norm_square': 7296.0, 'tokens': 263}
{'loss': 708.0, 'grad_norm_square': 32768.0, 'tokens': 489}
{'loss': 516.0, 'grad_norm_square': 10048.0, 'tokens': 376}
{'loss': 596.0, 'grad_norm_square': 17152.0, 'tokens': 455}
{'loss': 652.0, 'grad_norm_square': 15104.0, 'tokens': 420}
{'loss': 516.0, 'grad_norm_square': 12032.0, 'tokens': 414}
{'loss': 300.0, 'grad_norm_square': 8512.0, 'tokens': 260}
{'loss': 482.0, 'grad_norm_square': 13312.0, 'tokens': 379}
{'loss': 272.0, 'grad_norm_square': 7808.0, 'tokens': 257}
{'loss': 476.0, 'grad_norm_square': 10560.0, 'tokens': 413}
{'loss': 492.0, 'grad_norm_square': 10752.0, 'tokens': 386}
{'loss': 322.0, 'grad_norm_square': 6944.0, 'tokens': 258}
{'loss': 346.0, 'grad_norm_square': 9216.0, 'tokens': 281}
{'loss': 512.0, 'grad_norm_square': 11520.0, 'tokens': 472}
{'loss': 356.0, 'grad_norm_square': 8576.0, 'tokens': 334}
{'loss': 724.0, 'grad_norm_square': 14272.0, 'tokens': 437}
{'loss': 740.0, 'grad_norm_square': 15104.0, 'tokens': 499}
{'loss': 568.0, 'grad_norm_square': 12928.0, 'tokens': 448}
{'loss': 276.0, 'grad_norm_square': 7136.0, 'tokens': 248}
{'loss': 358.0, 'grad_norm_square': 9152.0, 'tokens': 310}
{'loss': 388.0, 'grad_norm_square': 7232.0, 'tokens': 271}
{'loss': 524.0, 'grad_norm_square': 14400.0, 'tokens': 416}
{'loss': 672.0, 'grad_norm_square': 15296.0, 'tokens': 445}
{'loss': 266.0, 'grad_norm_square': 6912.0, 'tokens': 261}
{'loss': 344.0, 'grad_norm_square': 8960.0, 'tokens': 316}
{'loss': 310.0, 'grad_norm_square': 8320.0, 'tokens': 299}
{'loss': 340.0, 'grad_norm_square': 10176.0, 'tokens': 378}
{'loss': 268.0, 'grad_norm_square': 8448.0, 'tokens': 261}
{'loss': 552.0, 'grad_norm_square': 11136.0, 'tokens': 403}
{'loss': 712.0, 'grad_norm_square': 12288.0, 'tokens': 467}
{'loss': 270.0, 'grad_norm_square': 7712.0, 'tokens': 292}
{'loss': 556.0, 'grad_norm_square': 12352.0, 'tokens': 439}
{'loss': 656.0, 'grad_norm_square': 13248.0, 'tokens': 438}
{'loss': 410.0, 'grad_norm_square': 10432.0, 'tokens': 363}
{'loss': 608.0, 'grad_norm_square': 12096.0, 'tokens': 482}
{'loss': 382.0, 'grad_norm_square': 8960.0, 'tokens': 341}
{'loss': 624.0, 'grad_norm_square': 17408.0, 'tokens': 469}
{'loss': 336.0, 'grad_norm_square': 8256.0, 'tokens': 252}
{'loss': 374.0, 'grad_norm_square': 8768.0, 'tokens': 386}
{'loss': 504.0, 'grad_norm_square': 10048.0, 'tokens': 438}
{'loss': 490.0, 'grad_norm_square': 9792.0, 'tokens': 440}
{'loss': 428.0, 'grad_norm_square': 9728.0, 'tokens': 281}
{'loss': 532.0, 'grad_norm_square': 11648.0, 'tokens': 436}
{'loss': 420.0, 'grad_norm_square': 11136.0, 'tokens': 361}
{'loss': 636.0, 'grad_norm_square': 12288.0, 'tokens': 394}
{'loss': 276.0, 'grad_norm_square': 8640.0, 'tokens': 278}
{'loss': 406.0, 'grad_norm_square': 10624.0, 'tokens': 364}
{'loss': 568.0, 'grad_norm_square': 11456.0, 'tokens': 425}
{'loss': 532.0, 'grad_norm_square': 10880.0, 'tokens': 411}
{'loss': 316.0, 'grad_norm_square': 7008.0, 'tokens': 281}
{'loss': 592.0, 'grad_norm_square': 11840.0, 'tokens': 434}
{'loss': 544.0, 'grad_norm_square': 9536.0, 'tokens': 404}
{'loss': 724.0, 'grad_norm_square': 12736.0, 'tokens': 457}
{'loss': 588.0, 'grad_norm_square': 13120.0, 'tokens': 472}
{'loss': 510.0, 'grad_norm_square': 11904.0, 'tokens': 400}
{'loss': 266.0, 'grad_norm_square': 7744.0, 'tokens': 294}
{'loss': 652.0, 'grad_norm_square': 19328.0, 'tokens': 418}
{'loss': 564.0, 'grad_norm_square': 11904.0, 'tokens': 446}
{'loss': 604.0, 'grad_norm_square': 12160.0, 'tokens': 428}
{'loss': 344.0, 'grad_norm_square': 7648.0, 'tokens': 363}
{'loss': 600.0, 'grad_norm_square': 10944.0, 'tokens': 424}
{'loss': 560.0, 'grad_norm_square': 15488.0, 'tokens': 430}
{'loss': 444.0, 'grad_norm_square': 8640.0, 'tokens': 414}
{'loss': 524.0, 'grad_norm_square': 10752.0, 'tokens': 433}
{'loss': 640.0, 'grad_norm_square': 11904.0, 'tokens': 399}
{'loss': 334.0, 'grad_norm_square': 8640.0, 'tokens': 275}
{'loss': 288.0, 'grad_norm_square': 7616.0, 'tokens': 303}
{'loss': 422.0, 'grad_norm_square': 8640.0, 'tokens': 249}
{'loss': 688.0, 'grad_norm_square': 12928.0, 'tokens': 446}
{'loss': 520.0, 'grad_norm_square': 9792.0, 'tokens': 415}
{'loss': 454.0, 'grad_norm_square': 8512.0, 'tokens': 429}
{'loss': 680.0, 'grad_norm_square': 18560.0, 'tokens': 462}
{'loss': 348.0, 'grad_norm_square': 7680.0, 'tokens': 278}
{'loss': 576.0, 'grad_norm_square': 10048.0, 'tokens': 417}
{'loss': 320.0, 'grad_norm_square': 7744.0, 'tokens': 251}
{'loss': 560.0, 'grad_norm_square': 11456.0, 'tokens': 443}
{'loss': 324.0, 'grad_norm_square': 8768.0, 'tokens': 350}
{'loss': 442.0, 'grad_norm_square': 11584.0, 'tokens': 462}
{'loss': 278.0, 'grad_norm_square': 7744.0, 'tokens': 287}
{'loss': 452.0, 'grad_norm_square': 8096.0, 'tokens': 359}
{'loss': 428.0, 'grad_norm_square': 8160.0, 'tokens': 395}
{'loss': 492.0, 'grad_norm_square': 10112.0, 'tokens': 394}
{'loss': 624.0, 'grad_norm_square': 12352.0, 'tokens': 458}
{'loss': 576.0, 'grad_norm_square': 11264.0, 'tokens': 470}
{'loss': 454.0, 'grad_norm_square': 11072.0, 'tokens': 393}
{'loss': 528.0, 'grad_norm_square': 9984.0, 'tokens': 463}
{'loss': 229.0, 'grad_norm_square': 5696.0, 'tokens': 303}
{'loss': 512.0, 'grad_norm_square': 13312.0, 'tokens': 457}
{'loss': 608.0, 'grad_norm_square': 17536.0, 'tokens': 430}
{'loss': 370.0, 'grad_norm_square': 9024.0, 'tokens': 373}
