{'model_params': 2506172416, 'peft_params': 5612544}
{'loss': 580.0, 'grad_norm_square': 10944.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 17408.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 22272.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 15488.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 9408.0, 'tokens': 327}
{'loss': 384.0, 'grad_norm_square': 9216.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 14336.0, 'tokens': 457}
{'loss': 322.0, 'grad_norm_square': 12160.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 17536.0, 'tokens': 437}
{'loss': 398.0, 'grad_norm_square': 16768.0, 'tokens': 371}
{'loss': 696.0, 'grad_norm_square': 16256.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 14912.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 7456.0, 'tokens': 261}
{'loss': 688.0, 'grad_norm_square': 15296.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 22272.0, 'tokens': 450}
{'loss': 544.0, 'grad_norm_square': 16640.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 12992.0, 'tokens': 452}
{'loss': 290.0, 'grad_norm_square': 7200.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 25728.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 18304.0, 'tokens': 405}
{'loss': 584.0, 'grad_norm_square': 14720.0, 'tokens': 409}
{'loss': 544.0, 'grad_norm_square': 14336.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 12480.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 13568.0, 'tokens': 408}
{'loss': 600.0, 'grad_norm_square': 28032.0, 'tokens': 427}
{'loss': 832.0, 'grad_norm_square': 23296.0, 'tokens': 445}
{'loss': 760.0, 'grad_norm_square': 44800.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 17536.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 17792.0, 'tokens': 459}
{'loss': 402.0, 'grad_norm_square': 6912.0, 'tokens': 295}
{'loss': 664.0, 'grad_norm_square': 11648.0, 'tokens': 420}
{'loss': 804.0, 'grad_norm_square': 26368.0, 'tokens': 476}
{'loss': 608.0, 'grad_norm_square': 16320.0, 'tokens': 430}
{'loss': 660.0, 'grad_norm_square': 18944.0, 'tokens': 441}
{'loss': 544.0, 'grad_norm_square': 19840.0, 'tokens': 402}
{'loss': 516.0, 'grad_norm_square': 13184.0, 'tokens': 328}
{'loss': 576.0, 'grad_norm_square': 13376.0, 'tokens': 453}
{'loss': 380.0, 'grad_norm_square': 6112.0, 'tokens': 375}
{'loss': 596.0, 'grad_norm_square': 12352.0, 'tokens': 434}
{'loss': 490.0, 'grad_norm_square': 11200.0, 'tokens': 383}
{'loss': 540.0, 'grad_norm_square': 10880.0, 'tokens': 411}
{'loss': 692.0, 'grad_norm_square': 34304.0, 'tokens': 469}
{'loss': 568.0, 'grad_norm_square': 20608.0, 'tokens': 392}
{'loss': 604.0, 'grad_norm_square': 14528.0, 'tokens': 460}
{'loss': 500.0, 'grad_norm_square': 12864.0, 'tokens': 398}
{'loss': 328.0, 'grad_norm_square': 12160.0, 'tokens': 284}
{'loss': 292.0, 'grad_norm_square': 21760.0, 'tokens': 275}
{'loss': 760.0, 'grad_norm_square': 21504.0, 'tokens': 435}
{'loss': 284.0, 'grad_norm_square': 6880.0, 'tokens': 287}
{'loss': 632.0, 'grad_norm_square': 14784.0, 'tokens': 440}
{'loss': 466.0, 'grad_norm_square': 12352.0, 'tokens': 326}
{'loss': 382.0, 'grad_norm_square': 9216.0, 'tokens': 349}
{'loss': 208.0, 'grad_norm_square': 5856.0, 'tokens': 255}
{'loss': 302.0, 'grad_norm_square': 8256.0, 'tokens': 281}
{'loss': 640.0, 'grad_norm_square': 18816.0, 'tokens': 435}
{'loss': 784.0, 'grad_norm_square': 12672.0, 'tokens': 393}
{'loss': 808.0, 'grad_norm_square': 19584.0, 'tokens': 480}
{'loss': 732.0, 'grad_norm_square': 16640.0, 'tokens': 459}
{'loss': 716.0, 'grad_norm_square': 26752.0, 'tokens': 477}
{'loss': 604.0, 'grad_norm_square': 29568.0, 'tokens': 464}
{'loss': 292.0, 'grad_norm_square': 7456.0, 'tokens': 263}
{'loss': 784.0, 'grad_norm_square': 62464.0, 'tokens': 489}
{'loss': 544.0, 'grad_norm_square': 9152.0, 'tokens': 376}
{'loss': 668.0, 'grad_norm_square': 20096.0, 'tokens': 455}
{'loss': 724.0, 'grad_norm_square': 18560.0, 'tokens': 420}
{'loss': 564.0, 'grad_norm_square': 12480.0, 'tokens': 414}
{'loss': 336.0, 'grad_norm_square': 17536.0, 'tokens': 260}
{'loss': 536.0, 'grad_norm_square': 15232.0, 'tokens': 379}
{'loss': 294.0, 'grad_norm_square': 9664.0, 'tokens': 257}
{'loss': 524.0, 'grad_norm_square': 10560.0, 'tokens': 413}
{'loss': 536.0, 'grad_norm_square': 12096.0, 'tokens': 386}
{'loss': 346.0, 'grad_norm_square': 7072.0, 'tokens': 258}
{'loss': 376.0, 'grad_norm_square': 9280.0, 'tokens': 281}
{'loss': 564.0, 'grad_norm_square': 13120.0, 'tokens': 472}
{'loss': 378.0, 'grad_norm_square': 7616.0, 'tokens': 334}
{'loss': 792.0, 'grad_norm_square': 21760.0, 'tokens': 437}
{'loss': 828.0, 'grad_norm_square': 17920.0, 'tokens': 499}
{'loss': 640.0, 'grad_norm_square': 19072.0, 'tokens': 448}
{'loss': 300.0, 'grad_norm_square': 6304.0, 'tokens': 248}
{'loss': 386.0, 'grad_norm_square': 8384.0, 'tokens': 310}
{'loss': 406.0, 'grad_norm_square': 6144.0, 'tokens': 271}
{'loss': 620.0, 'grad_norm_square': 17920.0, 'tokens': 416}
{'loss': 768.0, 'grad_norm_square': 20224.0, 'tokens': 445}
{'loss': 292.0, 'grad_norm_square': 6560.0, 'tokens': 261}
{'loss': 372.0, 'grad_norm_square': 7008.0, 'tokens': 316}
{'loss': 340.0, 'grad_norm_square': 7776.0, 'tokens': 299}
{'loss': 368.0, 'grad_norm_square': 8000.0, 'tokens': 378}
{'loss': 300.0, 'grad_norm_square': 8576.0, 'tokens': 261}
{'loss': 620.0, 'grad_norm_square': 14656.0, 'tokens': 403}
{'loss': 780.0, 'grad_norm_square': 15616.0, 'tokens': 467}
{'loss': 304.0, 'grad_norm_square': 6816.0, 'tokens': 292}
{'loss': 620.0, 'grad_norm_square': 14592.0, 'tokens': 439}
{'loss': 720.0, 'grad_norm_square': 18560.0, 'tokens': 438}
{'loss': 470.0, 'grad_norm_square': 13568.0, 'tokens': 363}
{'loss': 668.0, 'grad_norm_square': 10560.0, 'tokens': 482}
{'loss': 400.0, 'grad_norm_square': 6528.0, 'tokens': 341}
{'loss': 764.0, 'grad_norm_square': 27904.0, 'tokens': 469}
{'loss': 366.0, 'grad_norm_square': 8448.0, 'tokens': 252}
{'loss': 402.0, 'grad_norm_square': 9664.0, 'tokens': 386}
{'loss': 540.0, 'grad_norm_square': 8384.0, 'tokens': 438}
{'loss': 536.0, 'grad_norm_square': 9728.0, 'tokens': 440}
{'loss': 462.0, 'grad_norm_square': 6880.0, 'tokens': 281}
{'loss': 608.0, 'grad_norm_square': 15168.0, 'tokens': 436}
{'loss': 504.0, 'grad_norm_square': 32000.0, 'tokens': 361}
{'loss': 700.0, 'grad_norm_square': 13376.0, 'tokens': 394}
{'loss': 326.0, 'grad_norm_square': 13184.0, 'tokens': 278}
{'loss': 458.0, 'grad_norm_square': 10560.0, 'tokens': 364}
{'loss': 644.0, 'grad_norm_square': 15744.0, 'tokens': 425}
{'loss': 564.0, 'grad_norm_square': 11008.0, 'tokens': 411}
{'loss': 350.0, 'grad_norm_square': 6208.0, 'tokens': 281}
{'loss': 652.0, 'grad_norm_square': 9984.0, 'tokens': 434}
{'loss': 616.0, 'grad_norm_square': 11584.0, 'tokens': 404}
{'loss': 832.0, 'grad_norm_square': 17408.0, 'tokens': 457}
{'loss': 700.0, 'grad_norm_square': 23552.0, 'tokens': 472}
{'loss': 608.0, 'grad_norm_square': 27648.0, 'tokens': 400}
{'loss': 316.0, 'grad_norm_square': 9728.0, 'tokens': 294}
{'loss': 792.0, 'grad_norm_square': 50432.0, 'tokens': 418}
{'loss': 668.0, 'grad_norm_square': 18944.0, 'tokens': 446}
{'loss': 744.0, 'grad_norm_square': 25216.0, 'tokens': 428}
{'loss': 378.0, 'grad_norm_square': 8768.0, 'tokens': 363}
{'loss': 696.0, 'grad_norm_square': 15680.0, 'tokens': 424}
{'loss': 700.0, 'grad_norm_square': 24064.0, 'tokens': 430}
{'loss': 524.0, 'grad_norm_square': 13376.0, 'tokens': 414}
{'loss': 600.0, 'grad_norm_square': 13248.0, 'tokens': 433}
{'loss': 732.0, 'grad_norm_square': 17664.0, 'tokens': 399}
{'loss': 368.0, 'grad_norm_square': 8768.0, 'tokens': 275}
{'loss': 334.0, 'grad_norm_square': 8448.0, 'tokens': 303}
{'loss': 458.0, 'grad_norm_square': 8512.0, 'tokens': 249}
{'loss': 832.0, 'grad_norm_square': 23424.0, 'tokens': 446}
{'loss': 592.0, 'grad_norm_square': 10304.0, 'tokens': 415}
{'loss': 524.0, 'grad_norm_square': 13248.0, 'tokens': 429}
{'loss': 824.0, 'grad_norm_square': 33536.0, 'tokens': 462}
{'loss': 386.0, 'grad_norm_square': 8160.0, 'tokens': 278}
{'loss': 648.0, 'grad_norm_square': 14016.0, 'tokens': 417}
{'loss': 366.0, 'grad_norm_square': 9408.0, 'tokens': 251}
{'loss': 700.0, 'grad_norm_square': 17664.0, 'tokens': 443}
{'loss': 366.0, 'grad_norm_square': 13824.0, 'tokens': 350}
{'loss': 512.0, 'grad_norm_square': 26752.0, 'tokens': 462}
{'loss': 324.0, 'grad_norm_square': 10880.0, 'tokens': 287}
{'loss': 484.0, 'grad_norm_square': 7744.0, 'tokens': 359}
{'loss': 506.0, 'grad_norm_square': 13376.0, 'tokens': 395}
{'loss': 568.0, 'grad_norm_square': 12608.0, 'tokens': 394}
{'loss': 800.0, 'grad_norm_square': 26240.0, 'tokens': 458}
{'loss': 708.0, 'grad_norm_square': 14976.0, 'tokens': 470}
{'loss': 560.0, 'grad_norm_square': 16192.0, 'tokens': 393}
{'loss': 600.0, 'grad_norm_square': 12160.0, 'tokens': 463}
{'loss': 276.0, 'grad_norm_square': 11328.0, 'tokens': 303}
{'loss': 620.0, 'grad_norm_square': 18816.0, 'tokens': 457}
{'loss': 772.0, 'grad_norm_square': 23808.0, 'tokens': 430}
{'loss': 458.0, 'grad_norm_square': 14144.0, 'tokens': 373}
{'loss': 760.0, 'grad_norm_square': 18432.0, 'tokens': 446}
{'loss': 624.0, 'grad_norm_square': 13824.0, 'tokens': 445}
{'loss': 760.0, 'grad_norm_square': 50688.0, 'tokens': 463}
{'loss': 464.0, 'grad_norm_square': 10624.0, 'tokens': 413}
{'loss': 544.0, 'grad_norm_square': 16192.0, 'tokens': 419}
{'loss': 452.0, 'grad_norm_square': 8192.0, 'tokens': 401}
{'loss': 372.0, 'grad_norm_square': 10624.0, 'tokens': 263}
{'loss': 736.0, 'grad_norm_square': 14400.0, 'tokens': 468}
{'loss': 744.0, 'grad_norm_square': 49920.0, 'tokens': 401}
{'loss': 632.0, 'grad_norm_square': 14272.0, 'tokens': 436}
{'loss': 856.0, 'grad_norm_square': 30080.0, 'tokens': 471}
{'loss': 406.0, 'grad_norm_square': 12992.0, 'tokens': 371}
{'loss': 444.0, 'grad_norm_square': 12864.0, 'tokens': 367}
{'loss': 620.0, 'grad_norm_square': 27904.0, 'tokens': 389}
{'loss': 326.0, 'grad_norm_square': 7264.0, 'tokens': 296}
{'loss': 624.0, 'grad_norm_square': 24576.0, 'tokens': 412}
{'loss': 632.0, 'grad_norm_square': 17152.0, 'tokens': 402}
{'loss': 556.0, 'grad_norm_square': 10688.0, 'tokens': 396}
{'loss': 600.0, 'grad_norm_square': 17408.0, 'tokens': 461}
{'loss': 664.0, 'grad_norm_square': 23680.0, 'tokens': 477}
{'loss': 330.0, 'grad_norm_square': 10112.0, 'tokens': 317}
{'loss': 528.0, 'grad_norm_square': 14272.0, 'tokens': 412}
{'loss': 672.0, 'grad_norm_square': 15552.0, 'tokens': 425}
{'loss': 464.0, 'grad_norm_square': 10496.0, 'tokens': 298}
{'loss': 628.0, 'grad_norm_square': 16128.0, 'tokens': 423}
{'loss': 466.0, 'grad_norm_square': 13952.0, 'tokens': 393}
{'loss': 392.0, 'grad_norm_square': 8512.0, 'tokens': 325}
{'loss': 560.0, 'grad_norm_square': 10368.0, 'tokens': 430}
{'loss': 470.0, 'grad_norm_square': 8320.0, 'tokens': 298}
{'loss': 290.0, 'grad_norm_square': 8384.0, 'tokens': 268}
{'loss': 298.0, 'grad_norm_square': 8704.0, 'tokens': 268}
{'loss': 540.0, 'grad_norm_square': 14656.0, 'tokens': 414}
{'loss': 564.0, 'grad_norm_square': 14976.0, 'tokens': 376}
{'loss': 764.0, 'grad_norm_square': 24320.0, 'tokens': 425}
{'loss': 322.0, 'grad_norm_square': 7488.0, 'tokens': 347}
{'loss': 656.0, 'grad_norm_square': 11840.0, 'tokens': 357}
{'loss': 668.0, 'grad_norm_square': 15872.0, 'tokens': 459}
{'loss': 744.0, 'grad_norm_square': 18688.0, 'tokens': 458}
{'loss': 528.0, 'grad_norm_square': 17920.0, 'tokens': 406}
{'loss': 632.0, 'grad_norm_square': 12992.0, 'tokens': 441}
{'loss': 308.0, 'grad_norm_square': 8192.0, 'tokens': 260}
