{'model_params': 2506172416, 'peft_params': 1803004}
{'loss': 580.0, 'grad_norm_square': 128512.0, 'tokens': 455}
{'loss': 414.0, 'grad_norm_square': 194560.0, 'tokens': 312}
{'loss': 720.0, 'grad_norm_square': 215040.0, 'tokens': 432}
{'loss': 728.0, 'grad_norm_square': 155648.0, 'tokens': 471}
{'loss': 342.0, 'grad_norm_square': 93184.0, 'tokens': 327}
{'loss': 358.0, 'grad_norm_square': 82432.0, 'tokens': 314}
{'loss': 660.0, 'grad_norm_square': 136192.0, 'tokens': 457}
{'loss': 278.0, 'grad_norm_square': 81920.0, 'tokens': 255}
{'loss': 478.0, 'grad_norm_square': 109568.0, 'tokens': 437}
{'loss': 310.0, 'grad_norm_square': 83968.0, 'tokens': 371}
{'loss': 588.0, 'grad_norm_square': 122880.0, 'tokens': 471}
{'loss': 492.0, 'grad_norm_square': 101888.0, 'tokens': 452}
{'loss': 282.0, 'grad_norm_square': 78848.0, 'tokens': 261}
{'loss': 568.0, 'grad_norm_square': 100352.0, 'tokens': 419}
{'loss': 608.0, 'grad_norm_square': 106496.0, 'tokens': 450}
{'loss': 438.0, 'grad_norm_square': 105984.0, 'tokens': 446}
{'loss': 640.0, 'grad_norm_square': 105984.0, 'tokens': 452}
{'loss': 242.0, 'grad_norm_square': 67072.0, 'tokens': 262}
{'loss': 450.0, 'grad_norm_square': 82432.0, 'tokens': 375}
{'loss': 528.0, 'grad_norm_square': 104960.0, 'tokens': 405}
{'loss': 476.0, 'grad_norm_square': 79360.0, 'tokens': 409}
{'loss': 434.0, 'grad_norm_square': 83968.0, 'tokens': 410}
{'loss': 520.0, 'grad_norm_square': 135168.0, 'tokens': 429}
{'loss': 458.0, 'grad_norm_square': 89088.0, 'tokens': 408}
{'loss': 450.0, 'grad_norm_square': 98304.0, 'tokens': 427}
{'loss': 616.0, 'grad_norm_square': 105984.0, 'tokens': 445}
{'loss': 490.0, 'grad_norm_square': 160768.0, 'tokens': 461}
