{'model_params': 2506172416, 'peft_params': 1121792}
{'loss': 580.0, 'grad_norm_square': 93696.0, 'tokens': 455}
{'loss': 372.0, 'grad_norm_square': 69120.0, 'tokens': 312}
{'loss': 596.0, 'grad_norm_square': 133120.0, 'tokens': 432}
{'loss': 612.0, 'grad_norm_square': 71168.0, 'tokens': 471}
{'loss': 312.0, 'grad_norm_square': 60928.0, 'tokens': 327}
{'loss': 314.0, 'grad_norm_square': 50944.0, 'tokens': 314}
{'loss': 568.0, 'grad_norm_square': 105984.0, 'tokens': 457}
{'loss': 227.0, 'grad_norm_square': 48128.0, 'tokens': 255}
{'loss': 400.0, 'grad_norm_square': 55296.0, 'tokens': 437}
{'loss': 254.0, 'grad_norm_square': 54272.0, 'tokens': 371}
{'loss': 498.0, 'grad_norm_square': 102912.0, 'tokens': 471}
{'loss': 406.0, 'grad_norm_square': 58880.0, 'tokens': 452}
{'loss': 260.0, 'grad_norm_square': 45312.0, 'tokens': 261}
{'loss': 480.0, 'grad_norm_square': 64768.0, 'tokens': 419}
{'loss': 532.0, 'grad_norm_square': 90112.0, 'tokens': 450}
{'loss': 370.0, 'grad_norm_square': 79360.0, 'tokens': 446}
{'loss': 580.0, 'grad_norm_square': 59392.0, 'tokens': 452}
{'loss': 216.0, 'grad_norm_square': 42240.0, 'tokens': 262}
{'loss': 406.0, 'grad_norm_square': 60416.0, 'tokens': 375}
{'loss': 476.0, 'grad_norm_square': 70656.0, 'tokens': 405}
{'loss': 430.0, 'grad_norm_square': 50432.0, 'tokens': 409}
{'loss': 370.0, 'grad_norm_square': 49920.0, 'tokens': 410}
{'loss': 472.0, 'grad_norm_square': 92672.0, 'tokens': 429}
{'loss': 418.0, 'grad_norm_square': 67584.0, 'tokens': 408}
{'loss': 374.0, 'grad_norm_square': 51200.0, 'tokens': 427}
{'loss': 506.0, 'grad_norm_square': 69120.0, 'tokens': 445}
{'loss': 420.0, 'grad_norm_square': 93184.0, 'tokens': 461}
{'loss': 434.0, 'grad_norm_square': 67072.0, 'tokens': 444}
{'loss': 436.0, 'grad_norm_square': 62720.0, 'tokens': 459}
{'loss': 284.0, 'grad_norm_square': 40192.0, 'tokens': 295}
{'loss': 510.0, 'grad_norm_square': 63232.0, 'tokens': 420}
{'loss': 484.0, 'grad_norm_square': 70656.0, 'tokens': 476}
{'loss': 438.0, 'grad_norm_square': 67584.0, 'tokens': 430}
{'loss': 448.0, 'grad_norm_square': 53248.0, 'tokens': 441}
{'loss': 360.0, 'grad_norm_square': 55296.0, 'tokens': 402}
