{'model_params': 2506172416, 'peft_params': 1093372}
{'loss': 580.0, 'grad_norm_square': 130560.0, 'tokens': 455}
{'loss': 362.0, 'grad_norm_square': 68608.0, 'tokens': 312}
{'loss': 592.0, 'grad_norm_square': 97792.0, 'tokens': 432}
{'loss': 608.0, 'grad_norm_square': 77824.0, 'tokens': 471}
{'loss': 310.0, 'grad_norm_square': 60416.0, 'tokens': 327}
{'loss': 310.0, 'grad_norm_square': 49920.0, 'tokens': 314}
{'loss': 564.0, 'grad_norm_square': 87040.0, 'tokens': 457}
{'loss': 229.0, 'grad_norm_square': 57600.0, 'tokens': 255}
{'loss': 392.0, 'grad_norm_square': 60160.0, 'tokens': 437}
{'loss': 253.0, 'grad_norm_square': 49152.0, 'tokens': 371}
{'loss': 494.0, 'grad_norm_square': 93696.0, 'tokens': 471}
{'loss': 404.0, 'grad_norm_square': 70656.0, 'tokens': 452}
{'loss': 258.0, 'grad_norm_square': 52736.0, 'tokens': 261}
{'loss': 478.0, 'grad_norm_square': 67072.0, 'tokens': 419}
{'loss': 528.0, 'grad_norm_square': 77312.0, 'tokens': 450}
{'loss': 372.0, 'grad_norm_square': 98816.0, 'tokens': 446}
{'loss': 584.0, 'grad_norm_square': 76288.0, 'tokens': 452}
{'loss': 221.0, 'grad_norm_square': 51968.0, 'tokens': 262}
{'loss': 426.0, 'grad_norm_square': 107520.0, 'tokens': 375}
{'loss': 472.0, 'grad_norm_square': 77824.0, 'tokens': 405}
{'loss': 426.0, 'grad_norm_square': 57856.0, 'tokens': 409}
{'loss': 368.0, 'grad_norm_square': 56320.0, 'tokens': 410}
{'loss': 454.0, 'grad_norm_square': 81920.0, 'tokens': 429}
{'loss': 416.0, 'grad_norm_square': 62464.0, 'tokens': 408}
{'loss': 372.0, 'grad_norm_square': 69632.0, 'tokens': 427}
{'loss': 502.0, 'grad_norm_square': 76288.0, 'tokens': 445}
{'loss': 442.0, 'grad_norm_square': 90112.0, 'tokens': 461}
{'loss': 436.0, 'grad_norm_square': 67072.0, 'tokens': 444}
{'loss': 438.0, 'grad_norm_square': 64512.0, 'tokens': 459}
{'loss': 296.0, 'grad_norm_square': 56832.0, 'tokens': 295}
{'loss': 532.0, 'grad_norm_square': 83456.0, 'tokens': 420}
{'loss': 502.0, 'grad_norm_square': 91648.0, 'tokens': 476}
{'loss': 448.0, 'grad_norm_square': 78848.0, 'tokens': 430}
{'loss': 452.0, 'grad_norm_square': 63744.0, 'tokens': 441}
{'loss': 362.0, 'grad_norm_square': 62720.0, 'tokens': 402}
{'loss': 406.0, 'grad_norm_square': 51456.0, 'tokens': 328}
{'loss': 420.0, 'grad_norm_square': 54784.0, 'tokens': 453}
{'loss': 308.0, 'grad_norm_square': 66560.0, 'tokens': 375}
{'loss': 432.0, 'grad_norm_square': 61952.0, 'tokens': 434}
{'loss': 294.0, 'grad_norm_square': 49920.0, 'tokens': 383}
{'loss': 444.0, 'grad_norm_square': 58880.0, 'tokens': 411}
{'loss': 450.0, 'grad_norm_square': 52736.0, 'tokens': 469}
{'loss': 370.0, 'grad_norm_square': 52224.0, 'tokens': 392}
{'loss': 364.0, 'grad_norm_square': 45568.0, 'tokens': 460}
{'loss': 336.0, 'grad_norm_square': 50432.0, 'tokens': 398}
{'loss': 243.0, 'grad_norm_square': 49152.0, 'tokens': 284}
{'loss': 171.0, 'grad_norm_square': 42752.0, 'tokens': 275}
{'loss': 424.0, 'grad_norm_square': 57856.0, 'tokens': 435}
{'loss': 191.0, 'grad_norm_square': 44800.0, 'tokens': 287}
{'loss': 410.0, 'grad_norm_square': 71680.0, 'tokens': 440}
{'loss': 354.0, 'grad_norm_square': 60672.0, 'tokens': 326}
{'loss': 288.0, 'grad_norm_square': 50176.0, 'tokens': 349}
{'loss': 116.5, 'grad_norm_square': 30976.0, 'tokens': 255}
{'loss': 221.0, 'grad_norm_square': 43008.0, 'tokens': 281}
{'loss': 436.0, 'grad_norm_square': 66048.0, 'tokens': 435}
{'loss': 652.0, 'grad_norm_square': 77312.0, 'tokens': 393}
{'loss': 494.0, 'grad_norm_square': 64512.0, 'tokens': 480}
{'loss': 482.0, 'grad_norm_square': 64512.0, 'tokens': 459}
{'loss': 510.0, 'grad_norm_square': 66048.0, 'tokens': 477}
{'loss': 340.0, 'grad_norm_square': 54528.0, 'tokens': 464}
{'loss': 226.0, 'grad_norm_square': 40960.0, 'tokens': 263}
{'loss': 588.0, 'grad_norm_square': 60928.0, 'tokens': 489}
{'loss': 406.0, 'grad_norm_square': 54016.0, 'tokens': 376}
{'loss': 374.0, 'grad_norm_square': 54784.0, 'tokens': 455}
{'loss': 470.0, 'grad_norm_square': 53760.0, 'tokens': 420}
{'loss': 384.0, 'grad_norm_square': 53760.0, 'tokens': 414}
{'loss': 222.0, 'grad_norm_square': 35584.0, 'tokens': 260}
{'loss': 348.0, 'grad_norm_square': 44288.0, 'tokens': 379}
{'loss': 197.0, 'grad_norm_square': 43264.0, 'tokens': 257}
{'loss': 358.0, 'grad_norm_square': 51712.0, 'tokens': 413}
{'loss': 382.0, 'grad_norm_square': 58624.0, 'tokens': 386}
{'loss': 274.0, 'grad_norm_square': 40192.0, 'tokens': 258}
{'loss': 268.0, 'grad_norm_square': 42240.0, 'tokens': 281}
{'loss': 380.0, 'grad_norm_square': 52480.0, 'tokens': 472}
{'loss': 286.0, 'grad_norm_square': 48128.0, 'tokens': 334}
{'loss': 512.0, 'grad_norm_square': 77312.0, 'tokens': 437}
{'loss': 502.0, 'grad_norm_square': 56320.0, 'tokens': 499}
{'loss': 394.0, 'grad_norm_square': 50688.0, 'tokens': 448}
{'loss': 220.0, 'grad_norm_square': 39680.0, 'tokens': 248}
{'loss': 276.0, 'grad_norm_square': 51200.0, 'tokens': 310}
{'loss': 322.0, 'grad_norm_square': 48384.0, 'tokens': 271}
{'loss': 298.0, 'grad_norm_square': 44544.0, 'tokens': 416}
{'loss': 450.0, 'grad_norm_square': 63232.0, 'tokens': 445}
{'loss': 235.0, 'grad_norm_square': 46336.0, 'tokens': 261}
{'loss': 294.0, 'grad_norm_square': 52224.0, 'tokens': 316}
{'loss': 248.0, 'grad_norm_square': 49664.0, 'tokens': 299}
{'loss': 292.0, 'grad_norm_square': 82944.0, 'tokens': 378}
{'loss': 205.0, 'grad_norm_square': 39936.0, 'tokens': 261}
{'loss': 432.0, 'grad_norm_square': 55296.0, 'tokens': 403}
{'loss': 544.0, 'grad_norm_square': 60672.0, 'tokens': 467}
{'loss': 198.0, 'grad_norm_square': 41216.0, 'tokens': 292}
{'loss': 448.0, 'grad_norm_square': 62720.0, 'tokens': 439}
{'loss': 488.0, 'grad_norm_square': 66560.0, 'tokens': 438}
{'loss': 300.0, 'grad_norm_square': 48384.0, 'tokens': 363}
{'loss': 478.0, 'grad_norm_square': 56576.0, 'tokens': 482}
{'loss': 308.0, 'grad_norm_square': 45568.0, 'tokens': 341}
{'loss': 382.0, 'grad_norm_square': 50432.0, 'tokens': 469}
{'loss': 282.0, 'grad_norm_square': 42240.0, 'tokens': 252}
{'loss': 334.0, 'grad_norm_square': 47616.0, 'tokens': 386}
{'loss': 456.0, 'grad_norm_square': 60928.0, 'tokens': 438}
{'loss': 394.0, 'grad_norm_square': 56832.0, 'tokens': 440}
{'loss': 364.0, 'grad_norm_square': 61440.0, 'tokens': 281}
{'loss': 424.0, 'grad_norm_square': 69632.0, 'tokens': 436}
{'loss': 324.0, 'grad_norm_square': 50432.0, 'tokens': 361}
{'loss': 528.0, 'grad_norm_square': 68096.0, 'tokens': 394}
{'loss': 197.0, 'grad_norm_square': 52992.0, 'tokens': 278}
{'loss': 302.0, 'grad_norm_square': 48384.0, 'tokens': 364}
{'loss': 428.0, 'grad_norm_square': 65536.0, 'tokens': 425}
{'loss': 466.0, 'grad_norm_square': 61184.0, 'tokens': 411}
{'loss': 266.0, 'grad_norm_square': 46592.0, 'tokens': 281}
{'loss': 444.0, 'grad_norm_square': 60928.0, 'tokens': 434}
{'loss': 438.0, 'grad_norm_square': 50432.0, 'tokens': 404}
{'loss': 584.0, 'grad_norm_square': 68608.0, 'tokens': 457}
{'loss': 424.0, 'grad_norm_square': 51968.0, 'tokens': 472}
{'loss': 380.0, 'grad_norm_square': 58368.0, 'tokens': 400}
{'loss': 218.0, 'grad_norm_square': 56832.0, 'tokens': 294}
{'loss': 528.0, 'grad_norm_square': 142336.0, 'tokens': 418}
{'loss': 434.0, 'grad_norm_square': 95744.0, 'tokens': 446}
{'loss': 420.0, 'grad_norm_square': 52992.0, 'tokens': 428}
{'loss': 284.0, 'grad_norm_square': 243712.0, 'tokens': 363}
{'loss': 442.0, 'grad_norm_square': 49664.0, 'tokens': 424}
{'loss': 408.0, 'grad_norm_square': 48640.0, 'tokens': 430}
{'loss': 334.0, 'grad_norm_square': 40960.0, 'tokens': 414}
{'loss': 418.0, 'grad_norm_square': 44032.0, 'tokens': 433}
{'loss': 524.0, 'grad_norm_square': 58624.0, 'tokens': 399}
{'loss': 272.0, 'grad_norm_square': 53248.0, 'tokens': 275}
{'loss': 239.0, 'grad_norm_square': 40704.0, 'tokens': 303}
{'loss': 390.0, 'grad_norm_square': 58624.0, 'tokens': 249}
{'loss': 536.0, 'grad_norm_square': 57856.0, 'tokens': 446}
{'loss': 420.0, 'grad_norm_square': 51968.0, 'tokens': 415}
{'loss': 384.0, 'grad_norm_square': 49664.0, 'tokens': 429}
{'loss': 584.0, 'grad_norm_square': 61696.0, 'tokens': 462}
{'loss': 312.0, 'grad_norm_square': 49664.0, 'tokens': 278}
{'loss': 502.0, 'grad_norm_square': 65280.0, 'tokens': 417}
{'loss': 280.0, 'grad_norm_square': 41472.0, 'tokens': 251}
{'loss': 398.0, 'grad_norm_square': 47360.0, 'tokens': 443}
{'loss': 288.0, 'grad_norm_square': 53248.0, 'tokens': 350}
{'loss': 426.0, 'grad_norm_square': 54528.0, 'tokens': 462}
{'loss': 240.0, 'grad_norm_square': 44032.0, 'tokens': 287}
{'loss': 412.0, 'grad_norm_square': 54528.0, 'tokens': 359}
{'loss': 330.0, 'grad_norm_square': 42496.0, 'tokens': 395}
{'loss': 404.0, 'grad_norm_square': 56320.0, 'tokens': 394}
{'loss': 482.0, 'grad_norm_square': 60672.0, 'tokens': 458}
{'loss': 468.0, 'grad_norm_square': 50688.0, 'tokens': 470}
{'loss': 374.0, 'grad_norm_square': 57600.0, 'tokens': 393}
{'loss': 462.0, 'grad_norm_square': 67584.0, 'tokens': 463}
{'loss': 197.0, 'grad_norm_square': 38400.0, 'tokens': 303}
{'loss': 396.0, 'grad_norm_square': 52736.0, 'tokens': 457}
{'loss': 446.0, 'grad_norm_square': 50432.0, 'tokens': 430}
{'loss': 286.0, 'grad_norm_square': 45824.0, 'tokens': 373}
{'loss': 472.0, 'grad_norm_square': 66048.0, 'tokens': 446}
{'loss': 464.0, 'grad_norm_square': 55808.0, 'tokens': 445}
{'loss': 476.0, 'grad_norm_square': 54784.0, 'tokens': 463}
{'loss': 362.0, 'grad_norm_square': 63744.0, 'tokens': 413}
{'loss': 366.0, 'grad_norm_square': 50176.0, 'tokens': 419}
{'loss': 258.0, 'grad_norm_square': 42496.0, 'tokens': 401}
{'loss': 296.0, 'grad_norm_square': 48128.0, 'tokens': 263}
{'loss': 478.0, 'grad_norm_square': 50944.0, 'tokens': 468}
{'loss': 418.0, 'grad_norm_square': 57088.0, 'tokens': 401}
{'loss': 438.0, 'grad_norm_square': 55808.0, 'tokens': 436}
{'loss': 462.0, 'grad_norm_square': 61184.0, 'tokens': 471}
{'loss': 286.0, 'grad_norm_square': 46336.0, 'tokens': 371}
{'loss': 274.0, 'grad_norm_square': 37376.0, 'tokens': 367}
{'loss': 426.0, 'grad_norm_square': 50944.0, 'tokens': 389}
{'loss': 255.0, 'grad_norm_square': 36608.0, 'tokens': 296}
{'loss': 438.0, 'grad_norm_square': 55296.0, 'tokens': 412}
{'loss': 464.0, 'grad_norm_square': 61440.0, 'tokens': 402}
{'loss': 366.0, 'grad_norm_square': 48640.0, 'tokens': 396}
{'loss': 408.0, 'grad_norm_square': 84992.0, 'tokens': 461}
{'loss': 458.0, 'grad_norm_square': 56064.0, 'tokens': 477}
{'loss': 240.0, 'grad_norm_square': 41984.0, 'tokens': 317}
{'loss': 336.0, 'grad_norm_square': 45056.0, 'tokens': 412}
{'loss': 468.0, 'grad_norm_square': 52736.0, 'tokens': 425}
{'loss': 372.0, 'grad_norm_square': 48384.0, 'tokens': 298}
{'loss': 378.0, 'grad_norm_square': 53504.0, 'tokens': 423}
{'loss': 306.0, 'grad_norm_square': 41984.0, 'tokens': 393}
{'loss': 298.0, 'grad_norm_square': 45056.0, 'tokens': 325}
{'loss': 404.0, 'grad_norm_square': 49152.0, 'tokens': 430}
{'loss': 352.0, 'grad_norm_square': 48896.0, 'tokens': 298}
{'loss': 186.0, 'grad_norm_square': 32640.0, 'tokens': 268}
{'loss': 192.0, 'grad_norm_square': 35328.0, 'tokens': 268}
{'loss': 374.0, 'grad_norm_square': 45824.0, 'tokens': 414}
{'loss': 398.0, 'grad_norm_square': 61184.0, 'tokens': 376}
{'loss': 438.0, 'grad_norm_square': 51712.0, 'tokens': 425}
{'loss': 260.0, 'grad_norm_square': 64256.0, 'tokens': 347}
{'loss': 488.0, 'grad_norm_square': 61696.0, 'tokens': 357}
{'loss': 402.0, 'grad_norm_square': 56320.0, 'tokens': 459}
{'loss': 428.0, 'grad_norm_square': 54784.0, 'tokens': 458}
{'loss': 342.0, 'grad_norm_square': 45824.0, 'tokens': 406}
{'loss': 382.0, 'grad_norm_square': 43008.0, 'tokens': 441}
{'loss': 207.0, 'grad_norm_square': 33280.0, 'tokens': 260}
{'loss': 270.0, 'grad_norm_square': 44544.0, 'tokens': 313}
{'loss': 400.0, 'grad_norm_square': 46848.0, 'tokens': 406}
{'loss': 422.0, 'grad_norm_square': 52480.0, 'tokens': 449}
{'loss': 378.0, 'grad_norm_square': 46336.0, 'tokens': 397}
{'loss': 370.0, 'grad_norm_square': 53248.0, 'tokens': 436}
{'loss': 243.0, 'grad_norm_square': 42752.0, 'tokens': 378}
{'loss': 454.0, 'grad_norm_square': 74752.0, 'tokens': 321}
{'loss': 354.0, 'grad_norm_square': 50176.0, 'tokens': 455}
{'loss': 348.0, 'grad_norm_square': 50176.0, 'tokens': 278}
{'loss': 470.0, 'grad_norm_square': 49408.0, 'tokens': 462}
{'loss': 224.0, 'grad_norm_square': 36864.0, 'tokens': 249}
{'loss': 252.0, 'grad_norm_square': 34816.0, 'tokens': 323}
{'loss': 376.0, 'grad_norm_square': 47360.0, 'tokens': 248}
{'loss': 210.0, 'grad_norm_square': 33024.0, 'tokens': 261}
{'loss': 418.0, 'grad_norm_square': 50688.0, 'tokens': 443}
{'loss': 398.0, 'grad_norm_square': 63488.0, 'tokens': 442}
{'loss': 384.0, 'grad_norm_square': 50944.0, 'tokens': 403}
{'loss': 249.0, 'grad_norm_square': 37632.0, 'tokens': 293}
{'loss': 268.0, 'grad_norm_square': 47616.0, 'tokens': 348}
{'loss': 446.0, 'grad_norm_square': 53760.0, 'tokens': 453}
{'loss': 422.0, 'grad_norm_square': 52480.0, 'tokens': 432}
{'loss': 318.0, 'grad_norm_square': 48896.0, 'tokens': 408}
{'loss': 380.0, 'grad_norm_square': 46336.0, 'tokens': 429}
{'loss': 280.0, 'grad_norm_square': 43520.0, 'tokens': 267}
{'loss': 444.0, 'grad_norm_square': 54016.0, 'tokens': 453}
{'loss': 418.0, 'grad_norm_square': 50688.0, 'tokens': 420}
{'loss': 332.0, 'grad_norm_square': 48128.0, 'tokens': 373}
{'loss': 276.0, 'grad_norm_square': 47104.0, 'tokens': 349}
{'loss': 270.0, 'grad_norm_square': 44800.0, 'tokens': 363}
{'loss': 326.0, 'grad_norm_square': 44288.0, 'tokens': 416}
{'loss': 432.0, 'grad_norm_square': 52992.0, 'tokens': 457}
{'loss': 418.0, 'grad_norm_square': 55552.0, 'tokens': 338}
{'loss': 316.0, 'grad_norm_square': 52224.0, 'tokens': 388}
{'loss': 292.0, 'grad_norm_square': 49152.0, 'tokens': 319}
{'loss': 237.0, 'grad_norm_square': 39168.0, 'tokens': 302}
{'loss': 220.0, 'grad_norm_square': 37632.0, 'tokens': 346}
{'loss': 472.0, 'grad_norm_square': 59136.0, 'tokens': 480}
{'loss': 326.0, 'grad_norm_square': 48896.0, 'tokens': 426}
{'loss': 396.0, 'grad_norm_square': 55296.0, 'tokens': 265}
{'loss': 392.0, 'grad_norm_square': 52224.0, 'tokens': 476}
{'loss': 416.0, 'grad_norm_square': 49408.0, 'tokens': 390}
{'loss': 352.0, 'grad_norm_square': 53504.0, 'tokens': 410}
{'loss': 310.0, 'grad_norm_square': 57344.0, 'tokens': 259}
{'loss': 442.0, 'grad_norm_square': 46848.0, 'tokens': 464}
{'loss': 230.0, 'grad_norm_square': 34816.0, 'tokens': 275}
{'loss': 388.0, 'grad_norm_square': 45824.0, 'tokens': 365}
{'loss': 508.0, 'grad_norm_square': 64256.0, 'tokens': 443}
{'loss': 420.0, 'grad_norm_square': 43008.0, 'tokens': 429}
{'loss': 376.0, 'grad_norm_square': 46336.0, 'tokens': 374}
{'loss': 166.0, 'grad_norm_square': 27648.0, 'tokens': 251}
{'loss': 466.0, 'grad_norm_square': 53248.0, 'tokens': 443}
{'loss': 384.0, 'grad_norm_square': 41728.0, 'tokens': 472}
{'loss': 460.0, 'grad_norm_square': 50944.0, 'tokens': 449}
{'loss': 468.0, 'grad_norm_square': 50432.0, 'tokens': 436}
{'loss': 432.0, 'grad_norm_square': 47104.0, 'tokens': 467}
{'loss': 392.0, 'grad_norm_square': 46592.0, 'tokens': 299}
{'loss': 548.0, 'grad_norm_square': 124416.0, 'tokens': 424}
{'loss': 400.0, 'grad_norm_square': 41728.0, 'tokens': 457}
{'loss': 398.0, 'grad_norm_square': 44544.0, 'tokens': 406}
{'loss': 476.0, 'grad_norm_square': 54016.0, 'tokens': 446}
{'loss': 430.0, 'grad_norm_square': 45568.0, 'tokens': 450}
{'loss': 372.0, 'grad_norm_square': 41472.0, 'tokens': 363}
{'loss': 204.0, 'grad_norm_square': 30848.0, 'tokens': 296}
{'loss': 215.0, 'grad_norm_square': 31488.0, 'tokens': 347}
{'loss': 232.0, 'grad_norm_square': 40704.0, 'tokens': 255}
{'loss': 412.0, 'grad_norm_square': 50432.0, 'tokens': 484}
{'loss': 500.0, 'grad_norm_square': 47360.0, 'tokens': 441}
{'loss': 176.0, 'grad_norm_square': 34560.0, 'tokens': 281}
{'loss': 480.0, 'grad_norm_square': 57856.0, 'tokens': 461}
{'loss': 474.0, 'grad_norm_square': 48384.0, 'tokens': 423}
{'loss': 320.0, 'grad_norm_square': 51712.0, 'tokens': 418}
{'loss': 548.0, 'grad_norm_square': 70656.0, 'tokens': 448}
{'loss': 468.0, 'grad_norm_square': 59136.0, 'tokens': 446}
{'loss': 422.0, 'grad_norm_square': 52224.0, 'tokens': 386}
{'loss': 438.0, 'grad_norm_square': 53760.0, 'tokens': 392}
{'loss': 376.0, 'grad_norm_square': 48896.0, 'tokens': 310}
{'loss': 398.0, 'grad_norm_square': 42752.0, 'tokens': 381}
{'loss': 316.0, 'grad_norm_square': 50432.0, 'tokens': 255}
{'loss': 452.0, 'grad_norm_square': 59136.0, 'tokens': 448}
{'loss': 424.0, 'grad_norm_square': 68608.0, 'tokens': 378}
{'loss': 386.0, 'grad_norm_square': 62464.0, 'tokens': 296}
{'loss': 458.0, 'grad_norm_square': 56064.0, 'tokens': 458}
{'loss': 314.0, 'grad_norm_square': 49920.0, 'tokens': 408}
{'loss': 480.0, 'grad_norm_square': 53504.0, 'tokens': 459}
