{'model_params': 2506172416, 'peft_params': 982492}
{'loss': 580.0, 'grad_norm_square': 31744.0, 'tokens': 455}
{'loss': 410.0, 'grad_norm_square': 43008.0, 'tokens': 312}
{'loss': 712.0, 'grad_norm_square': 46336.0, 'tokens': 432}
{'loss': 720.0, 'grad_norm_square': 32000.0, 'tokens': 471}
{'loss': 338.0, 'grad_norm_square': 18304.0, 'tokens': 327}
{'loss': 354.0, 'grad_norm_square': 17792.0, 'tokens': 314}
{'loss': 656.0, 'grad_norm_square': 28032.0, 'tokens': 457}
{'loss': 282.0, 'grad_norm_square': 21504.0, 'tokens': 255}
{'loss': 476.0, 'grad_norm_square': 24192.0, 'tokens': 437}
{'loss': 310.0, 'grad_norm_square': 16640.0, 'tokens': 371}
{'loss': 584.0, 'grad_norm_square': 25088.0, 'tokens': 471}
{'loss': 490.0, 'grad_norm_square': 21504.0, 'tokens': 452}
{'loss': 282.0, 'grad_norm_square': 14208.0, 'tokens': 261}
{'loss': 568.0, 'grad_norm_square': 18432.0, 'tokens': 419}
{'loss': 608.0, 'grad_norm_square': 19072.0, 'tokens': 450}
{'loss': 444.0, 'grad_norm_square': 19712.0, 'tokens': 446}
{'loss': 644.0, 'grad_norm_square': 21760.0, 'tokens': 452}
{'loss': 244.0, 'grad_norm_square': 12544.0, 'tokens': 262}
{'loss': 456.0, 'grad_norm_square': 16128.0, 'tokens': 375}
{'loss': 528.0, 'grad_norm_square': 18304.0, 'tokens': 405}
{'loss': 478.0, 'grad_norm_square': 15232.0, 'tokens': 409}
{'loss': 436.0, 'grad_norm_square': 16512.0, 'tokens': 410}
{'loss': 524.0, 'grad_norm_square': 23168.0, 'tokens': 429}
{'loss': 464.0, 'grad_norm_square': 15936.0, 'tokens': 408}
{'loss': 460.0, 'grad_norm_square': 19072.0, 'tokens': 427}
{'loss': 624.0, 'grad_norm_square': 20352.0, 'tokens': 445}
{'loss': 486.0, 'grad_norm_square': 22656.0, 'tokens': 461}
{'loss': 520.0, 'grad_norm_square': 25728.0, 'tokens': 444}
{'loss': 506.0, 'grad_norm_square': 18688.0, 'tokens': 459}
{'loss': 350.0, 'grad_norm_square': 16320.0, 'tokens': 295}
{'loss': 560.0, 'grad_norm_square': 20736.0, 'tokens': 420}
{'loss': 576.0, 'grad_norm_square': 20992.0, 'tokens': 476}
{'loss': 496.0, 'grad_norm_square': 18304.0, 'tokens': 430}
{'loss': 512.0, 'grad_norm_square': 21248.0, 'tokens': 441}
{'loss': 428.0, 'grad_norm_square': 17920.0, 'tokens': 402}
{'loss': 442.0, 'grad_norm_square': 15040.0, 'tokens': 328}
{'loss': 468.0, 'grad_norm_square': 17664.0, 'tokens': 453}
{'loss': 330.0, 'grad_norm_square': 15744.0, 'tokens': 375}
{'loss': 478.0, 'grad_norm_square': 19328.0, 'tokens': 434}
{'loss': 348.0, 'grad_norm_square': 14464.0, 'tokens': 383}
{'loss': 450.0, 'grad_norm_square': 16000.0, 'tokens': 411}
{'loss': 506.0, 'grad_norm_square': 15616.0, 'tokens': 469}
{'loss': 420.0, 'grad_norm_square': 15680.0, 'tokens': 392}
{'loss': 414.0, 'grad_norm_square': 15360.0, 'tokens': 460}
{'loss': 384.0, 'grad_norm_square': 14272.0, 'tokens': 398}
{'loss': 260.0, 'grad_norm_square': 15936.0, 'tokens': 284}
{'loss': 179.0, 'grad_norm_square': 11392.0, 'tokens': 275}
{'loss': 502.0, 'grad_norm_square': 17920.0, 'tokens': 435}
{'loss': 216.0, 'grad_norm_square': 12864.0, 'tokens': 287}
{'loss': 476.0, 'grad_norm_square': 20992.0, 'tokens': 440}
{'loss': 386.0, 'grad_norm_square': 19328.0, 'tokens': 326}
{'loss': 308.0, 'grad_norm_square': 15104.0, 'tokens': 349}
{'loss': 134.0, 'grad_norm_square': 8832.0, 'tokens': 255}
{'loss': 230.0, 'grad_norm_square': 12480.0, 'tokens': 281}
{'loss': 462.0, 'grad_norm_square': 19968.0, 'tokens': 435}
{'loss': 664.0, 'grad_norm_square': 22400.0, 'tokens': 393}
{'loss': 528.0, 'grad_norm_square': 17152.0, 'tokens': 480}
{'loss': 528.0, 'grad_norm_square': 18944.0, 'tokens': 459}
{'loss': 548.0, 'grad_norm_square': 21120.0, 'tokens': 477}
{'loss': 392.0, 'grad_norm_square': 20352.0, 'tokens': 464}
{'loss': 233.0, 'grad_norm_square': 12224.0, 'tokens': 263}
{'loss': 608.0, 'grad_norm_square': 19712.0, 'tokens': 489}
{'loss': 420.0, 'grad_norm_square': 16064.0, 'tokens': 376}
{'loss': 428.0, 'grad_norm_square': 16064.0, 'tokens': 455}
{'loss': 512.0, 'grad_norm_square': 17536.0, 'tokens': 420}
{'loss': 412.0, 'grad_norm_square': 17280.0, 'tokens': 414}
{'loss': 234.0, 'grad_norm_square': 12288.0, 'tokens': 260}
{'loss': 382.0, 'grad_norm_square': 14336.0, 'tokens': 379}
{'loss': 220.0, 'grad_norm_square': 12480.0, 'tokens': 257}
{'loss': 380.0, 'grad_norm_square': 16192.0, 'tokens': 413}
{'loss': 390.0, 'grad_norm_square': 17536.0, 'tokens': 386}
{'loss': 278.0, 'grad_norm_square': 13504.0, 'tokens': 258}
{'loss': 288.0, 'grad_norm_square': 13888.0, 'tokens': 281}
{'loss': 404.0, 'grad_norm_square': 17408.0, 'tokens': 472}
{'loss': 304.0, 'grad_norm_square': 14016.0, 'tokens': 334}
{'loss': 560.0, 'grad_norm_square': 23552.0, 'tokens': 437}
{'loss': 532.0, 'grad_norm_square': 19968.0, 'tokens': 499}
{'loss': 416.0, 'grad_norm_square': 16768.0, 'tokens': 448}
{'loss': 218.0, 'grad_norm_square': 12672.0, 'tokens': 248}
{'loss': 294.0, 'grad_norm_square': 17536.0, 'tokens': 310}
{'loss': 330.0, 'grad_norm_square': 15936.0, 'tokens': 271}
{'loss': 324.0, 'grad_norm_square': 15104.0, 'tokens': 416}
{'loss': 506.0, 'grad_norm_square': 21248.0, 'tokens': 445}
{'loss': 231.0, 'grad_norm_square': 15488.0, 'tokens': 261}
{'loss': 296.0, 'grad_norm_square': 14656.0, 'tokens': 316}
{'loss': 248.0, 'grad_norm_square': 15296.0, 'tokens': 299}
{'loss': 298.0, 'grad_norm_square': 20352.0, 'tokens': 378}
{'loss': 209.0, 'grad_norm_square': 11904.0, 'tokens': 261}
{'loss': 440.0, 'grad_norm_square': 16896.0, 'tokens': 403}
{'loss': 572.0, 'grad_norm_square': 19072.0, 'tokens': 467}
{'loss': 216.0, 'grad_norm_square': 12416.0, 'tokens': 292}
{'loss': 446.0, 'grad_norm_square': 18944.0, 'tokens': 439}
{'loss': 528.0, 'grad_norm_square': 24448.0, 'tokens': 438}
{'loss': 320.0, 'grad_norm_square': 26368.0, 'tokens': 363}
{'loss': 500.0, 'grad_norm_square': 17664.0, 'tokens': 482}
{'loss': 314.0, 'grad_norm_square': 15104.0, 'tokens': 341}
{'loss': 400.0, 'grad_norm_square': 17408.0, 'tokens': 469}
{'loss': 282.0, 'grad_norm_square': 12928.0, 'tokens': 252}
{'loss': 334.0, 'grad_norm_square': 15808.0, 'tokens': 386}
{'loss': 454.0, 'grad_norm_square': 18688.0, 'tokens': 438}
{'loss': 392.0, 'grad_norm_square': 16640.0, 'tokens': 440}
{'loss': 364.0, 'grad_norm_square': 20608.0, 'tokens': 281}
{'loss': 418.0, 'grad_norm_square': 15680.0, 'tokens': 436}
{'loss': 322.0, 'grad_norm_square': 15232.0, 'tokens': 361}
{'loss': 516.0, 'grad_norm_square': 20864.0, 'tokens': 394}
{'loss': 194.0, 'grad_norm_square': 14720.0, 'tokens': 278}
{'loss': 312.0, 'grad_norm_square': 15232.0, 'tokens': 364}
{'loss': 450.0, 'grad_norm_square': 19072.0, 'tokens': 425}
{'loss': 460.0, 'grad_norm_square': 20736.0, 'tokens': 411}
{'loss': 264.0, 'grad_norm_square': 14720.0, 'tokens': 281}
{'loss': 468.0, 'grad_norm_square': 19200.0, 'tokens': 434}
{'loss': 442.0, 'grad_norm_square': 16384.0, 'tokens': 404}
{'loss': 576.0, 'grad_norm_square': 20736.0, 'tokens': 457}
{'loss': 428.0, 'grad_norm_square': 19328.0, 'tokens': 472}
{'loss': 394.0, 'grad_norm_square': 17408.0, 'tokens': 400}
{'loss': 214.0, 'grad_norm_square': 12416.0, 'tokens': 294}
{'loss': 528.0, 'grad_norm_square': 19328.0, 'tokens': 418}
{'loss': 438.0, 'grad_norm_square': 19840.0, 'tokens': 446}
{'loss': 438.0, 'grad_norm_square': 20992.0, 'tokens': 428}
{'loss': 284.0, 'grad_norm_square': 14848.0, 'tokens': 363}
{'loss': 458.0, 'grad_norm_square': 16640.0, 'tokens': 424}
{'loss': 416.0, 'grad_norm_square': 17664.0, 'tokens': 430}
{'loss': 332.0, 'grad_norm_square': 13376.0, 'tokens': 414}
{'loss': 408.0, 'grad_norm_square': 15296.0, 'tokens': 433}
{'loss': 528.0, 'grad_norm_square': 17792.0, 'tokens': 399}
{'loss': 266.0, 'grad_norm_square': 16192.0, 'tokens': 275}
{'loss': 236.0, 'grad_norm_square': 11712.0, 'tokens': 303}
{'loss': 356.0, 'grad_norm_square': 15360.0, 'tokens': 249}
{'loss': 552.0, 'grad_norm_square': 19840.0, 'tokens': 446}
{'loss': 412.0, 'grad_norm_square': 16640.0, 'tokens': 415}
{'loss': 368.0, 'grad_norm_square': 18176.0, 'tokens': 429}
{'loss': 580.0, 'grad_norm_square': 21760.0, 'tokens': 462}
{'loss': 302.0, 'grad_norm_square': 15296.0, 'tokens': 278}
{'loss': 478.0, 'grad_norm_square': 20608.0, 'tokens': 417}
{'loss': 274.0, 'grad_norm_square': 13312.0, 'tokens': 251}
{'loss': 392.0, 'grad_norm_square': 14656.0, 'tokens': 443}
{'loss': 272.0, 'grad_norm_square': 15296.0, 'tokens': 350}
{'loss': 394.0, 'grad_norm_square': 16896.0, 'tokens': 462}
{'loss': 227.0, 'grad_norm_square': 12416.0, 'tokens': 287}
{'loss': 406.0, 'grad_norm_square': 16896.0, 'tokens': 359}
{'loss': 332.0, 'grad_norm_square': 13696.0, 'tokens': 395}
{'loss': 390.0, 'grad_norm_square': 18304.0, 'tokens': 394}
{'loss': 466.0, 'grad_norm_square': 19072.0, 'tokens': 458}
{'loss': 448.0, 'grad_norm_square': 18688.0, 'tokens': 470}
{'loss': 350.0, 'grad_norm_square': 17024.0, 'tokens': 393}
{'loss': 446.0, 'grad_norm_square': 22016.0, 'tokens': 463}
