{'model_params': 2506172416, 'peft_params': 1263584}
{'loss': 580.0, 'grad_norm_square': 166912.0, 'tokens': 455}
{'loss': 364.0, 'grad_norm_square': 94720.0, 'tokens': 312}
{'loss': 580.0, 'grad_norm_square': 123904.0, 'tokens': 432}
{'loss': 608.0, 'grad_norm_square': 104448.0, 'tokens': 471}
{'loss': 308.0, 'grad_norm_square': 82944.0, 'tokens': 327}
{'loss': 310.0, 'grad_norm_square': 68096.0, 'tokens': 314}
{'loss': 552.0, 'grad_norm_square': 102912.0, 'tokens': 457}
{'loss': 227.0, 'grad_norm_square': 75264.0, 'tokens': 255}
{'loss': 404.0, 'grad_norm_square': 91648.0, 'tokens': 437}
{'loss': 251.0, 'grad_norm_square': 74240.0, 'tokens': 371}
{'loss': 488.0, 'grad_norm_square': 109568.0, 'tokens': 471}
{'loss': 408.0, 'grad_norm_square': 89600.0, 'tokens': 452}
{'loss': 256.0, 'grad_norm_square': 70144.0, 'tokens': 261}
{'loss': 478.0, 'grad_norm_square': 91648.0, 'tokens': 419}
{'loss': 528.0, 'grad_norm_square': 102400.0, 'tokens': 450}
{'loss': 384.0, 'grad_norm_square': 124928.0, 'tokens': 446}
{'loss': 592.0, 'grad_norm_square': 112640.0, 'tokens': 452}
{'loss': 222.0, 'grad_norm_square': 74240.0, 'tokens': 262}
{'loss': 408.0, 'grad_norm_square': 83456.0, 'tokens': 375}
{'loss': 470.0, 'grad_norm_square': 100352.0, 'tokens': 405}
{'loss': 422.0, 'grad_norm_square': 72192.0, 'tokens': 409}
{'loss': 370.0, 'grad_norm_square': 73216.0, 'tokens': 410}
{'loss': 456.0, 'grad_norm_square': 109568.0, 'tokens': 429}
{'loss': 418.0, 'grad_norm_square': 83456.0, 'tokens': 408}
{'loss': 388.0, 'grad_norm_square': 97792.0, 'tokens': 427}
{'loss': 508.0, 'grad_norm_square': 99840.0, 'tokens': 445}
{'loss': 416.0, 'grad_norm_square': 107008.0, 'tokens': 461}
{'loss': 448.0, 'grad_norm_square': 96256.0, 'tokens': 444}
{'loss': 430.0, 'grad_norm_square': 91136.0, 'tokens': 459}
{'loss': 290.0, 'grad_norm_square': 69632.0, 'tokens': 295}
{'loss': 528.0, 'grad_norm_square': 107008.0, 'tokens': 420}
{'loss': 484.0, 'grad_norm_square': 103936.0, 'tokens': 476}
{'loss': 434.0, 'grad_norm_square': 93184.0, 'tokens': 430}
{'loss': 446.0, 'grad_norm_square': 90112.0, 'tokens': 441}
{'loss': 364.0, 'grad_norm_square': 82944.0, 'tokens': 402}
{'loss': 396.0, 'grad_norm_square': 69120.0, 'tokens': 328}
{'loss': 416.0, 'grad_norm_square': 76288.0, 'tokens': 453}
{'loss': 304.0, 'grad_norm_square': 74752.0, 'tokens': 375}
{'loss': 440.0, 'grad_norm_square': 85504.0, 'tokens': 434}
{'loss': 290.0, 'grad_norm_square': 65280.0, 'tokens': 383}
{'loss': 448.0, 'grad_norm_square': 81920.0, 'tokens': 411}
{'loss': 462.0, 'grad_norm_square': 76800.0, 'tokens': 469}
{'loss': 366.0, 'grad_norm_square': 67072.0, 'tokens': 392}
{'loss': 362.0, 'grad_norm_square': 61440.0, 'tokens': 460}
{'loss': 338.0, 'grad_norm_square': 66560.0, 'tokens': 398}
{'loss': 233.0, 'grad_norm_square': 58624.0, 'tokens': 284}
{'loss': 166.0, 'grad_norm_square': 54272.0, 'tokens': 275}
{'loss': 418.0, 'grad_norm_square': 72704.0, 'tokens': 435}
{'loss': 189.0, 'grad_norm_square': 59904.0, 'tokens': 287}
{'loss': 418.0, 'grad_norm_square': 105984.0, 'tokens': 440}
{'loss': 358.0, 'grad_norm_square': 91136.0, 'tokens': 326}
{'loss': 286.0, 'grad_norm_square': 64768.0, 'tokens': 349}
{'loss': 116.0, 'grad_norm_square': 44288.0, 'tokens': 255}
{'loss': 217.0, 'grad_norm_square': 57856.0, 'tokens': 281}
{'loss': 440.0, 'grad_norm_square': 86528.0, 'tokens': 435}
{'loss': 648.0, 'grad_norm_square': 100352.0, 'tokens': 393}
{'loss': 506.0, 'grad_norm_square': 93696.0, 'tokens': 480}
{'loss': 470.0, 'grad_norm_square': 83456.0, 'tokens': 459}
{'loss': 506.0, 'grad_norm_square': 90624.0, 'tokens': 477}
{'loss': 348.0, 'grad_norm_square': 82432.0, 'tokens': 464}
{'loss': 242.0, 'grad_norm_square': 60672.0, 'tokens': 263}
{'loss': 588.0, 'grad_norm_square': 80896.0, 'tokens': 489}
{'loss': 398.0, 'grad_norm_square': 72704.0, 'tokens': 376}
{'loss': 376.0, 'grad_norm_square': 65280.0, 'tokens': 455}
{'loss': 480.0, 'grad_norm_square': 76288.0, 'tokens': 420}
{'loss': 392.0, 'grad_norm_square': 72192.0, 'tokens': 414}
{'loss': 225.0, 'grad_norm_square': 52736.0, 'tokens': 260}
{'loss': 368.0, 'grad_norm_square': 76288.0, 'tokens': 379}
{'loss': 207.0, 'grad_norm_square': 67584.0, 'tokens': 257}
{'loss': 362.0, 'grad_norm_square': 70656.0, 'tokens': 413}
{'loss': 380.0, 'grad_norm_square': 77312.0, 'tokens': 386}
{'loss': 268.0, 'grad_norm_square': 54272.0, 'tokens': 258}
