{'model_params': 2506172416, 'peft_params': 5506158}
{'loss': 580.0, 'grad_norm_square': 50176.0, 'tokens': 455}
{'loss': 416.0, 'grad_norm_square': 81408.0, 'tokens': 312}
{'loss': 724.0, 'grad_norm_square': 83456.0, 'tokens': 432}
{'loss': 732.0, 'grad_norm_square': 53248.0, 'tokens': 471}
{'loss': 342.0, 'grad_norm_square': 34560.0, 'tokens': 327}
{'loss': 360.0, 'grad_norm_square': 30208.0, 'tokens': 314}
{'loss': 668.0, 'grad_norm_square': 47872.0, 'tokens': 457}
{'loss': 284.0, 'grad_norm_square': 32128.0, 'tokens': 255}
{'loss': 486.0, 'grad_norm_square': 44544.0, 'tokens': 437}
{'loss': 318.0, 'grad_norm_square': 30720.0, 'tokens': 371}
{'loss': 596.0, 'grad_norm_square': 41984.0, 'tokens': 471}
{'loss': 504.0, 'grad_norm_square': 40960.0, 'tokens': 452}
{'loss': 284.0, 'grad_norm_square': 25472.0, 'tokens': 261}
{'loss': 580.0, 'grad_norm_square': 33280.0, 'tokens': 419}
{'loss': 616.0, 'grad_norm_square': 35072.0, 'tokens': 450}
{'loss': 446.0, 'grad_norm_square': 34560.0, 'tokens': 446}
{'loss': 648.0, 'grad_norm_square': 34560.0, 'tokens': 452}
{'loss': 244.0, 'grad_norm_square': 21504.0, 'tokens': 262}
{'loss': 458.0, 'grad_norm_square': 27008.0, 'tokens': 375}
{'loss': 528.0, 'grad_norm_square': 31360.0, 'tokens': 405}
{'loss': 484.0, 'grad_norm_square': 25984.0, 'tokens': 409}
{'loss': 444.0, 'grad_norm_square': 29440.0, 'tokens': 410}
{'loss': 524.0, 'grad_norm_square': 40960.0, 'tokens': 429}
{'loss': 468.0, 'grad_norm_square': 25856.0, 'tokens': 408}
{'loss': 464.0, 'grad_norm_square': 32640.0, 'tokens': 427}
{'loss': 632.0, 'grad_norm_square': 35840.0, 'tokens': 445}
{'loss': 498.0, 'grad_norm_square': 36352.0, 'tokens': 461}
{'loss': 524.0, 'grad_norm_square': 38656.0, 'tokens': 444}
