{'model_params': 2506172416, 'peft_params': 1814512}
{'loss': 580.0, 'grad_norm_square': 253952.0, 'tokens': 455}
{'loss': 402.0, 'grad_norm_square': 315392.0, 'tokens': 312}
{'loss': 676.0, 'grad_norm_square': 321536.0, 'tokens': 432}
{'loss': 688.0, 'grad_norm_square': 230400.0, 'tokens': 471}
{'loss': 326.0, 'grad_norm_square': 135168.0, 'tokens': 327}
{'loss': 334.0, 'grad_norm_square': 119808.0, 'tokens': 314}
{'loss': 608.0, 'grad_norm_square': 175104.0, 'tokens': 457}
{'loss': 258.0, 'grad_norm_square': 131072.0, 'tokens': 255}
{'loss': 446.0, 'grad_norm_square': 147456.0, 'tokens': 437}
{'loss': 282.0, 'grad_norm_square': 105984.0, 'tokens': 371}
{'loss': 552.0, 'grad_norm_square': 166912.0, 'tokens': 471}
{'loss': 460.0, 'grad_norm_square': 143360.0, 'tokens': 452}
{'loss': 272.0, 'grad_norm_square': 108544.0, 'tokens': 261}
{'loss': 532.0, 'grad_norm_square': 146432.0, 'tokens': 419}
{'loss': 572.0, 'grad_norm_square': 144384.0, 'tokens': 450}
{'loss': 408.0, 'grad_norm_square': 146432.0, 'tokens': 446}
{'loss': 612.0, 'grad_norm_square': 154624.0, 'tokens': 452}
{'loss': 233.0, 'grad_norm_square': 101888.0, 'tokens': 262}
{'loss': 430.0, 'grad_norm_square': 132096.0, 'tokens': 375}
{'loss': 506.0, 'grad_norm_square': 155648.0, 'tokens': 405}
{'loss': 452.0, 'grad_norm_square': 118784.0, 'tokens': 409}
{'loss': 398.0, 'grad_norm_square': 127488.0, 'tokens': 410}
{'loss': 498.0, 'grad_norm_square': 220160.0, 'tokens': 429}
{'loss': 434.0, 'grad_norm_square': 152576.0, 'tokens': 408}
{'loss': 422.0, 'grad_norm_square': 154624.0, 'tokens': 427}
{'loss': 576.0, 'grad_norm_square': 178176.0, 'tokens': 445}
{'loss': 442.0, 'grad_norm_square': 211968.0, 'tokens': 461}
{'loss': 464.0, 'grad_norm_square': 174080.0, 'tokens': 444}
{'loss': 464.0, 'grad_norm_square': 160768.0, 'tokens': 459}
{'loss': 322.0, 'grad_norm_square': 138240.0, 'tokens': 295}
{'loss': 528.0, 'grad_norm_square': 166912.0, 'tokens': 420}
{'loss': 516.0, 'grad_norm_square': 177152.0, 'tokens': 476}
{'loss': 460.0, 'grad_norm_square': 172032.0, 'tokens': 430}
{'loss': 472.0, 'grad_norm_square': 155648.0, 'tokens': 441}
{'loss': 394.0, 'grad_norm_square': 160768.0, 'tokens': 402}
{'loss': 420.0, 'grad_norm_square': 144384.0, 'tokens': 328}
{'loss': 430.0, 'grad_norm_square': 158720.0, 'tokens': 453}
{'loss': 316.0, 'grad_norm_square': 132096.0, 'tokens': 375}
{'loss': 448.0, 'grad_norm_square': 159744.0, 'tokens': 434}
{'loss': 310.0, 'grad_norm_square': 122368.0, 'tokens': 383}
{'loss': 438.0, 'grad_norm_square': 131072.0, 'tokens': 411}
{'loss': 470.0, 'grad_norm_square': 132096.0, 'tokens': 469}
{'loss': 390.0, 'grad_norm_square': 127488.0, 'tokens': 392}
{'loss': 370.0, 'grad_norm_square': 113152.0, 'tokens': 460}
{'loss': 350.0, 'grad_norm_square': 123904.0, 'tokens': 398}
{'loss': 242.0, 'grad_norm_square': 116224.0, 'tokens': 284}
{'loss': 165.0, 'grad_norm_square': 91648.0, 'tokens': 275}
{'loss': 434.0, 'grad_norm_square': 151552.0, 'tokens': 435}
{'loss': 193.0, 'grad_norm_square': 99328.0, 'tokens': 287}
{'loss': 434.0, 'grad_norm_square': 172032.0, 'tokens': 440}
{'loss': 358.0, 'grad_norm_square': 152576.0, 'tokens': 326}
{'loss': 284.0, 'grad_norm_square': 126976.0, 'tokens': 349}
{'loss': 117.5, 'grad_norm_square': 83968.0, 'tokens': 255}
