{'model_params': 2506172416, 'peft_params': 545272}
{'loss': 580.0, 'grad_norm_square': 19328.0, 'tokens': 455}
{'loss': 412.0, 'grad_norm_square': 27264.0, 'tokens': 312}
{'loss': 712.0, 'grad_norm_square': 29312.0, 'tokens': 432}
{'loss': 724.0, 'grad_norm_square': 19200.0, 'tokens': 471}
{'loss': 340.0, 'grad_norm_square': 11008.0, 'tokens': 327}
{'loss': 358.0, 'grad_norm_square': 10752.0, 'tokens': 314}
{'loss': 664.0, 'grad_norm_square': 16896.0, 'tokens': 457}
{'loss': 282.0, 'grad_norm_square': 11584.0, 'tokens': 255}
{'loss': 482.0, 'grad_norm_square': 15936.0, 'tokens': 437}
{'loss': 316.0, 'grad_norm_square': 9472.0, 'tokens': 371}
{'loss': 592.0, 'grad_norm_square': 14976.0, 'tokens': 471}
{'loss': 502.0, 'grad_norm_square': 13184.0, 'tokens': 452}
{'loss': 286.0, 'grad_norm_square': 8192.0, 'tokens': 261}
{'loss': 580.0, 'grad_norm_square': 10624.0, 'tokens': 419}
{'loss': 616.0, 'grad_norm_square': 11008.0, 'tokens': 450}
{'loss': 452.0, 'grad_norm_square': 11456.0, 'tokens': 446}
{'loss': 652.0, 'grad_norm_square': 12416.0, 'tokens': 452}
{'loss': 248.0, 'grad_norm_square': 7072.0, 'tokens': 262}
{'loss': 464.0, 'grad_norm_square': 9088.0, 'tokens': 375}
{'loss': 536.0, 'grad_norm_square': 10624.0, 'tokens': 405}
{'loss': 486.0, 'grad_norm_square': 8192.0, 'tokens': 409}
{'loss': 444.0, 'grad_norm_square': 9664.0, 'tokens': 410}
{'loss': 532.0, 'grad_norm_square': 14272.0, 'tokens': 429}
{'loss': 472.0, 'grad_norm_square': 8576.0, 'tokens': 408}
{'loss': 468.0, 'grad_norm_square': 10688.0, 'tokens': 427}
{'loss': 644.0, 'grad_norm_square': 12288.0, 'tokens': 445}
{'loss': 508.0, 'grad_norm_square': 12672.0, 'tokens': 461}
{'loss': 532.0, 'grad_norm_square': 11840.0, 'tokens': 444}
{'loss': 520.0, 'grad_norm_square': 10240.0, 'tokens': 459}
{'loss': 350.0, 'grad_norm_square': 8768.0, 'tokens': 295}
{'loss': 568.0, 'grad_norm_square': 11776.0, 'tokens': 420}
{'loss': 592.0, 'grad_norm_square': 12224.0, 'tokens': 476}
{'loss': 498.0, 'grad_norm_square': 10304.0, 'tokens': 430}
{'loss': 520.0, 'grad_norm_square': 11008.0, 'tokens': 441}
{'loss': 440.0, 'grad_norm_square': 9856.0, 'tokens': 402}
{'loss': 448.0, 'grad_norm_square': 7776.0, 'tokens': 328}
{'loss': 472.0, 'grad_norm_square': 9792.0, 'tokens': 453}
{'loss': 340.0, 'grad_norm_square': 8320.0, 'tokens': 375}
{'loss': 486.0, 'grad_norm_square': 8832.0, 'tokens': 434}
{'loss': 354.0, 'grad_norm_square': 7840.0, 'tokens': 383}
{'loss': 456.0, 'grad_norm_square': 8640.0, 'tokens': 411}
{'loss': 512.0, 'grad_norm_square': 8768.0, 'tokens': 469}
{'loss': 432.0, 'grad_norm_square': 8576.0, 'tokens': 392}
{'loss': 424.0, 'grad_norm_square': 8512.0, 'tokens': 460}
{'loss': 392.0, 'grad_norm_square': 7936.0, 'tokens': 398}
{'loss': 266.0, 'grad_norm_square': 7936.0, 'tokens': 284}
{'loss': 184.0, 'grad_norm_square': 5632.0, 'tokens': 275}
{'loss': 516.0, 'grad_norm_square': 10496.0, 'tokens': 435}
{'loss': 226.0, 'grad_norm_square': 7232.0, 'tokens': 287}
{'loss': 488.0, 'grad_norm_square': 12608.0, 'tokens': 440}
{'loss': 390.0, 'grad_norm_square': 10624.0, 'tokens': 326}
{'loss': 310.0, 'grad_norm_square': 8128.0, 'tokens': 349}
{'loss': 138.0, 'grad_norm_square': 4672.0, 'tokens': 255}
{'loss': 232.0, 'grad_norm_square': 7072.0, 'tokens': 281}
{'loss': 472.0, 'grad_norm_square': 10432.0, 'tokens': 435}
{'loss': 676.0, 'grad_norm_square': 10560.0, 'tokens': 393}
{'loss': 544.0, 'grad_norm_square': 9792.0, 'tokens': 480}
{'loss': 540.0, 'grad_norm_square': 10816.0, 'tokens': 459}
{'loss': 560.0, 'grad_norm_square': 10496.0, 'tokens': 477}
{'loss': 404.0, 'grad_norm_square': 11072.0, 'tokens': 464}
{'loss': 240.0, 'grad_norm_square': 6464.0, 'tokens': 263}
{'loss': 612.0, 'grad_norm_square': 10304.0, 'tokens': 489}
{'loss': 434.0, 'grad_norm_square': 9344.0, 'tokens': 376}
{'loss': 448.0, 'grad_norm_square': 8768.0, 'tokens': 455}
{'loss': 524.0, 'grad_norm_square': 9088.0, 'tokens': 420}
{'loss': 422.0, 'grad_norm_square': 9280.0, 'tokens': 414}
{'loss': 240.0, 'grad_norm_square': 6592.0, 'tokens': 260}
{'loss': 388.0, 'grad_norm_square': 8160.0, 'tokens': 379}
{'loss': 229.0, 'grad_norm_square': 6912.0, 'tokens': 257}
{'loss': 390.0, 'grad_norm_square': 9280.0, 'tokens': 413}
{'loss': 406.0, 'grad_norm_square': 9280.0, 'tokens': 386}
{'loss': 278.0, 'grad_norm_square': 6080.0, 'tokens': 258}
{'loss': 294.0, 'grad_norm_square': 7328.0, 'tokens': 281}
{'loss': 414.0, 'grad_norm_square': 9600.0, 'tokens': 472}
{'loss': 312.0, 'grad_norm_square': 7776.0, 'tokens': 334}
{'loss': 576.0, 'grad_norm_square': 12864.0, 'tokens': 437}
{'loss': 544.0, 'grad_norm_square': 10816.0, 'tokens': 499}
{'loss': 430.0, 'grad_norm_square': 8448.0, 'tokens': 448}
{'loss': 220.0, 'grad_norm_square': 6240.0, 'tokens': 248}
{'loss': 302.0, 'grad_norm_square': 9408.0, 'tokens': 310}
{'loss': 338.0, 'grad_norm_square': 9088.0, 'tokens': 271}
{'loss': 338.0, 'grad_norm_square': 8256.0, 'tokens': 416}
