{'model_params': 2506172416, 'peft_params': 5419008}
{'loss': 580.0, 'grad_norm_square': 9408.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 14208.0, 'tokens': 312}
{'loss': 756.0, 'grad_norm_square': 18944.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 12032.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 7008.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 7488.0, 'tokens': 314}
{'loss': 732.0, 'grad_norm_square': 10880.0, 'tokens': 457}
{'loss': 320.0, 'grad_norm_square': 9664.0, 'tokens': 255}
{'loss': 556.0, 'grad_norm_square': 13824.0, 'tokens': 437}
{'loss': 396.0, 'grad_norm_square': 13568.0, 'tokens': 371}
{'loss': 692.0, 'grad_norm_square': 12544.0, 'tokens': 471}
{'loss': 604.0, 'grad_norm_square': 11264.0, 'tokens': 452}
{'loss': 314.0, 'grad_norm_square': 6624.0, 'tokens': 261}
{'loss': 684.0, 'grad_norm_square': 11072.0, 'tokens': 419}
{'loss': 740.0, 'grad_norm_square': 17536.0, 'tokens': 450}
{'loss': 540.0, 'grad_norm_square': 10560.0, 'tokens': 446}
{'loss': 736.0, 'grad_norm_square': 8640.0, 'tokens': 452}
{'loss': 288.0, 'grad_norm_square': 7424.0, 'tokens': 262}
{'loss': 544.0, 'grad_norm_square': 11840.0, 'tokens': 375}
{'loss': 636.0, 'grad_norm_square': 12032.0, 'tokens': 405}
{'loss': 580.0, 'grad_norm_square': 10816.0, 'tokens': 409}
{'loss': 540.0, 'grad_norm_square': 11264.0, 'tokens': 410}
{'loss': 608.0, 'grad_norm_square': 9600.0, 'tokens': 429}
{'loss': 588.0, 'grad_norm_square': 10432.0, 'tokens': 408}
{'loss': 600.0, 'grad_norm_square': 18048.0, 'tokens': 427}
{'loss': 828.0, 'grad_norm_square': 18304.0, 'tokens': 445}
{'loss': 752.0, 'grad_norm_square': 33536.0, 'tokens': 461}
{'loss': 672.0, 'grad_norm_square': 13440.0, 'tokens': 444}
{'loss': 664.0, 'grad_norm_square': 12992.0, 'tokens': 459}
{'loss': 400.0, 'grad_norm_square': 5792.0, 'tokens': 295}
{'loss': 660.0, 'grad_norm_square': 8960.0, 'tokens': 420}
{'loss': 800.0, 'grad_norm_square': 23168.0, 'tokens': 476}
{'loss': 604.0, 'grad_norm_square': 10048.0, 'tokens': 430}
{'loss': 652.0, 'grad_norm_square': 15744.0, 'tokens': 441}
{'loss': 544.0, 'grad_norm_square': 11904.0, 'tokens': 402}
{'loss': 512.0, 'grad_norm_square': 8512.0, 'tokens': 328}
{'loss': 576.0, 'grad_norm_square': 9472.0, 'tokens': 453}
{'loss': 378.0, 'grad_norm_square': 4800.0, 'tokens': 375}
{'loss': 596.0, 'grad_norm_square': 9536.0, 'tokens': 434}
{'loss': 486.0, 'grad_norm_square': 9152.0, 'tokens': 383}
{'loss': 536.0, 'grad_norm_square': 7072.0, 'tokens': 411}
{'loss': 676.0, 'grad_norm_square': 29696.0, 'tokens': 469}
{'loss': 564.0, 'grad_norm_square': 18048.0, 'tokens': 392}
{'loss': 600.0, 'grad_norm_square': 10624.0, 'tokens': 460}
{'loss': 496.0, 'grad_norm_square': 9728.0, 'tokens': 398}
{'loss': 326.0, 'grad_norm_square': 9280.0, 'tokens': 284}
{'loss': 284.0, 'grad_norm_square': 17920.0, 'tokens': 275}
{'loss': 752.0, 'grad_norm_square': 15104.0, 'tokens': 435}
{'loss': 282.0, 'grad_norm_square': 4928.0, 'tokens': 287}
{'loss': 628.0, 'grad_norm_square': 10560.0, 'tokens': 440}
{'loss': 464.0, 'grad_norm_square': 7968.0, 'tokens': 326}
{'loss': 380.0, 'grad_norm_square': 6400.0, 'tokens': 349}
{'loss': 205.0, 'grad_norm_square': 5248.0, 'tokens': 255}
{'loss': 300.0, 'grad_norm_square': 6080.0, 'tokens': 281}
{'loss': 632.0, 'grad_norm_square': 11712.0, 'tokens': 435}
{'loss': 780.0, 'grad_norm_square': 8960.0, 'tokens': 393}
{'loss': 800.0, 'grad_norm_square': 14784.0, 'tokens': 480}
{'loss': 724.0, 'grad_norm_square': 11968.0, 'tokens': 459}
{'loss': 704.0, 'grad_norm_square': 18176.0, 'tokens': 477}
{'loss': 588.0, 'grad_norm_square': 22528.0, 'tokens': 464}
{'loss': 290.0, 'grad_norm_square': 5056.0, 'tokens': 263}
{'loss': 768.0, 'grad_norm_square': 27264.0, 'tokens': 489}
{'loss': 540.0, 'grad_norm_square': 7456.0, 'tokens': 376}
{'loss': 656.0, 'grad_norm_square': 14720.0, 'tokens': 455}
{'loss': 712.0, 'grad_norm_square': 12096.0, 'tokens': 420}
{'loss': 556.0, 'grad_norm_square': 9216.0, 'tokens': 414}
{'loss': 328.0, 'grad_norm_square': 12544.0, 'tokens': 260}
{'loss': 524.0, 'grad_norm_square': 10368.0, 'tokens': 379}
{'loss': 290.0, 'grad_norm_square': 5952.0, 'tokens': 257}
{'loss': 516.0, 'grad_norm_square': 7552.0, 'tokens': 413}
{'loss': 528.0, 'grad_norm_square': 7616.0, 'tokens': 386}
{'loss': 342.0, 'grad_norm_square': 4992.0, 'tokens': 258}
{'loss': 370.0, 'grad_norm_square': 6112.0, 'tokens': 281}
{'loss': 556.0, 'grad_norm_square': 8960.0, 'tokens': 472}
{'loss': 374.0, 'grad_norm_square': 5312.0, 'tokens': 334}
{'loss': 780.0, 'grad_norm_square': 12672.0, 'tokens': 437}
{'loss': 812.0, 'grad_norm_square': 12352.0, 'tokens': 499}
{'loss': 628.0, 'grad_norm_square': 12608.0, 'tokens': 448}
{'loss': 296.0, 'grad_norm_square': 4608.0, 'tokens': 248}
{'loss': 380.0, 'grad_norm_square': 6400.0, 'tokens': 310}
{'loss': 402.0, 'grad_norm_square': 4800.0, 'tokens': 271}
{'loss': 600.0, 'grad_norm_square': 11968.0, 'tokens': 416}
{'loss': 748.0, 'grad_norm_square': 12864.0, 'tokens': 445}
{'loss': 286.0, 'grad_norm_square': 4896.0, 'tokens': 261}
{'loss': 366.0, 'grad_norm_square': 4512.0, 'tokens': 316}
{'loss': 334.0, 'grad_norm_square': 6368.0, 'tokens': 299}
{'loss': 362.0, 'grad_norm_square': 6208.0, 'tokens': 378}
{'loss': 294.0, 'grad_norm_square': 6496.0, 'tokens': 261}
{'loss': 604.0, 'grad_norm_square': 9664.0, 'tokens': 403}
{'loss': 764.0, 'grad_norm_square': 9536.0, 'tokens': 467}
{'loss': 296.0, 'grad_norm_square': 4896.0, 'tokens': 292}
{'loss': 604.0, 'grad_norm_square': 10176.0, 'tokens': 439}
