{'model_params': 2506172416, 'peft_params': 1120224}
{'loss': 580.0, 'grad_norm_square': 337920.0, 'tokens': 455}
{'loss': 396.0, 'grad_norm_square': 385024.0, 'tokens': 312}
{'loss': 660.0, 'grad_norm_square': 393216.0, 'tokens': 432}
{'loss': 668.0, 'grad_norm_square': 299008.0, 'tokens': 471}
{'loss': 320.0, 'grad_norm_square': 183296.0, 'tokens': 327}
{'loss': 332.0, 'grad_norm_square': 153600.0, 'tokens': 314}
{'loss': 596.0, 'grad_norm_square': 221184.0, 'tokens': 457}
{'loss': 249.0, 'grad_norm_square': 163840.0, 'tokens': 255}
{'loss': 434.0, 'grad_norm_square': 190464.0, 'tokens': 437}
{'loss': 274.0, 'grad_norm_square': 134144.0, 'tokens': 371}
{'loss': 544.0, 'grad_norm_square': 210944.0, 'tokens': 471}
{'loss': 450.0, 'grad_norm_square': 185344.0, 'tokens': 452}
{'loss': 270.0, 'grad_norm_square': 145408.0, 'tokens': 261}
{'loss': 524.0, 'grad_norm_square': 183296.0, 'tokens': 419}
{'loss': 564.0, 'grad_norm_square': 185344.0, 'tokens': 450}
{'loss': 396.0, 'grad_norm_square': 201728.0, 'tokens': 446}
{'loss': 604.0, 'grad_norm_square': 202752.0, 'tokens': 452}
{'loss': 227.0, 'grad_norm_square': 130048.0, 'tokens': 262}
{'loss': 420.0, 'grad_norm_square': 173056.0, 'tokens': 375}
{'loss': 494.0, 'grad_norm_square': 204800.0, 'tokens': 405}
{'loss': 442.0, 'grad_norm_square': 151552.0, 'tokens': 409}
{'loss': 390.0, 'grad_norm_square': 161792.0, 'tokens': 410}
{'loss': 484.0, 'grad_norm_square': 262144.0, 'tokens': 429}
{'loss': 422.0, 'grad_norm_square': 171008.0, 'tokens': 408}
{'loss': 406.0, 'grad_norm_square': 204800.0, 'tokens': 427}
{'loss': 548.0, 'grad_norm_square': 221184.0, 'tokens': 445}
{'loss': 422.0, 'grad_norm_square': 261120.0, 'tokens': 461}
{'loss': 452.0, 'grad_norm_square': 221184.0, 'tokens': 444}
{'loss': 450.0, 'grad_norm_square': 203776.0, 'tokens': 459}
{'loss': 312.0, 'grad_norm_square': 179200.0, 'tokens': 295}
{'loss': 524.0, 'grad_norm_square': 226304.0, 'tokens': 420}
{'loss': 498.0, 'grad_norm_square': 237568.0, 'tokens': 476}
{'loss': 448.0, 'grad_norm_square': 224256.0, 'tokens': 430}
{'loss': 458.0, 'grad_norm_square': 212992.0, 'tokens': 441}
{'loss': 384.0, 'grad_norm_square': 199680.0, 'tokens': 402}
{'loss': 412.0, 'grad_norm_square': 176128.0, 'tokens': 328}
{'loss': 420.0, 'grad_norm_square': 179200.0, 'tokens': 453}
{'loss': 310.0, 'grad_norm_square': 190464.0, 'tokens': 375}
{'loss': 440.0, 'grad_norm_square': 212992.0, 'tokens': 434}
{'loss': 300.0, 'grad_norm_square': 158720.0, 'tokens': 383}
{'loss': 432.0, 'grad_norm_square': 175104.0, 'tokens': 411}
{'loss': 466.0, 'grad_norm_square': 178176.0, 'tokens': 469}
{'loss': 380.0, 'grad_norm_square': 159744.0, 'tokens': 392}
{'loss': 364.0, 'grad_norm_square': 147456.0, 'tokens': 460}
{'loss': 338.0, 'grad_norm_square': 157696.0, 'tokens': 398}
{'loss': 239.0, 'grad_norm_square': 154624.0, 'tokens': 284}
{'loss': 164.0, 'grad_norm_square': 117248.0, 'tokens': 275}
{'loss': 428.0, 'grad_norm_square': 186368.0, 'tokens': 435}
{'loss': 191.0, 'grad_norm_square': 139264.0, 'tokens': 287}
{'loss': 420.0, 'grad_norm_square': 242688.0, 'tokens': 440}
{'loss': 352.0, 'grad_norm_square': 201728.0, 'tokens': 326}
{'loss': 280.0, 'grad_norm_square': 169984.0, 'tokens': 349}
{'loss': 115.5, 'grad_norm_square': 107008.0, 'tokens': 255}
{'loss': 213.0, 'grad_norm_square': 133120.0, 'tokens': 281}
{'loss': 438.0, 'grad_norm_square': 207872.0, 'tokens': 435}
{'loss': 636.0, 'grad_norm_square': 225280.0, 'tokens': 393}
{'loss': 496.0, 'grad_norm_square': 217088.0, 'tokens': 480}
{'loss': 476.0, 'grad_norm_square': 194560.0, 'tokens': 459}
{'loss': 504.0, 'grad_norm_square': 212992.0, 'tokens': 477}
{'loss': 346.0, 'grad_norm_square': 181248.0, 'tokens': 464}
{'loss': 223.0, 'grad_norm_square': 116736.0, 'tokens': 263}
{'loss': 580.0, 'grad_norm_square': 202752.0, 'tokens': 489}
{'loss': 392.0, 'grad_norm_square': 172032.0, 'tokens': 376}
{'loss': 394.0, 'grad_norm_square': 172032.0, 'tokens': 455}
{'loss': 478.0, 'grad_norm_square': 182272.0, 'tokens': 420}
{'loss': 390.0, 'grad_norm_square': 173056.0, 'tokens': 414}
{'loss': 224.0, 'grad_norm_square': 125440.0, 'tokens': 260}
{'loss': 360.0, 'grad_norm_square': 146432.0, 'tokens': 379}
{'loss': 206.0, 'grad_norm_square': 151552.0, 'tokens': 257}
{'loss': 366.0, 'grad_norm_square': 163840.0, 'tokens': 413}
