{'model_params': 2506172416, 'peft_params': 9805824}
{'loss': 580.0, 'grad_norm_square': 15040.0, 'tokens': 455}
{'loss': 422.0, 'grad_norm_square': 24832.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 31616.0, 'tokens': 432}
{'loss': 760.0, 'grad_norm_square': 19968.0, 'tokens': 471}
{'loss': 360.0, 'grad_norm_square': 11776.0, 'tokens': 327}
{'loss': 380.0, 'grad_norm_square': 11840.0, 'tokens': 314}
{'loss': 724.0, 'grad_norm_square': 17792.0, 'tokens': 457}
{'loss': 314.0, 'grad_norm_square': 16512.0, 'tokens': 255}
{'loss': 544.0, 'grad_norm_square': 19072.0, 'tokens': 437}
{'loss': 382.0, 'grad_norm_square': 19072.0, 'tokens': 371}
{'loss': 672.0, 'grad_norm_square': 18560.0, 'tokens': 471}
{'loss': 584.0, 'grad_norm_square': 16896.0, 'tokens': 452}
{'loss': 306.0, 'grad_norm_square': 10240.0, 'tokens': 261}
{'loss': 660.0, 'grad_norm_square': 15872.0, 'tokens': 419}
{'loss': 704.0, 'grad_norm_square': 20992.0, 'tokens': 450}
{'loss': 516.0, 'grad_norm_square': 15488.0, 'tokens': 446}
{'loss': 712.0, 'grad_norm_square': 14272.0, 'tokens': 452}
{'loss': 276.0, 'grad_norm_square': 10048.0, 'tokens': 262}
{'loss': 516.0, 'grad_norm_square': 12864.0, 'tokens': 375}
{'loss': 596.0, 'grad_norm_square': 15168.0, 'tokens': 405}
{'loss': 544.0, 'grad_norm_square': 13184.0, 'tokens': 409}
{'loss': 506.0, 'grad_norm_square': 13696.0, 'tokens': 410}
{'loss': 572.0, 'grad_norm_square': 13376.0, 'tokens': 429}
{'loss': 544.0, 'grad_norm_square': 13248.0, 'tokens': 408}
{'loss': 540.0, 'grad_norm_square': 16640.0, 'tokens': 427}
{'loss': 744.0, 'grad_norm_square': 18688.0, 'tokens': 445}
{'loss': 636.0, 'grad_norm_square': 27264.0, 'tokens': 461}
{'loss': 608.0, 'grad_norm_square': 16512.0, 'tokens': 444}
{'loss': 596.0, 'grad_norm_square': 13760.0, 'tokens': 459}
{'loss': 378.0, 'grad_norm_square': 9088.0, 'tokens': 295}
{'loss': 616.0, 'grad_norm_square': 12672.0, 'tokens': 420}
{'loss': 692.0, 'grad_norm_square': 17664.0, 'tokens': 476}
{'loss': 556.0, 'grad_norm_square': 12096.0, 'tokens': 430}
{'loss': 580.0, 'grad_norm_square': 14464.0, 'tokens': 441}
{'loss': 484.0, 'grad_norm_square': 12288.0, 'tokens': 402}
