{'model_params': 2506172416, 'peft_params': 1097208}
{'loss': 580.0, 'grad_norm_square': 159744.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 249856.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 317440.0, 'tokens': 432}
{'loss': 764.0, 'grad_norm_square': 205824.0, 'tokens': 471}
{'loss': 362.0, 'grad_norm_square': 123904.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 123904.0, 'tokens': 314}
{'loss': 728.0, 'grad_norm_square': 192512.0, 'tokens': 457}
{'loss': 316.0, 'grad_norm_square': 175104.0, 'tokens': 255}
{'loss': 548.0, 'grad_norm_square': 209920.0, 'tokens': 437}
{'loss': 388.0, 'grad_norm_square': 211968.0, 'tokens': 371}
{'loss': 684.0, 'grad_norm_square': 199680.0, 'tokens': 471}
{'loss': 592.0, 'grad_norm_square': 186368.0, 'tokens': 452}
{'loss': 310.0, 'grad_norm_square': 115200.0, 'tokens': 261}
{'loss': 672.0, 'grad_norm_square': 174080.0, 'tokens': 419}
{'loss': 720.0, 'grad_norm_square': 257024.0, 'tokens': 450}
{'loss': 528.0, 'grad_norm_square': 172032.0, 'tokens': 446}
{'loss': 724.0, 'grad_norm_square': 146432.0, 'tokens': 452}
{'loss': 282.0, 'grad_norm_square': 111104.0, 'tokens': 262}
{'loss': 528.0, 'grad_norm_square': 157696.0, 'tokens': 375}
{'loss': 616.0, 'grad_norm_square': 186368.0, 'tokens': 405}
{'loss': 560.0, 'grad_norm_square': 148480.0, 'tokens': 409}
{'loss': 520.0, 'grad_norm_square': 150528.0, 'tokens': 410}
{'loss': 588.0, 'grad_norm_square': 145408.0, 'tokens': 429}
{'loss': 564.0, 'grad_norm_square': 143360.0, 'tokens': 408}
{'loss': 560.0, 'grad_norm_square': 212992.0, 'tokens': 427}
{'loss': 780.0, 'grad_norm_square': 233472.0, 'tokens': 445}
{'loss': 684.0, 'grad_norm_square': 354304.0, 'tokens': 461}
{'loss': 636.0, 'grad_norm_square': 190464.0, 'tokens': 444}
{'loss': 624.0, 'grad_norm_square': 157696.0, 'tokens': 459}
{'loss': 388.0, 'grad_norm_square': 93696.0, 'tokens': 295}
{'loss': 636.0, 'grad_norm_square': 134144.0, 'tokens': 420}
{'loss': 736.0, 'grad_norm_square': 264192.0, 'tokens': 476}
{'loss': 576.0, 'grad_norm_square': 125952.0, 'tokens': 430}
{'loss': 612.0, 'grad_norm_square': 176128.0, 'tokens': 441}
{'loss': 508.0, 'grad_norm_square': 131072.0, 'tokens': 402}
{'loss': 490.0, 'grad_norm_square': 100352.0, 'tokens': 328}
{'loss': 536.0, 'grad_norm_square': 134144.0, 'tokens': 453}
{'loss': 366.0, 'grad_norm_square': 85504.0, 'tokens': 375}
{'loss': 560.0, 'grad_norm_square': 118272.0, 'tokens': 434}
{'loss': 440.0, 'grad_norm_square': 152576.0, 'tokens': 383}
{'loss': 510.0, 'grad_norm_square': 119296.0, 'tokens': 411}
{'loss': 604.0, 'grad_norm_square': 197632.0, 'tokens': 469}
{'loss': 512.0, 'grad_norm_square': 152576.0, 'tokens': 392}
{'loss': 544.0, 'grad_norm_square': 134144.0, 'tokens': 460}
{'loss': 458.0, 'grad_norm_square': 125952.0, 'tokens': 398}
{'loss': 300.0, 'grad_norm_square': 96768.0, 'tokens': 284}
{'loss': 243.0, 'grad_norm_square': 221184.0, 'tokens': 275}
{'loss': 668.0, 'grad_norm_square': 180224.0, 'tokens': 435}
{'loss': 264.0, 'grad_norm_square': 70656.0, 'tokens': 287}
{'loss': 572.0, 'grad_norm_square': 134144.0, 'tokens': 440}
{'loss': 434.0, 'grad_norm_square': 109056.0, 'tokens': 326}
{'loss': 356.0, 'grad_norm_square': 94208.0, 'tokens': 349}
{'loss': 177.0, 'grad_norm_square': 80384.0, 'tokens': 255}
{'loss': 276.0, 'grad_norm_square': 80896.0, 'tokens': 281}
{'loss': 564.0, 'grad_norm_square': 143360.0, 'tokens': 435}
