{'model_params': 2506172416, 'peft_params': 545272}
{'loss': 580.0, 'grad_norm_square': 21120.0, 'tokens': 455}
{'loss': 420.0, 'grad_norm_square': 38400.0, 'tokens': 312}
{'loss': 752.0, 'grad_norm_square': 51456.0, 'tokens': 432}
{'loss': 760.0, 'grad_norm_square': 26624.0, 'tokens': 471}
{'loss': 360.0, 'grad_norm_square': 15424.0, 'tokens': 327}
{'loss': 382.0, 'grad_norm_square': 16640.0, 'tokens': 314}
{'loss': 728.0, 'grad_norm_square': 24320.0, 'tokens': 457}
{'loss': 316.0, 'grad_norm_square': 25088.0, 'tokens': 255}
{'loss': 544.0, 'grad_norm_square': 28160.0, 'tokens': 437}
{'loss': 386.0, 'grad_norm_square': 28160.0, 'tokens': 371}
{'loss': 680.0, 'grad_norm_square': 26112.0, 'tokens': 471}
{'loss': 588.0, 'grad_norm_square': 24192.0, 'tokens': 452}
{'loss': 310.0, 'grad_norm_square': 14144.0, 'tokens': 261}
{'loss': 668.0, 'grad_norm_square': 22016.0, 'tokens': 419}
{'loss': 716.0, 'grad_norm_square': 33280.0, 'tokens': 450}
{'loss': 528.0, 'grad_norm_square': 20992.0, 'tokens': 446}
{'loss': 724.0, 'grad_norm_square': 18048.0, 'tokens': 452}
{'loss': 280.0, 'grad_norm_square': 14912.0, 'tokens': 262}
{'loss': 528.0, 'grad_norm_square': 18304.0, 'tokens': 375}
{'loss': 612.0, 'grad_norm_square': 22912.0, 'tokens': 405}
{'loss': 556.0, 'grad_norm_square': 18176.0, 'tokens': 409}
{'loss': 520.0, 'grad_norm_square': 19584.0, 'tokens': 410}
{'loss': 584.0, 'grad_norm_square': 20096.0, 'tokens': 429}
{'loss': 564.0, 'grad_norm_square': 18944.0, 'tokens': 408}
{'loss': 560.0, 'grad_norm_square': 26240.0, 'tokens': 427}
{'loss': 776.0, 'grad_norm_square': 30592.0, 'tokens': 445}
{'loss': 676.0, 'grad_norm_square': 50176.0, 'tokens': 461}
{'loss': 632.0, 'grad_norm_square': 24448.0, 'tokens': 444}
{'loss': 624.0, 'grad_norm_square': 19584.0, 'tokens': 459}
{'loss': 390.0, 'grad_norm_square': 12416.0, 'tokens': 295}
{'loss': 636.0, 'grad_norm_square': 18816.0, 'tokens': 420}
{'loss': 736.0, 'grad_norm_square': 31744.0, 'tokens': 476}
{'loss': 576.0, 'grad_norm_square': 15808.0, 'tokens': 430}
{'loss': 608.0, 'grad_norm_square': 23808.0, 'tokens': 441}
{'loss': 508.0, 'grad_norm_square': 15936.0, 'tokens': 402}
{'loss': 488.0, 'grad_norm_square': 12288.0, 'tokens': 328}
{'loss': 540.0, 'grad_norm_square': 16384.0, 'tokens': 453}
{'loss': 366.0, 'grad_norm_square': 10688.0, 'tokens': 375}
{'loss': 560.0, 'grad_norm_square': 15168.0, 'tokens': 434}
{'loss': 442.0, 'grad_norm_square': 18944.0, 'tokens': 383}
{'loss': 512.0, 'grad_norm_square': 14528.0, 'tokens': 411}
{'loss': 600.0, 'grad_norm_square': 24064.0, 'tokens': 469}
{'loss': 510.0, 'grad_norm_square': 19200.0, 'tokens': 392}
{'loss': 548.0, 'grad_norm_square': 16896.0, 'tokens': 460}
{'loss': 458.0, 'grad_norm_square': 16640.0, 'tokens': 398}
{'loss': 298.0, 'grad_norm_square': 13696.0, 'tokens': 284}
{'loss': 241.0, 'grad_norm_square': 26624.0, 'tokens': 275}
{'loss': 672.0, 'grad_norm_square': 22528.0, 'tokens': 435}
{'loss': 266.0, 'grad_norm_square': 9088.0, 'tokens': 287}
{'loss': 576.0, 'grad_norm_square': 17792.0, 'tokens': 440}
{'loss': 434.0, 'grad_norm_square': 15104.0, 'tokens': 326}
{'loss': 358.0, 'grad_norm_square': 11584.0, 'tokens': 349}
{'loss': 180.0, 'grad_norm_square': 8960.0, 'tokens': 255}
{'loss': 276.0, 'grad_norm_square': 10176.0, 'tokens': 281}
{'loss': 568.0, 'grad_norm_square': 17920.0, 'tokens': 435}
{'loss': 744.0, 'grad_norm_square': 15040.0, 'tokens': 393}
{'loss': 704.0, 'grad_norm_square': 24448.0, 'tokens': 480}
{'loss': 656.0, 'grad_norm_square': 18304.0, 'tokens': 459}
{'loss': 636.0, 'grad_norm_square': 19584.0, 'tokens': 477}
{'loss': 512.0, 'grad_norm_square': 22144.0, 'tokens': 464}
{'loss': 274.0, 'grad_norm_square': 10048.0, 'tokens': 263}
{'loss': 680.0, 'grad_norm_square': 32768.0, 'tokens': 489}
{'loss': 506.0, 'grad_norm_square': 13056.0, 'tokens': 376}
{'loss': 572.0, 'grad_norm_square': 20480.0, 'tokens': 455}
{'loss': 628.0, 'grad_norm_square': 18176.0, 'tokens': 420}
{'loss': 502.0, 'grad_norm_square': 15552.0, 'tokens': 414}
{'loss': 290.0, 'grad_norm_square': 10304.0, 'tokens': 260}
{'loss': 466.0, 'grad_norm_square': 15232.0, 'tokens': 379}
{'loss': 266.0, 'grad_norm_square': 9216.0, 'tokens': 257}
{'loss': 462.0, 'grad_norm_square': 13120.0, 'tokens': 413}
{'loss': 480.0, 'grad_norm_square': 14400.0, 'tokens': 386}
{'loss': 316.0, 'grad_norm_square': 8576.0, 'tokens': 258}
{'loss': 334.0, 'grad_norm_square': 11840.0, 'tokens': 281}
{'loss': 500.0, 'grad_norm_square': 16256.0, 'tokens': 472}
{'loss': 352.0, 'grad_norm_square': 10816.0, 'tokens': 334}
{'loss': 700.0, 'grad_norm_square': 24064.0, 'tokens': 437}
{'loss': 712.0, 'grad_norm_square': 21760.0, 'tokens': 499}
{'loss': 548.0, 'grad_norm_square': 17408.0, 'tokens': 448}
{'loss': 266.0, 'grad_norm_square': 10304.0, 'tokens': 248}
{'loss': 350.0, 'grad_norm_square': 12608.0, 'tokens': 310}
{'loss': 380.0, 'grad_norm_square': 9600.0, 'tokens': 271}
{'loss': 490.0, 'grad_norm_square': 18176.0, 'tokens': 416}
{'loss': 648.0, 'grad_norm_square': 19072.0, 'tokens': 445}
{'loss': 258.0, 'grad_norm_square': 10112.0, 'tokens': 261}
{'loss': 334.0, 'grad_norm_square': 10880.0, 'tokens': 316}
{'loss': 302.0, 'grad_norm_square': 10624.0, 'tokens': 299}
{'loss': 336.0, 'grad_norm_square': 13760.0, 'tokens': 378}
{'loss': 262.0, 'grad_norm_square': 10432.0, 'tokens': 261}
{'loss': 536.0, 'grad_norm_square': 13312.0, 'tokens': 403}
{'loss': 692.0, 'grad_norm_square': 14912.0, 'tokens': 467}
{'loss': 264.0, 'grad_norm_square': 10112.0, 'tokens': 292}
{'loss': 544.0, 'grad_norm_square': 14656.0, 'tokens': 439}
{'loss': 636.0, 'grad_norm_square': 16768.0, 'tokens': 438}
{'loss': 396.0, 'grad_norm_square': 14528.0, 'tokens': 363}
{'loss': 592.0, 'grad_norm_square': 13888.0, 'tokens': 482}
{'loss': 372.0, 'grad_norm_square': 11392.0, 'tokens': 341}
{'loss': 588.0, 'grad_norm_square': 18560.0, 'tokens': 469}
{'loss': 324.0, 'grad_norm_square': 9792.0, 'tokens': 252}
{'loss': 368.0, 'grad_norm_square': 11136.0, 'tokens': 386}
{'loss': 496.0, 'grad_norm_square': 12032.0, 'tokens': 438}
{'loss': 476.0, 'grad_norm_square': 12288.0, 'tokens': 440}
{'loss': 424.0, 'grad_norm_square': 13824.0, 'tokens': 281}
{'loss': 516.0, 'grad_norm_square': 14272.0, 'tokens': 436}
{'loss': 406.0, 'grad_norm_square': 12352.0, 'tokens': 361}
{'loss': 620.0, 'grad_norm_square': 14528.0, 'tokens': 394}
{'loss': 264.0, 'grad_norm_square': 10944.0, 'tokens': 278}
{'loss': 390.0, 'grad_norm_square': 12416.0, 'tokens': 364}
{'loss': 556.0, 'grad_norm_square': 13824.0, 'tokens': 425}
{'loss': 520.0, 'grad_norm_square': 13248.0, 'tokens': 411}
{'loss': 308.0, 'grad_norm_square': 8704.0, 'tokens': 281}
{'loss': 572.0, 'grad_norm_square': 13440.0, 'tokens': 434}
{'loss': 528.0, 'grad_norm_square': 12224.0, 'tokens': 404}
{'loss': 700.0, 'grad_norm_square': 14656.0, 'tokens': 457}
{'loss': 564.0, 'grad_norm_square': 14400.0, 'tokens': 472}
{'loss': 496.0, 'grad_norm_square': 12800.0, 'tokens': 400}
{'loss': 258.0, 'grad_norm_square': 9408.0, 'tokens': 294}
{'loss': 628.0, 'grad_norm_square': 19328.0, 'tokens': 418}
{'loss': 548.0, 'grad_norm_square': 14016.0, 'tokens': 446}
{'loss': 588.0, 'grad_norm_square': 16384.0, 'tokens': 428}
{'loss': 336.0, 'grad_norm_square': 10304.0, 'tokens': 363}
{'loss': 584.0, 'grad_norm_square': 12800.0, 'tokens': 424}
